Time(microseconds),DLS Value,Temperature(C)
0,479,25.0
16,478,25.0
32,478,25.0
49,478,25.0
65,478,25.0
81,478,25.0
98,478,25.0
114,478,25.0
131,478,25.0
147,478,25.0
163,478,25.0
180,478,25.0
196,478,25.0
213,478,25.0
229,478,25.0
245,478,25.0
262,478,25.0
278,478,25.0
295,478,25.0
311,478,25.0
327,478,25.0
344,478,25.0
360,478,25.0
376,478,25.0
393,478,25.0
409,478,25.0
426,478,25.0
442,478,25.0
458,478,25.0
475,478,25.0
491,478,25.0
508,478,25.0
524,478,25.0
540,478,25.0
557,478,25.0
573,478,25.0
590,478,25.0
606,478,25.0
622,478,25.0
639,478,25.0
655,478,25.0
671,478,25.0
688,478,25.0
704,478,25.0
721,478,25.0
737,478,25.0
753,478,25.0
770,478,25.0
786,478,25.0
803,478,25.0
819,478,25.0
835,478,25.0
852,478,25.0
868,478,25.0
885,478,25.0
901,478,25.0
917,478,25.0
934,478,25.0
950,478,25.0
967,478,25.0
983,478,25.0
999,478,25.0
1016,478,25.0
1032,478,25.0
1048,478,25.0
1065,478,25.0
1081,478,25.0
1098,478,25.0
1114,478,25.0
1130,478,25.0
1147,478,25.0
1163,478,25.0
1180,478,25.0
1196,478,25.0
1212,478,25.0
1229,478,25.0
1245,478,25.0
1262,478,25.0
1278,478,25.0
1294,478,25.0
1311,478,25.0
1327,478,25.0
1343,478,25.0
1360,478,25.0
1376,478,25.0
1393,478,25.0
1409,478,25.0
1425,478,25.0
1442,478,25.0
1458,478,25.0
1475,478,25.0
1491,478,25.0
1507,478,25.0
1524,478,25.0
1540,478,25.0
1557,478,25.0
1573,478,25.0
1589,478,25.0
1606,478,25.0
1622,478,25.0
1639,478,25.0
1655,478,25.0
1671,478,25.0
1688,478,25.0
1704,478,25.0
1720,478,25.0
1737,478,25.0
1753,478,25.0
1770,478,25.0
1786,478,25.0
1802,478,25.0
1819,478,25.0
1835,478,25.0
1852,478,25.0
1868,478,25.0
1884,478,25.0
1901,478,25.0
1917,478,25.0
1934,478,25.0
1950,478,25.0
1966,478,25.0
1983,478,25.0
1999,478,25.0
2015,478,25.0
2032,478,25.0
2048,478,25.0
2065,478,25.0
2081,478,25.0
2097,478,25.0
2114,478,25.0
2130,478,25.0
2147,478,25.0
2163,478,25.0
2179,478,25.0
2196,478,25.0
2212,478,25.0
2229,478,25.0
2245,478,25.0
2261,478,25.0
2278,478,25.0
2294,478,25.0
2310,478,25.0
2327,478,25.0
2343,478,25.0
2360,478,25.0
2376,478,25.0
2392,478,25.0
2409,478,25.0
2425,478,25.0
2442,478,25.0
2458,478,25.0
2474,478,25.0
2491,478,25.0
2507,478,25.0
2524,478,25.0
2540,478,25.0
2556,478,25.0
2573,478,25.0
2589,478,25.0
2606,478,25.0
2622,478,25.0
2638,478,25.0
2655,478,25.0
2671,478,25.0
2687,478,25.0
2704,478,25.0
2720,478,25.0
2737,478,25.0
2753,478,25.0
2769,478,25.0
2786,478,25.0
2802,478,25.0
2819,478,25.0
2835,478,25.0
2851,478,25.0
2868,478,25.0
2884,478,25.0
2901,478,25.0
2917,478,25.0
2933,478,25.0
2950,478,25.0
