Time(microseconds),DLS Value,Temperature(C)
0,847,25.0
8,844,25.0
16,844,25.0
24,841,25.0
32,839,25.0
40,839,25.0
48,838,25.0
56,835,25.0
64,835,25.0
72,831,25.0
80,831,25.0
88,831,25.0
96,831,25.0
104,830,25.0
112,828,25.0
120,828,25.0
128,825,25.0
136,824,25.0
144,824,25.0
152,824,25.0
160,824,25.0
168,819,25.0
176,819,25.0
184,819,25.0
192,817,25.0
200,816,25.0
208,816,25.0
216,816,25.0
224,814,25.0
233,814,25.0
241,812,25.0
249,812,25.0
257,809,25.0
265,808,25.0
273,807,25.0
281,807,25.0
289,807,25.0
297,806,25.0
305,806,25.0
313,806,25.0
321,803,25.0
329,803,25.0
337,803,25.0
345,799,25.0
353,799,25.0
361,799,25.0
369,799,25.0
377,799,25.0
385,799,25.0
393,798,25.0
401,798,25.0
409,798,25.0
417,796,25.0
425,796,25.0
433,796,25.0
441,796,25.0
449,796,25.0
457,793,25.0
466,792,25.0
474,792,25.0
482,792,25.0
490,792,25.0
498,792,25.0
506,792,25.0
514,792,25.0
522,792,25.0
530,792,25.0
538,792,25.0
546,792,25.0
554,792,25.0
562,792,25.0
570,792,25.0
578,790,25.0
586,787,25.0
594,787,25.0
602,787,25.0
610,787,25.0
618,785,25.0
626,783,25.0
634,783,25.0
642,783,25.0
650,783,25.0
658,783,25.0
666,783,25.0
674,782,25.0
682,782,25.0
691,780,25.0
699,780,25.0
707,780,25.0
715,780,25.0
723,780,25.0
731,777,25.0
739,777,25.0
747,775,25.0
755,775,25.0
763,775,25.0
771,775,25.0
779,775,25.0
787,775,25.0
795,775,25.0
803,771,25.0
811,771,25.0
819,771,25.0
827,771,25.0
835,771,25.0
843,769,25.0
851,769,25.0
859,768,25.0
867,768,25.0
875,768,25.0
883,768,25.0
891,768,25.0
899,768,25.0
907,768,25.0
915,768,25.0
924,768,25.0
932,768,25.0
940,768,25.0
948,768,25.0
956,763,25.0
964,761,25.0
972,760,25.0
980,760,25.0
988,760,25.0
996,760,25.0
1004,760,25.0
1012,760,25.0
1020,760,25.0
1028,760,25.0
1036,756,25.0
1044,756,25.0
1052,755,25.0
1060,755,25.0
1068,755,25.0
1076,753,25.0
1084,753,25.0
1092,752,25.0
1100,752,25.0
1108,752,25.0
1116,752,25.0
1124,752,25.0
1132,751,25.0
1140,751,25.0
1149,750,25.0
1157,750,25.0
1165,748,25.0
1173,748,25.0
1181,748,25.0
1189,748,25.0
1197,748,25.0
1205,745,25.0
1213,745,25.0
1221,743,25.0
1229,743,25.0
1237,743,25.0
1245,743,25.0
1253,743,25.0
1261,743,25.0
1269,742,25.0
1277,742,25.0
1285,739,25.0
1293,739,25.0
1301,739,25.0
1309,739,25.0
1317,739,25.0
1325,737,25.0
1333,737,25.0
1341,737,25.0
1349,736,25.0
1357,736,25.0
1365,736,25.0
1373,736,25.0
1382,736,25.0
1390,736,25.0
1398,736,25.0
1406,734,25.0
1414,734,25.0
1422,732,25.0
1430,732,25.0
1438,732,25.0
1446,732,25.0
1454,729,25.0
1462,729,25.0
1470,728,25.0
1478,728,25.0
1486,728,25.0
1494,728,25.0
1502,728,25.0
1510,728,25.0
1518,728,25.0
1526,728,25.0
1534,726,25.0
1542,723,25.0
1550,723,25.0
1558,723,25.0
1566,723,25.0
1574,721,25.0
1582,719,25.0
1590,719,25.0
1598,719,25.0
1607,719,25.0
1615,719,25.0
1623,719,25.0
1631,719,25.0
1639,719,25.0
1647,718,25.0
1655,718,25.0
1663,716,25.0
1671,716,25.0
1679,716,25.0
1687,716,25.0
1695,716,25.0
1703,713,25.0
1711,713,25.0
1719,711,25.0
1727,711,25.0
1735,711,25.0
1743,711,25.0
1751,711,25.0
1759,711,25.0
1767,711,25.0
1775,710,25.0
1783,710,25.0
1791,710,25.0
1799,707,25.0
1807,707,25.0
1815,707,25.0
1823,707,25.0
1831,705,25.0
1840,704,25.0
1848,705,25.0
1856,704,25.0
1864,704,25.0
1872,704,25.0
1880,704,25.0
1888,704,25.0
1896,704,25.0
1904,704,25.0
1912,704,25.0
1920,704,25.0
1928,700,25.0
1936,700,25.0
1944,700,25.0
1952,700,25.0
1960,697,25.0
1968,697,25.0
1976,696,25.0
1984,696,25.0
1992,696,25.0
2000,696,25.0
2008,696,25.0
2016,696,25.0
2024,696,25.0
2032,696,25.0
2040,692,25.0
2048,691,25.0
2056,691,25.0
2064,691,25.0
2073,691,25.0
2081,689,25.0
2089,689,25.0
2097,688,25.0
2105,688,25.0
2113,688,25.0
2121,688,25.0
2129,688,25.0
2137,688,25.0
2145,688,25.0
2153,686,25.0
2161,686,25.0
2169,684,25.0
2177,684,25.0
2185,684,25.0
2193,684,25.0
2201,684,25.0
2209,683,25.0
2217,681,25.0
2225,696,25.0
2233,732,25.0
2241,774,25.0
2249,799,25.0
2257,831,25.0
2265,860,25.0
2273,871,25.0
2281,871,25.0
2289,871,25.0
2298,871,25.0
2306,870,25.0
2314,865,25.0
2322,864,25.0
2330,864,25.0
2338,864,25.0
2346,860,25.0
2354,860,25.0
2362,856,25.0
2370,856,25.0
2378,856,25.0
2386,852,25.0
2394,851,25.0
2402,849,25.0
2410,847,25.0
2418,847,25.0
2426,846,25.0
2434,844,25.0
2442,844,25.0
2450,841,25.0
2458,839,25.0
2466,839,25.0
2474,838,25.0
2482,835,25.0
2490,835,25.0
2498,831,25.0
2506,831,25.0
2514,831,25.0
2522,830,25.0
2531,830,25.0
2539,828,25.0
2547,828,25.0
2555,825,25.0
2563,824,25.0
2571,824,25.0
2579,824,25.0
2587,822,25.0
2595,819,25.0
2603,819,25.0
2611,817,25.0
2619,816,25.0
2627,816,25.0
2635,816,25.0
2643,816,25.0
2651,814,25.0
2659,812,25.0
2667,812,25.0
2675,809,25.0
2683,809,25.0
2691,807,25.0
2699,807,25.0
2707,807,25.0
2715,807,25.0
2723,806,25.0
2731,804,25.0
2739,803,25.0
2747,803,25.0
2756,803,25.0
2764,799,25.0
2772,799,25.0
2780,799,25.0
2788,799,25.0
2796,799,25.0
2804,799,25.0
2812,799,25.0
2820,798,25.0
2828,798,25.0
2836,796,25.0
2844,796,25.0
2852,796,25.0
2860,796,25.0
2868,793,25.0
2876,793,25.0
2884,793,25.0
2892,792,25.0
2900,792,25.0
2908,792,25.0
2916,792,25.0
2924,792,25.0
2932,792,25.0
2940,792,25.0
2948,792,25.0
2956,792,25.0
2964,792,25.0
2972,792,25.0
2980,792,25.0
2989,790,25.0
2997,790,25.0
3005,787,25.0
3013,787,25.0
3021,787,25.0
3029,785,25.0
3037,785,25.0
3045,785,25.0
3053,783,25.0
3061,783,25.0
3069,783,25.0
3077,783,25.0
3085,783,25.0
3093,782,25.0
3101,782,25.0
3109,782,25.0
3117,780,25.0
3125,780,25.0
3133,780,25.0
3141,779,25.0
3149,780,25.0
3157,775,25.0
3165,775,25.0
3173,775,25.0
3181,775,25.0
3189,775,25.0
3197,775,25.0
3205,775,25.0
3214,774,25.0
3222,772,25.0
3230,771,25.0
3238,771,25.0
3246,771,25.0
3254,771,25.0
3262,769,25.0
3270,769,25.0
3278,768,25.0
3286,768,25.0
3294,768,25.0
3302,768,25.0
3310,768,25.0
3318,768,25.0
3326,768,25.0
3334,768,25.0
3342,768,25.0
3350,768,25.0
3358,768,25.0
3366,768,25.0
3374,761,25.0
3382,761,25.0
3390,760,25.0
3398,760,25.0
3406,760,25.0
3414,760,25.0
3422,760,25.0
3430,760,25.0
3438,760,25.0
3447,760,25.0
3455,758,25.0
3463,755,25.0
3471,755,25.0
3479,755,25.0
3487,755,25.0
3495,753,25.0
3503,753,25.0
3511,753,25.0
3519,752,25.0
3527,752,25.0
3535,752,25.0
3543,752,25.0
3551,752,25.0
3559,750,25.0
3567,750,25.0
3575,750,25.0
3583,750,25.0
3591,748,25.0
3599,748,25.0
3607,748,25.0
3615,748,25.0
3623,745,25.0
3631,745,25.0
3639,743,25.0
3647,743,25.0
3655,743,25.0
3663,743,25.0
3671,743,25.0
3680,743,25.0
3688,742,25.0
3696,742,25.0
3704,742,25.0
3712,742,25.0
3720,739,25.0
3728,739,25.0
3736,739,25.0
3744,739,25.0
3752,736,25.0
3760,736,25.0
3768,736,25.0
3776,736,25.0
3784,736,25.0
3792,736,25.0
3800,736,25.0
3808,736,25.0
3816,736,25.0
3824,734,25.0
3832,732,25.0
3840,732,25.0
3848,732,25.0
3856,732,25.0
3864,732,25.0
3872,729,25.0
3880,729,25.0
3888,728,25.0
3896,728,25.0
3905,728,25.0
3913,728,25.0
3921,728,25.0
3929,728,25.0
3937,728,25.0
3945,728,25.0
3953,726,25.0
3961,723,25.0
3969,723,25.0
3977,723,25.0
3985,723,25.0
3993,721,25.0
4001,721,25.0
4009,719,25.0
4017,719,25.0
4025,719,25.0
4033,719,25.0
4041,719,25.0
4049,719,25.0
4057,719,25.0
4065,718,25.0
4073,718,25.0
4081,716,25.0
4089,716,25.0
4097,716,25.0
4105,715,25.0
4113,716,25.0
4121,713,25.0
4129,711,25.0
4138,711,25.0
4146,711,25.0
4154,711,25.0
4162,711,25.0
4170,711,25.0
4178,711,25.0
4186,710,25.0
4194,710,25.0
4202,710,25.0
4210,707,25.0
4218,707,25.0
4226,707,25.0
4234,707,25.0
4242,705,25.0
4250,705,25.0
4258,704,25.0
4266,704,25.0
4274,704,25.0
4282,704,25.0
4290,704,25.0
4298,704,25.0
4306,704,25.0
4314,704,25.0
4322,704,25.0
4330,700,25.0
4338,700,25.0
4346,700,25.0
4354,700,25.0
4363,700,25.0
4371,700,25.0
4379,697,25.0
4387,696,25.0
4395,696,25.0
4403,696,25.0
4411,696,25.0
4419,696,25.0
4427,696,25.0
4435,696,25.0
4443,696,25.0
4451,694,25.0
4459,694,25.0
4467,691,25.0
4475,691,25.0
4483,691,25.0
4491,691,25.0
4499,689,25.0
4507,689,25.0
4515,688,25.0
4523,688,25.0
4531,688,25.0
4539,688,25.0
4547,688,25.0
4555,688,25.0
4563,688,25.0
4571,686,25.0
4579,686,25.0
4587,686,25.0
4596,684,25.0
4604,684,25.0
4612,684,25.0
4620,684,25.0
4628,684,25.0
4636,681,25.0
4644,694,25.0
4652,728,25.0
4660,768,25.0
4668,799,25.0
4676,824,25.0
4684,854,25.0
4692,881,25.0
4700,883,25.0
4708,881,25.0
4716,880,25.0
4724,880,25.0
4732,878,25.0
4740,876,25.0
4748,873,25.0
4756,871,25.0
4764,871,25.0
4772,870,25.0
4780,867,25.0
4788,865,25.0
4796,864,25.0
4804,864,25.0
4812,862,25.0
4821,860,25.0
4829,860,25.0
4837,856,25.0
4845,856,25.0
4853,856,25.0
4861,854,25.0
4869,851,25.0
4877,849,25.0
4885,847,25.0
4893,847,25.0
4901,846,25.0
4909,844,25.0
4917,844,25.0
4925,841,25.0
4933,839,25.0
4941,839,25.0
4949,839,25.0
4957,836,25.0
4965,835,25.0
4973,831,25.0
4981,831,25.0
4989,831,25.0
4997,831,25.0
5005,831,25.0
5013,830,25.0
5021,828,25.0
5029,828,25.0
5037,825,25.0
5045,824,25.0
5054,824,25.0
5062,824,25.0
5070,824,25.0
5078,819,25.0
5086,819,25.0
5094,817,25.0
5102,817,25.0
5110,816,25.0
5118,816,25.0
5126,816,25.0
5134,814,25.0
5142,812,25.0
5150,812,25.0
5158,812,25.0
5166,809,25.0
5174,807,25.0
5182,807,25.0
5190,807,25.0
5198,807,25.0
5206,807,25.0
5214,806,25.0
5222,803,25.0
5230,803,25.0
5238,803,25.0
5246,801,25.0
5254,799,25.0
5262,799,25.0
5270,799,25.0
5278,799,25.0
5287,799,25.0
5295,799,25.0
5303,799,25.0
5311,798,25.0
5319,798,25.0
5327,796,25.0
5335,796,25.0
5343,796,25.0
5351,796,25.0
5359,793,25.0
5367,792,25.0
5375,793,25.0
5383,792,25.0
5391,792,25.0
5399,792,25.0
5407,792,25.0
5415,792,25.0
5423,792,25.0
5431,792,25.0
5439,792,25.0
5447,792,25.0
5455,792,25.0
5463,792,25.0
5471,792,25.0
5479,790,25.0
5487,790,25.0
5495,787,25.0
5503,787,25.0
5512,787,25.0
5520,785,25.0
5528,785,25.0
5536,783,25.0
5544,783,25.0
5552,783,25.0
5560,783,25.0
5568,783,25.0
5576,783,25.0
5584,783,25.0
5592,782,25.0
5600,780,25.0
5608,780,25.0
5616,780,25.0
5624,780,25.0
5632,780,25.0
5640,777,25.0
5648,775,25.0
5656,775,25.0
5664,775,25.0
5672,775,25.0
5680,775,25.0
5688,775,25.0
5696,775,25.0
5704,774,25.0
5712,774,25.0
5720,771,25.0
5728,771,25.0
5736,771,25.0
5745,771,25.0
5753,769,25.0
5761,768,25.0
5769,768,25.0
5777,768,25.0
5785,768,25.0
5793,768,25.0
5801,768,25.0
5809,768,25.0
5817,768,25.0
5825,768,25.0
5833,768,25.0
5841,768,25.0
5849,768,25.0
5857,768,25.0
5865,761,25.0
5873,761,25.0
5881,760,25.0
5889,760,25.0
5897,760,25.0
5905,760,25.0
5913,760,25.0
5921,760,25.0
5929,760,25.0
5937,760,25.0
5945,758,25.0
5953,755,25.0
5961,755,25.0
5970,755,25.0
5978,755,25.0
5986,753,25.0
5994,753,25.0
6002,753,25.0
6010,752,25.0
6018,752,25.0
6026,752,25.0
6034,752,25.0
6042,752,25.0
6050,751,25.0
6058,750,25.0
6066,750,25.0
6074,748,25.0
6082,748,25.0
6090,748,25.0
6098,748,25.0
6106,748,25.0
6114,745,25.0
6122,745,25.0
6130,743,25.0
6138,743,25.0
6146,743,25.0
6154,743,25.0
