Time(microseconds),DLS Value,Temperature(C)
0,723,25.0
8,723,25.0
16,723,25.0
24,721,25.0
32,721,25.0
40,719,25.0
48,719,25.0
56,719,25.0
64,719,25.0
72,719,25.0
80,719,25.0
88,719,25.0
96,718,25.0
104,718,25.0
112,718,25.0
120,716,25.0
128,716,25.0
136,716,25.0
144,716,25.0
152,713,25.0
160,713,25.0
168,711,25.0
176,711,25.0
184,711,25.0
192,711,25.0
200,711,25.0
208,711,25.0
216,711,25.0
224,710,25.0
233,710,25.0
241,707,25.0
249,707,25.0
257,707,25.0
265,707,25.0
273,705,25.0
281,705,25.0
289,705,25.0
297,704,25.0
305,704,25.0
313,704,25.0
321,704,25.0
329,704,25.0
337,704,25.0
345,704,25.0
353,704,25.0
361,704,25.0
369,700,25.0
377,700,25.0
385,700,25.0
393,700,25.0
401,697,25.0
409,697,25.0
417,697,25.0
425,696,25.0
433,696,25.0
441,696,25.0
449,696,25.0
457,696,25.0
466,696,25.0
474,696,25.0
482,696,25.0
490,694,25.0
498,691,25.0
506,691,25.0
514,691,25.0
522,691,25.0
530,691,25.0
538,689,25.0
546,689,25.0
554,688,25.0
562,688,25.0
570,688,25.0
578,688,25.0
586,688,25.0
594,688,25.0
602,688,25.0
610,686,25.0
618,686,25.0
626,684,25.0
634,684,25.0
642,684,25.0
650,684,25.0
658,684,25.0
666,681,25.0
674,679,25.0
682,679,25.0
691,679,25.0
699,679,25.0
707,679,25.0
715,679,25.0
723,679,25.0
731,679,25.0
739,679,25.0
747,678,25.0
755,678,25.0
763,675,25.0
771,675,25.0
779,675,25.0
787,675,25.0
795,673,25.0
803,671,25.0
811,671,25.0
819,671,25.0
827,684,25.0
835,719,25.0
843,760,25.0
851,792,25.0
859,816,25.0
867,839,25.0
875,839,25.0
883,839,25.0
891,838,25.0
899,835,25.0
907,831,25.0
915,831,25.0
924,831,25.0
932,830,25.0
940,828,25.0
948,828,25.0
956,824,25.0
964,824,25.0
972,822,25.0
980,819,25.0
988,819,25.0
996,816,25.0
1004,816,25.0
1012,816,25.0
1020,814,25.0
1028,812,25.0
1036,812,25.0
1044,809,25.0
1052,807,25.0
1060,807,25.0
1068,807,25.0
1076,806,25.0
1084,803,25.0
1092,803,25.0
1100,803,25.0
1108,801,25.0
1116,799,25.0
1124,799,25.0
1132,799,25.0
1140,799,25.0
1149,799,25.0
1157,798,25.0
1165,798,25.0
1173,796,25.0
1181,796,25.0
1189,796,25.0
1197,793,25.0
1205,793,25.0
1213,792,25.0
1221,792,25.0
1229,792,25.0
1237,792,25.0
1245,792,25.0
1253,792,25.0
1261,792,25.0
1269,792,25.0
1277,792,25.0
1285,792,25.0
1293,792,25.0
1301,792,25.0
1309,792,25.0
1317,792,25.0
1325,790,25.0
1333,787,25.0
1341,787,25.0
1349,787,25.0
1357,785,25.0
1365,785,25.0
1373,783,25.0
1382,783,25.0
1390,783,25.0
1398,783,25.0
1406,783,25.0
1414,782,25.0
1422,782,25.0
1430,780,25.0
1438,780,25.0
1446,780,25.0
1454,780,25.0
1462,777,25.0
1470,775,25.0
1478,775,25.0
1486,775,25.0
1494,775,25.0
1502,775,25.0
1510,775,25.0
1518,774,25.0
1526,774,25.0
1534,771,25.0
1542,771,25.0
1550,771,25.0
1558,771,25.0
1566,769,25.0
1574,769,25.0
1582,768,25.0
1590,768,25.0
1598,768,25.0
1607,768,25.0
1615,768,25.0
1623,768,25.0
1631,768,25.0
1639,768,25.0
1647,768,25.0
1655,768,25.0
1663,768,25.0
1671,768,25.0
1679,761,25.0
1687,760,25.0
1695,760,25.0
1703,760,25.0
1711,760,25.0
1719,760,25.0
1727,760,25.0
1735,760,25.0
1743,758,25.0
1751,755,25.0
1759,756,25.0
1767,755,25.0
1775,755,25.0
1783,753,25.0
1791,753,25.0
1799,753,25.0
1807,752,25.0
1815,752,25.0
1823,752,25.0
1831,752,25.0
1840,752,25.0
1848,751,25.0
1856,750,25.0
1864,750,25.0
1872,750,25.0
1880,748,25.0
1888,748,25.0
1896,748,25.0
1904,748,25.0
1912,745,25.0
1920,745,25.0
1928,745,25.0
1936,743,25.0
1944,743,25.0
1952,743,25.0
1960,743,25.0
1968,743,25.0
1976,743,25.0
1984,743,25.0
1992,742,25.0
2000,742,25.0
2008,740,25.0
2016,739,25.0
2024,739,25.0
2032,737,25.0
2040,737,25.0
2048,737,25.0
2056,736,25.0
2064,736,25.0
2073,736,25.0
2081,736,25.0
2089,736,25.0
2097,736,25.0
2105,736,25.0
2113,736,25.0
2121,734,25.0
2129,732,25.0
2137,732,25.0
2145,732,25.0
2153,732,25.0
2161,732,25.0
2169,729,25.0
2177,729,25.0
2185,728,25.0
2193,728,25.0
2201,728,25.0
2209,728,25.0
