Time(microseconds),DLS Value,Temperature(C)
0,783,25.0
8,783,25.0
16,783,25.0
24,783,25.0
32,783,25.0
40,782,25.0
48,782,25.0
56,780,25.0
64,780,25.0
72,780,25.0
80,780,25.0
88,777,25.0
96,777,25.0
104,777,25.0
112,775,25.0
120,775,25.0
128,775,25.0
136,775,25.0
144,775,25.0
152,775,25.0
160,774,25.0
168,774,25.0
176,774,25.0
184,772,25.0
192,771,25.0
200,771,25.0
208,771,25.0
216,769,25.0
224,769,25.0
233,768,25.0
241,768,25.0
249,768,25.0
257,768,25.0
265,768,25.0
273,768,25.0
281,768,25.0
289,768,25.0
297,768,25.0
305,768,25.0
313,768,25.0
321,768,25.0
329,768,25.0
337,768,25.0
345,768,25.0
353,761,25.0
361,761,25.0
369,760,25.0
377,760,25.0
385,760,25.0
393,760,25.0
401,760,25.0
409,760,25.0
417,760,25.0
425,758,25.0
433,758,25.0
441,755,25.0
449,755,25.0
457,755,25.0
466,755,25.0
474,753,25.0
482,753,25.0
490,753,25.0
498,752,25.0
506,752,25.0
514,752,25.0
522,752,25.0
530,752,25.0
538,752,25.0
546,750,25.0
554,750,25.0
562,750,25.0
570,748,25.0
578,748,25.0
586,748,25.0
594,748,25.0
602,748,25.0
610,745,25.0
618,743,25.0
626,743,25.0
634,743,25.0
642,743,25.0
650,743,25.0
658,743,25.0
666,743,25.0
674,743,25.0
682,742,25.0
691,742,25.0
699,739,25.0
707,739,25.0
715,739,25.0
723,739,25.0
731,739,25.0
739,743,25.0
747,775,25.0
755,815,25.0
763,856,25.0
771,889,25.0
779,924,25.0
787,944,25.0
795,963,25.0
803,961,25.0
811,960,25.0
819,960,25.0
827,956,25.0
835,956,25.0
843,953,25.0
851,952,25.0
859,952,25.0
867,948,25.0
875,947,25.0
883,947,25.0
891,944,25.0
899,944,25.0
907,942,25.0
915,940,25.0
924,940,25.0
932,937,25.0
940,935,25.0
948,935,25.0
956,935,25.0
964,934,25.0
972,932,25.0
980,931,25.0
988,929,25.0
996,927,25.0
1004,927,25.0
1012,927,25.0
1020,926,25.0
1028,924,25.0
1036,924,25.0
1044,921,25.0
1052,920,25.0
1060,920,25.0
1068,920,25.0
1076,920,25.0
1084,915,25.0
1092,915,25.0
1100,915,25.0
1108,913,25.0
1116,911,25.0
1124,911,25.0
1132,911,25.0
1140,911,25.0
1149,910,25.0
1157,908,25.0
1165,908,25.0
1173,905,25.0
1181,905,25.0
1189,903,25.0
1197,903,25.0
1205,903,25.0
1213,903,25.0
1221,902,25.0
1229,900,25.0
1237,899,25.0
1245,899,25.0
1253,897,25.0
1261,896,25.0
1269,896,25.0
1277,896,25.0
1285,896,25.0
1293,896,25.0
1301,896,25.0
1309,892,25.0
1317,892,25.0
1325,892,25.0
1333,889,25.0
1341,888,25.0
1349,888,25.0
1357,888,25.0
1365,888,25.0
1373,888,25.0
1382,888,25.0
1390,886,25.0
1398,883,25.0
1406,883,25.0
1414,883,25.0
1422,881,25.0
1430,880,25.0
1438,880,25.0
1446,880,25.0
1454,880,25.0
1462,880,25.0
1470,878,25.0
1478,878,25.0
1486,876,25.0
1494,876,25.0
1502,873,25.0
1510,873,25.0
1518,873,25.0
1526,871,25.0
1534,871,25.0
1542,871,25.0
1550,871,25.0
1558,870,25.0
1566,870,25.0
1574,867,25.0
1582,867,25.0
1590,867,25.0
1598,867,25.0
1607,865,25.0
1615,864,25.0
1623,864,25.0
1631,864,25.0
1639,864,25.0
1647,864,25.0
1655,862,25.0
1663,862,25.0
1671,860,25.0
1679,860,25.0
1687,860,25.0
1695,859,25.0
1703,857,25.0
1711,856,25.0
1719,856,25.0
1727,856,25.0
1735,856,25.0
1743,856,25.0
1751,856,25.0
1759,854,25.0
1767,852,25.0
1775,851,25.0
1783,851,25.0
1791,851,25.0
1799,849,25.0
1807,849,25.0
1815,847,25.0
1823,847,25.0
1831,847,25.0
1840,847,25.0
1848,847,25.0
1856,846,25.0
1864,846,25.0
1872,844,25.0
1880,844,25.0
1888,844,25.0
1896,844,25.0
1904,844,25.0
1912,841,25.0
1920,839,25.0
1928,839,25.0
1936,839,25.0
1944,839,25.0
1952,839,25.0
1960,839,25.0
1968,839,25.0
1976,838,25.0
1984,838,25.0
1992,836,25.0
2000,835,25.0
2008,835,25.0
2016,835,25.0
2024,831,25.0
2032,831,25.0
2040,831,25.0
2048,831,25.0
2056,831,25.0
2064,831,25.0
2073,831,25.0
2081,831,25.0
2089,831,25.0
2097,830,25.0
2105,830,25.0
2113,830,25.0
2121,828,25.0
2129,828,25.0
2137,828,25.0
2145,828,25.0
2153,825,25.0
2161,825,25.0
2169,825,25.0
2177,824,25.0
2185,824,25.0
2193,824,25.0
2201,824,25.0
2209,824,25.0
2217,824,25.0
2225,824,25.0
2233,822,25.0
2241,820,25.0
2249,819,25.0
2257,819,25.0
2265,819,25.0
2273,819,25.0
2281,817,25.0
2289,817,25.0
2298,816,25.0
2306,816,25.0
2314,816,25.0
2322,816,25.0
2330,816,25.0
2338,816,25.0
2346,814,25.0
2354,814,25.0
2362,812,25.0
2370,812,25.0
2378,812,25.0
2386,812,25.0
2394,811,25.0
2402,809,25.0
2410,808,25.0
2418,807,25.0
2426,807,25.0
2434,807,25.0
2442,807,25.0
2450,807,25.0
2458,807,25.0
2466,807,25.0
2474,806,25.0
2482,806,25.0
2490,803,25.0
2498,803,25.0
2506,803,25.0
2514,803,25.0
2522,801,25.0
2531,799,25.0
2539,799,25.0
2547,799,25.0
2555,799,25.0
2563,799,25.0
2571,799,25.0
2579,799,25.0
2587,799,25.0
2595,798,25.0
2603,798,25.0
2611,796,25.0
2619,796,25.0
2627,796,25.0
2635,796,25.0
2643,795,25.0
2651,793,25.0
2659,792,25.0
2667,792,25.0
2675,792,25.0
2683,792,25.0
2691,792,25.0
2699,792,25.0
2707,792,25.0
2715,792,25.0
2723,790,25.0
2731,787,25.0
2739,787,25.0
2747,787,25.0
2756,787,25.0
2764,787,25.0
2772,785,25.0
2780,783,25.0
2788,783,25.0
2796,783,25.0
2804,783,25.0
2812,783,25.0
2820,783,25.0
2828,783,25.0
2836,782,25.0
2844,782,25.0
2852,780,25.0
2860,780,25.0
2868,780,25.0
2876,780,25.0
2884,780,25.0
2892,777,25.0
2900,777,25.0
2908,775,25.0
2916,775,25.0
2924,775,25.0
2932,775,25.0
2940,775,25.0
2948,775,25.0
2956,775,25.0
2964,774,25.0
2972,774,25.0
2980,774,25.0
2989,771,25.0
2997,771,25.0
3005,771,25.0
3013,771,25.0
3021,771,25.0
3029,769,25.0
3037,769,25.0
3045,768,25.0
3053,768,25.0
3061,768,25.0
3069,768,25.0
3077,768,25.0
3085,768,25.0
3093,768,25.0
3101,768,25.0
3109,768,25.0
3117,768,25.0
3125,768,25.0
3133,768,25.0
3141,768,25.0
3149,761,25.0
3157,760,25.0
3165,760,25.0
3173,760,25.0
3181,760,25.0
3189,760,25.0
3197,760,25.0
3205,760,25.0
3214,760,25.0
3222,760,25.0
3230,758,25.0
3238,756,25.0
3246,755,25.0
3254,755,25.0
3262,755,25.0
3270,753,25.0
3278,753,25.0
3286,753,25.0
3294,753,25.0
