Time(microseconds),DLS Value,Temperature(C)
0,816,25.0
8,816,25.0
16,816,25.0
24,814,25.0
32,814,25.0
40,812,25.0
48,812,25.0
56,812,25.0
64,812,25.0
72,811,25.0
80,808,25.0
88,807,25.0
96,807,25.0
104,807,25.0
112,807,25.0
120,807,25.0
128,807,25.0
136,806,25.0
144,806,25.0
152,803,25.0
160,803,25.0
168,803,25.0
176,803,25.0
184,801,25.0
192,799,25.0
200,799,25.0
208,799,25.0
216,799,25.0
224,799,25.0
233,799,25.0
241,798,25.0
249,798,25.0
257,798,25.0
265,796,25.0
273,796,25.0
281,796,25.0
289,796,25.0
297,795,25.0
305,793,25.0
313,792,25.0
321,792,25.0
329,792,25.0
337,792,25.0
345,792,25.0
353,792,25.0
361,792,25.0
369,790,25.0
377,787,25.0
385,787,25.0
393,787,25.0
401,787,25.0
409,785,25.0
417,785,25.0
425,785,25.0
433,783,25.0
441,783,25.0
449,783,25.0
457,783,25.0
466,783,25.0
474,783,25.0
482,782,25.0
490,782,25.0
498,780,25.0
506,780,25.0
514,780,25.0
522,780,25.0
530,777,25.0
538,777,25.0
546,777,25.0
554,775,25.0
562,775,25.0
570,775,25.0
578,775,25.0
586,775,25.0
594,775,25.0
602,774,25.0
610,774,25.0
618,771,25.0
626,771,25.0
634,771,25.0
642,771,25.0
650,771,25.0
658,769,25.0
666,769,25.0
674,769,25.0
682,768,25.0
691,768,25.0
699,768,25.0
707,768,25.0
715,768,25.0
723,768,25.0
731,768,25.0
739,768,25.0
747,768,25.0
755,768,25.0
763,768,25.0
771,768,25.0
779,768,25.0
787,761,25.0
795,761,25.0
803,761,25.0
811,760,25.0
819,760,25.0
827,760,25.0
835,760,25.0
843,760,25.0
851,760,25.0
859,760,25.0
867,760,25.0
875,758,25.0
883,756,25.0
891,755,25.0
899,755,25.0
907,755,25.0
915,753,25.0
924,753,25.0
932,753,25.0
940,753,25.0
948,752,25.0
956,752,25.0
964,752,25.0
972,752,25.0
980,752,25.0
988,751,25.0
996,750,25.0
1004,750,25.0
1012,750,25.0
1020,748,25.0
1028,748,25.0
1036,748,25.0
1044,748,25.0
1052,745,25.0
1060,743,25.0
1068,743,25.0
1076,743,25.0
1084,743,25.0
1092,743,25.0
1100,743,25.0
1108,743,25.0
1116,743,25.0
1124,742,25.0
1132,742,25.0
1140,739,25.0
1149,739,25.0
1157,739,25.0
1165,739,25.0
1173,739,25.0
1181,737,25.0
1189,737,25.0
1197,736,25.0
1205,736,25.0
1213,750,25.0
1221,787,25.0
1229,828,25.0
1237,867,25.0
1245,902,25.0
1253,929,25.0
1261,950,25.0
1269,947,25.0
1277,944,25.0
1285,942,25.0
1293,940,25.0
1301,937,25.0
1309,935,25.0
1317,935,25.0
1325,934,25.0
1333,931,25.0
1341,931,25.0
1349,927,25.0
1357,927,25.0
1365,927,25.0
1373,927,25.0
1382,924,25.0
1390,924,25.0
1398,924,25.0
1406,921,25.0
1414,920,25.0
1422,920,25.0
1430,920,25.0
1438,920,25.0
1446,918,25.0
1454,915,25.0
1462,915,25.0
1470,915,25.0
1478,911,25.0
1486,911,25.0
1494,911,25.0
1502,911,25.0
1510,910,25.0
1518,910,25.0
1526,908,25.0
1534,908,25.0
1542,908,25.0
1550,905,25.0
1558,904,25.0
1566,903,25.0
1574,903,25.0
1582,903,25.0
1590,903,25.0
1598,902,25.0
1607,900,25.0
1615,899,25.0
1623,899,25.0
1631,897,25.0
1639,897,25.0
1647,896,25.0
1655,896,25.0
1663,896,25.0
1671,896,25.0
1679,896,25.0
1687,896,25.0
1695,896,25.0
1703,892,25.0
1711,892,25.0
1719,891,25.0
1727,889,25.0
1735,888,25.0
1743,888,25.0
1751,888,25.0
1759,888,25.0
1767,888,25.0
1775,888,25.0
1783,886,25.0
1791,884,25.0
1799,883,25.0
1807,883,25.0
1815,883,25.0
1823,881,25.0
1831,880,25.0
1840,880,25.0
1848,880,25.0
1856,880,25.0
1864,880,25.0
1872,879,25.0
1880,879,25.0
1888,878,25.0
1896,876,25.0
1904,876,25.0
1912,876,25.0
1920,876,25.0
1928,873,25.0
1936,873,25.0
1944,871,25.0
1952,871,25.0
1960,871,25.0
1968,871,25.0
1976,871,25.0
1984,871,25.0
1992,870,25.0
2000,870,25.0
2008,867,25.0
2016,867,25.0
2024,867,25.0
2032,867,25.0
2040,865,25.0
2048,864,25.0
2056,864,25.0
2064,864,25.0
2073,864,25.0
2081,864,25.0
2089,862,25.0
2097,862,25.0
2105,860,25.0
2113,860,25.0
2121,860,25.0
2129,860,25.0
2137,860,25.0
2145,857,25.0
2153,857,25.0
2161,856,25.0
2169,856,25.0
2177,856,25.0
2185,856,25.0
2193,856,25.0
2201,856,25.0
2209,854,25.0
2217,852,25.0
2225,851,25.0
2233,851,25.0
2241,851,25.0
2249,851,25.0
2257,849,25.0
2265,847,25.0
2273,847,25.0
2281,847,25.0
2289,847,25.0
2298,847,25.0
2306,847,25.0
2314,847,25.0
2322,846,25.0
2330,846,25.0
2338,844,25.0
2346,844,25.0
2354,844,25.0
2362,844,25.0
2370,844,25.0
2378,841,25.0
2386,841,25.0
2394,839,25.0
2402,839,25.0
2410,839,25.0
2418,839,25.0
2426,839,25.0
2434,839,25.0
2442,839,25.0
2450,838,25.0
2458,838,25.0
2466,836,25.0
2474,835,25.0
2482,835,25.0
2490,835,25.0
2498,831,25.0
2506,831,25.0
2514,831,25.0
2522,831,25.0
2531,831,25.0
2539,831,25.0
2547,831,25.0
2555,831,25.0
2563,831,25.0
2571,830,25.0
2579,830,25.0
2587,830,25.0
2595,828,25.0
2603,828,25.0
2611,828,25.0
2619,828,25.0
2627,828,25.0
2635,825,25.0
2643,825,25.0
2651,824,25.0
2659,824,25.0
2667,824,25.0
2675,824,25.0
2683,824,25.0
2691,824,25.0
2699,824,25.0
2707,822,25.0
2715,820,25.0
2723,819,25.0
2731,819,25.0
2739,819,25.0
2747,819,25.0
2756,817,25.0
2764,817,25.0
2772,816,25.0
2780,816,25.0
2788,816,25.0
2796,816,25.0
2804,816,25.0
2812,816,25.0
2820,814,25.0
2828,814,25.0
2836,814,25.0
2844,812,25.0
2852,812,25.0
2860,812,25.0
2868,812,25.0
2876,809,25.0
2884,809,25.0
2892,807,25.0
2900,807,25.0
2908,807,25.0
2916,807,25.0
2924,807,25.0
2932,807,25.0
2940,807,25.0
2948,806,25.0
2956,806,25.0
2964,806,25.0
2972,803,25.0
2980,803,25.0
2989,803,25.0
2997,803,25.0
3005,801,25.0
3013,799,25.0
3021,799,25.0
3029,799,25.0
3037,799,25.0
3045,799,25.0
3053,799,25.0
3061,799,25.0
3069,799,25.0
3077,798,25.0
3085,798,25.0
3093,796,25.0
3101,796,25.0
3109,796,25.0
3117,796,25.0
3125,796,25.0
3133,793,25.0
3141,793,25.0
3149,792,25.0
3157,792,25.0
3165,792,25.0
3173,792,25.0
3181,792,25.0
3189,792,25.0
3197,792,25.0
3205,790,25.0
3214,788,25.0
3222,787,25.0
3230,787,25.0
3238,787,25.0
3246,787,25.0
3254,785,25.0
3262,785,25.0
3270,783,25.0
3278,783,25.0
3286,783,25.0
3294,783,25.0
3302,783,25.0
3310,783,25.0
3318,783,25.0
3326,782,25.0
3334,782,25.0
3342,780,25.0
3350,780,25.0
3358,780,25.0
3366,780,25.0
3374,777,25.0
3382,777,25.0
3390,777,25.0
3398,777,25.0
3406,775,25.0
3414,775,25.0
3422,775,25.0
3430,775,25.0
3438,775,25.0
3447,775,25.0
3455,774,25.0
3463,774,25.0
3471,771,25.0
3479,771,25.0
3487,771,25.0
3495,771,25.0
3503,769,25.0
3511,769,25.0
3519,769,25.0
3527,768,25.0
3535,768,25.0
3543,768,25.0
3551,768,25.0
3559,768,25.0
3567,768,25.0
3575,768,25.0
3583,768,25.0
3591,768,25.0
3599,768,25.0
3607,768,25.0
3615,768,25.0
3623,768,25.0
3631,768,25.0
3639,763,25.0
3647,761,25.0
3655,760,25.0
3663,760,25.0
3671,760,25.0
3680,760,25.0
3688,760,25.0
3696,760,25.0
3704,760,25.0
3712,760,25.0
3720,758,25.0
3728,758,25.0
3736,755,25.0
3744,755,25.0
3752,755,25.0
3760,755,25.0
3768,753,25.0
3776,753,25.0
3784,753,25.0
3792,752,25.0
3800,752,25.0
3808,752,25.0
3816,752,25.0
3824,752,25.0
3832,752,25.0
3840,750,25.0
3848,750,25.0
3856,750,25.0
3864,748,25.0
3872,748,25.0
3880,748,25.0
3888,748,25.0
3896,748,25.0
3905,745,25.0
3913,743,25.0
3921,743,25.0
3929,743,25.0
3937,743,25.0
3945,743,25.0
3953,743,25.0
3961,755,25.0
3969,792,25.0
3977,831,25.0
3985,865,25.0
3993,899,25.0
4001,931,25.0
4009,942,25.0
4017,937,25.0
4025,935,25.0
4033,934,25.0
4041,931,25.0
4049,927,25.0
4057,927,25.0
4065,927,25.0
4073,924,25.0
4081,924,25.0
4089,921,25.0
4097,920,25.0
4105,920,25.0
4113,920,25.0
4121,918,25.0
4129,918,25.0
4138,915,25.0
4146,913,25.0
4154,913,25.0
4162,911,25.0
4170,911,25.0
4178,911,25.0
4186,910,25.0
4194,908,25.0
4202,908,25.0
4210,908,25.0
4218,905,25.0
4226,903,25.0
4234,903,25.0
4242,903,25.0
4250,903,25.0
4258,903,25.0
4266,902,25.0
4274,899,25.0
4282,899,25.0
4290,899,25.0
4298,897,25.0
4306,896,25.0
4314,896,25.0
4322,896,25.0
4330,896,25.0
4338,896,25.0
4346,896,25.0
4354,892,25.0
4363,892,25.0
4371,892,25.0
4379,891,25.0
4387,889,25.0
4395,888,25.0
4403,888,25.0
4411,888,25.0
4419,888,25.0
4427,888,25.0
4435,888,25.0
4443,886,25.0
4451,884,25.0
4459,883,25.0
4467,883,25.0
4475,881,25.0
4483,881,25.0
4491,880,25.0
4499,880,25.0
4507,880,25.0
4515,880,25.0
4523,880,25.0
4531,878,25.0
4539,878,25.0
4547,876,25.0
4555,876,25.0
4563,876,25.0
4571,876,25.0
4579,873,25.0
4587,873,25.0
4596,871,25.0
4604,871,25.0
4612,871,25.0
4620,871,25.0
4628,871,25.0
4636,870,25.0
4644,870,25.0
4652,867,25.0
4660,867,25.0
4668,867,25.0
4676,867,25.0
4684,865,25.0
4692,865,25.0
4700,864,25.0
4708,864,25.0
4716,864,25.0
4724,864,25.0
4732,864,25.0
4740,864,25.0
4748,862,25.0
4756,862,25.0
4764,862,25.0
4772,860,25.0
4780,860,25.0
4788,860,25.0
4796,860,25.0
4804,857,25.0
4812,856,25.0
4821,856,25.0
4829,856,25.0
