Time(microseconds),DLS Value,Temperature(C)
0,723,25.0
8,723,25.0
16,723,25.0
24,721,25.0
32,721,25.0
40,719,25.0
48,719,25.0
56,719,25.0
64,719,25.0
72,719,25.0
80,719,25.0
88,719,25.0
96,718,25.0
104,718,25.0
112,718,25.0
120,718,25.0
128,716,25.0
136,716,25.0
144,716,25.0
152,713,25.0
160,716,25.0
168,716,25.0
176,711,25.0
184,711,25.0
192,711,25.0
200,711,25.0
208,711,25.0
217,711,25.0
225,711,25.0
233,710,25.0
241,711,25.0
249,710,25.0
257,708,25.0
265,707,25.0
273,707,25.0
281,707,25.0
289,705,25.0
297,705,25.0
305,705,25.0
313,704,25.0
321,704,25.0
329,704,25.0
337,704,25.0
345,704,25.0
353,704,25.0
361,704,25.0
369,704,25.0
377,704,25.0
385,704,25.0
393,702,25.0
401,700,25.0
409,700,25.0
417,700,25.0
425,700,25.0
434,697,25.0
442,697,25.0
450,711,25.0
458,748,25.0
466,792,25.0
474,828,25.0
482,860,25.0
490,880,25.0
498,897,25.0
506,896,25.0
514,896,25.0
522,896,25.0
530,892,25.0
538,892,25.0
546,889,25.0
554,888,25.0
562,888,25.0
570,886,25.0
578,883,25.0
586,883,25.0
594,883,25.0
602,880,25.0
610,880,25.0
618,880,25.0
626,878,25.0
634,876,25.0
643,876,25.0
651,873,25.0
659,871,25.0
667,871,25.0
675,871,25.0
683,870,25.0
691,867,25.0
699,867,25.0
707,865,25.0
715,865,25.0
723,864,25.0
731,864,25.0
739,864,25.0
747,862,25.0
755,862,25.0
763,860,25.0
771,860,25.0
779,860,25.0
787,857,25.0
795,856,25.0
803,856,25.0
811,856,25.0
819,856,25.0
827,856,25.0
835,854,25.0
843,851,25.0
851,851,25.0
860,851,25.0
868,849,25.0
876,849,25.0
884,847,25.0
892,847,25.0
900,847,25.0
908,847,25.0
916,846,25.0
924,846,25.0
932,844,25.0
940,844,25.0
948,844,25.0
956,844,25.0
964,843,25.0
972,841,25.0
980,839,25.0
988,839,25.0
996,839,25.0
1004,839,25.0
1012,839,25.0
1020,838,25.0
1028,838,25.0
1036,838,25.0
1044,835,25.0
1052,835,25.0
1060,835,25.0
1068,835,25.0
1077,835,25.0
1085,831,25.0
1093,831,25.0
1101,831,25.0
1109,831,25.0
1117,831,25.0
1125,831,25.0
1133,831,25.0
1141,831,25.0
1149,830,25.0
1157,830,25.0
1165,830,25.0
1173,828,25.0
1181,828,25.0
1189,828,25.0
1197,828,25.0
1205,828,25.0
1213,828,25.0
1221,825,25.0
1229,824,25.0
1237,824,25.0
1245,824,25.0
1253,824,25.0
1261,824,25.0
1269,824,25.0
1277,824,25.0
1286,824,25.0
1294,822,25.0
1302,820,25.0
1310,819,25.0
1318,819,25.0
1326,819,25.0
1334,817,25.0
1342,817,25.0
1350,817,25.0
1358,816,25.0
1366,816,25.0
1374,816,25.0
1382,816,25.0
1390,815,25.0
1398,814,25.0
1406,814,25.0
1414,812,25.0
1422,812,25.0
1430,812,25.0
1438,812,25.0
1446,812,25.0
1454,809,25.0
1462,807,25.0
1470,809,25.0
1478,807,25.0
1486,807,25.0
1494,807,25.0
1503,807,25.0
1511,807,25.0
1519,806,25.0
1527,806,25.0
1535,806,25.0
1543,803,25.0
1551,803,25.0
1559,803,25.0
1567,801,25.0
1575,801,25.0
1583,799,25.0
1591,799,25.0
1599,799,25.0
1607,799,25.0
1615,799,25.0
1623,799,25.0
1631,799,25.0
1639,799,25.0
1647,798,25.0
1655,798,25.0
1663,796,25.0
1671,796,25.0
1679,796,25.0
1687,796,25.0
1695,796,25.0
1703,793,25.0
1711,793,25.0
1720,792,25.0
1728,792,25.0
1736,792,25.0
1744,792,25.0
1752,792,25.0
1760,792,25.0
1768,790,25.0
1776,790,25.0
1784,790,25.0
1792,787,25.0
1800,787,25.0
1808,787,25.0
1816,787,25.0
1824,785,25.0
1832,785,25.0
1840,783,25.0
1848,783,25.0
1856,783,25.0
1864,783,25.0
1872,783,25.0
1880,783,25.0
1888,783,25.0
1896,782,25.0
1904,782,25.0
1912,780,25.0
1920,780,25.0
1929,780,25.0
1937,780,25.0
1945,780,25.0
1953,777,25.0
1961,775,25.0
1969,775,25.0
1977,775,25.0
1985,775,25.0
1993,775,25.0
2001,775,25.0
2009,775,25.0
2017,775,25.0
2025,774,25.0
2033,774,25.0
2041,772,25.0
2049,771,25.0
2057,771,25.0
2065,771,25.0
2073,771,25.0
2081,769,25.0
2089,769,25.0
2097,768,25.0
2105,768,25.0
2113,768,25.0
2121,768,25.0
2129,768,25.0
2137,768,25.0
2146,768,25.0
2154,768,25.0
2162,768,25.0
2170,768,25.0
2178,768,25.0
2186,768,25.0
2194,768,25.0
2202,768,25.0
2210,764,25.0
