Time(microseconds),DLS Value,Temperature(C)
0,691,25.0
8,691,25.0
16,689,25.0
24,688,25.0
32,688,25.0
40,688,25.0
48,688,25.0
56,688,25.0
64,688,25.0
72,686,25.0
80,688,25.0
88,686,25.0
96,686,25.0
104,686,25.0
112,684,25.0
120,684,25.0
128,684,25.0
136,684,25.0
144,681,25.0
152,681,25.0
160,679,25.0
168,679,25.0
176,679,25.0
184,679,25.0
192,679,25.0
200,679,25.0
208,679,25.0
216,678,25.0
224,678,25.0
233,678,25.0
241,675,25.0
249,675,25.0
257,675,25.0
265,675,25.0
273,675,25.0
281,673,25.0
289,675,25.0
297,671,25.0
305,671,25.0
313,671,25.0
321,671,25.0
329,671,25.0
337,671,25.0
345,675,25.0
353,707,25.0
361,743,25.0
369,780,25.0
377,816,25.0
385,839,25.0
393,856,25.0
401,856,25.0
409,856,25.0
417,856,25.0
425,851,25.0
433,851,25.0
441,849,25.0
449,847,25.0
457,847,25.0
466,846,25.0
474,844,25.0
482,844,25.0
490,841,25.0
498,839,25.0
506,839,25.0
514,838,25.0
522,835,25.0
530,835,25.0
538,831,25.0
546,831,25.0
554,831,25.0
562,831,25.0
570,831,25.0
578,831,25.0
586,830,25.0
594,828,25.0
602,828,25.0
610,828,25.0
618,825,25.0
626,824,25.0
634,824,25.0
642,824,25.0
650,824,25.0
658,824,25.0
666,824,25.0
674,822,25.0
682,822,25.0
691,819,25.0
699,819,25.0
707,819,25.0
715,819,25.0
723,817,25.0
731,817,25.0
739,817,25.0
747,816,25.0
755,816,25.0
763,816,25.0
771,816,25.0
779,816,25.0
787,816,25.0
795,816,25.0
803,816,25.0
811,816,25.0
819,816,25.0
827,815,25.0
835,814,25.0
843,812,25.0
851,812,25.0
859,812,25.0
867,812,25.0
875,812,25.0
883,812,25.0
891,809,25.0
899,807,25.0
907,807,25.0
915,807,25.0
924,807,25.0
932,807,25.0
940,806,25.0
948,806,25.0
956,803,25.0
964,804,25.0
972,803,25.0
980,803,25.0
988,803,25.0
996,803,25.0
1004,799,25.0
1012,799,25.0
1020,799,25.0
1028,799,25.0
1036,799,25.0
1044,799,25.0
1052,799,25.0
1060,798,25.0
1068,798,25.0
1076,796,25.0
1084,796,25.0
1092,796,25.0
1100,793,25.0
1108,793,25.0
1116,792,25.0
1124,792,25.0
1132,792,25.0
1140,792,25.0
1149,792,25.0
1157,792,25.0
1165,792,25.0
1173,792,25.0
1181,792,25.0
1189,787,25.0
1197,787,25.0
1205,787,25.0
1213,787,25.0
1221,785,25.0
1229,785,25.0
1237,783,25.0
1245,783,25.0
1253,783,25.0
1261,783,25.0
1269,783,25.0
1277,783,25.0
1285,783,25.0
1293,783,25.0
1301,782,25.0
1309,780,25.0
1317,780,25.0
1325,780,25.0
1333,780,25.0
1341,780,25.0
1349,780,25.0
1357,777,25.0
1365,777,25.0
1373,775,25.0
1382,775,25.0
1390,775,25.0
1398,775,25.0
1406,775,25.0
1414,775,25.0
1422,774,25.0
1430,774,25.0
1438,774,25.0
1446,771,25.0
1454,771,25.0
1462,771,25.0
1470,771,25.0
1478,769,25.0
1486,771,25.0
1494,769,25.0
1502,768,25.0
