Time(microseconds),DLS Value,Temperature(C)
0,700,25.0
8,696,25.0
16,696,25.0
24,696,25.0
32,697,25.0
40,696,25.0
48,696,25.0
56,696,25.0
64,696,25.0
72,696,25.0
80,694,25.0
88,696,25.0
96,696,25.0
104,694,25.0
112,691,25.0
120,691,25.0
128,689,25.0
136,689,25.0
144,691,25.0
152,689,25.0
160,689,25.0
168,688,25.0
176,688,25.0
184,688,25.0
192,688,25.0
200,688,25.0
208,688,25.0
216,688,25.0
224,684,25.0
233,688,25.0
241,687,25.0
249,686,25.0
257,684,25.0
265,684,25.0
273,684,25.0
281,684,25.0
289,681,25.0
297,681,25.0
305,683,25.0
313,681,25.0
321,679,25.0
329,679,25.0
337,679,25.0
345,679,25.0
353,678,25.0
361,679,25.0
369,679,25.0
377,678,25.0
385,678,25.0
393,678,25.0
401,675,25.0
409,675,25.0
417,678,25.0
425,675,25.0
433,675,25.0
441,675,25.0
449,671,25.0
457,671,25.0
466,671,25.0
474,671,25.0
482,671,25.0
490,671,25.0
498,671,25.0
506,671,25.0
514,671,25.0
522,671,25.0
530,671,25.0
538,671,25.0
546,668,25.0
554,668,25.0
562,668,25.0
570,668,25.0
578,668,25.0
586,664,25.0
594,664,25.0
602,664,25.0
610,664,25.0
618,664,25.0
626,664,25.0
634,664,25.0
642,664,25.0
650,664,25.0
658,664,25.0
666,664,25.0
674,664,25.0
682,664,25.0
691,664,25.0
699,660,25.0
707,659,25.0
715,659,25.0
723,659,25.0
731,659,25.0
739,657,25.0
747,655,25.0
755,657,25.0
763,657,25.0
771,657,25.0
779,657,25.0
787,655,25.0
795,655,25.0
803,655,25.0
811,655,25.0
819,654,25.0
827,655,25.0
835,654,25.0
843,654,25.0
851,655,25.0
859,654,25.0
867,652,25.0
875,649,25.0
883,649,25.0
891,649,25.0
899,652,25.0
907,652,25.0
915,649,25.0
924,649,25.0
932,649,25.0
940,649,25.0
948,649,25.0
956,649,25.0
964,647,25.0
972,647,25.0
980,647,25.0
988,647,25.0
996,647,25.0
1004,647,25.0
1012,646,25.0
1020,646,25.0
1028,643,25.0
1036,646,25.0
1044,646,25.0
1052,643,25.0
1060,639,25.0
1068,639,25.0
1076,639,25.0
1084,639,25.0
1092,639,25.0
1100,639,25.0
1108,639,25.0
1116,639,25.0
1124,639,25.0
1132,639,25.0
1140,639,25.0
1149,639,25.0
1157,639,25.0
1165,639,25.0
1173,639,25.0
1181,639,25.0
1189,638,25.0
1197,638,25.0
1205,638,25.0
1213,636,25.0
1221,636,25.0
1229,636,25.0
1237,633,25.0
1245,633,25.0
1253,632,25.0
1261,633,25.0
1269,633,25.0
1277,633,25.0
1285,632,25.0
1293,632,25.0
1301,632,25.0
1309,632,25.0
1317,632,25.0
1325,632,25.0
1333,632,25.0
1341,632,25.0
1349,632,25.0
1357,632,25.0
1365,632,25.0
1373,630,25.0
1382,627,25.0
1390,627,25.0
1398,627,25.0
1406,625,25.0
1414,625,25.0
1422,625,25.0
1430,625,25.0
1438,627,25.0
1446,627,25.0
1454,625,25.0
1462,625,25.0
1470,625,25.0
1478,624,25.0
1486,624,25.0
1494,624,25.0
1502,624,25.0
1510,622,25.0
1518,624,25.0
1526,624,25.0
1534,622,25.0
1542,624,25.0
1550,622,25.0
1558,622,25.0
1566,622,25.0
1574,622,25.0
1582,622,25.0
1590,622,25.0
1598,620,25.0
1607,620,25.0
1615,620,25.0
1623,620,25.0
1631,617,25.0
1639,620,25.0
1647,617,25.0
1655,620,25.0
1663,615,25.0
1671,615,25.0
1679,615,25.0
1687,615,25.0
1695,615,25.0
1703,615,25.0
1711,615,25.0
1719,615,25.0
1727,615,25.0
1735,615,25.0
1743,615,25.0
1751,615,25.0
1759,615,25.0
1767,615,25.0
1775,615,25.0
1783,615,25.0
1791,615,25.0
1799,615,25.0
1807,615,25.0
1815,615,25.0
1823,615,25.0
1831,614,25.0
1840,614,25.0
1848,614,25.0
1856,611,25.0
1864,614,25.0
1872,612,25.0
1880,614,25.0
1888,611,25.0
1896,611,25.0
1904,611,25.0
1912,611,25.0
1920,611,25.0
1928,611,25.0
1936,611,25.0
1944,611,25.0
1952,611,25.0
1960,611,25.0
1968,609,25.0
1976,611,25.0
1984,611,25.0
1992,609,25.0
2000,609,25.0
2008,609,25.0
2016,609,25.0
2024,611,25.0
2032,609,25.0
2040,609,25.0
2048,608,25.0
