Time(microseconds),DLS Value,Temperature(C)
0,768,25.0
8,768,25.0
16,761,25.0
24,760,25.0
32,760,25.0
40,760,25.0
48,760,25.0
56,760,25.0
64,758,25.0
72,755,25.0
80,755,25.0
88,755,25.0
96,753,25.0
104,752,25.0
112,752,25.0
120,752,25.0
128,752,25.0
136,752,25.0
144,750,25.0
152,748,25.0
160,750,25.0
168,748,25.0
176,748,25.0
184,748,25.0
192,745,25.0
200,745,25.0
209,745,25.0
217,743,25.0
225,743,25.0
233,743,25.0
241,743,25.0
249,742,25.0
257,742,25.0
265,742,25.0
273,739,25.0
281,739,25.0
289,737,25.0
297,736,25.0
305,736,25.0
313,736,25.0
321,736,25.0
329,736,25.0
337,732,25.0
345,732,25.0
353,732,25.0
361,732,25.0
369,732,25.0
377,732,25.0
385,732,25.0
393,732,25.0
401,729,25.0
410,728,25.0
418,732,25.0
426,729,25.0
434,728,25.0
442,728,25.0
450,728,25.0
458,728,25.0
466,726,25.0
474,723,25.0
482,723,25.0
490,724,25.0
498,723,25.0
506,723,25.0
514,723,25.0
522,719,25.0
530,719,25.0
538,721,25.0
546,721,25.0
554,719,25.0
562,719,25.0
570,719,25.0
578,719,25.0
586,719,25.0
594,719,25.0
602,719,25.0
611,718,25.0
619,716,25.0
627,716,25.0
635,716,25.0
643,716,25.0
651,716,25.0
659,716,25.0
667,716,25.0
675,716,25.0
683,711,25.0
691,713,25.0
699,713,25.0
707,713,25.0
715,713,25.0
723,711,25.0
731,711,25.0
739,711,25.0
747,711,25.0
755,711,25.0
763,711,25.0
771,710,25.0
779,710,25.0
787,707,25.0
795,707,25.0
803,707,25.0
812,707,25.0
820,707,25.0
828,705,25.0
836,704,25.0
844,704,25.0
852,704,25.0
860,704,25.0
868,704,25.0
876,704,25.0
884,704,25.0
892,704,25.0
900,704,25.0
908,704,25.0
916,704,25.0
924,702,25.0
932,700,25.0
940,700,25.0
948,700,25.0
956,700,25.0
964,700,25.0
972,700,25.0
980,700,25.0
988,700,25.0
996,700,25.0
1004,697,25.0
1013,696,25.0
1021,696,25.0
1029,696,25.0
1037,696,25.0
1045,696,25.0
1053,696,25.0
1061,696,25.0
1069,696,25.0
1077,694,25.0
1085,696,25.0
1093,696,25.0
1101,692,25.0
1109,691,25.0
1117,691,25.0
1125,691,25.0
1133,688,25.0
1141,688,25.0
1149,688,25.0
1157,688,25.0
1165,688,25.0
1173,688,25.0
1181,688,25.0
1189,688,25.0
1197,688,25.0
1205,684,25.0
1214,686,25.0
1222,686,25.0
1230,684,25.0
1238,684,25.0
1246,684,25.0
1254,684,25.0
1262,684,25.0
1270,681,25.0
1278,679,25.0
1286,679,25.0
1294,679,25.0
1302,679,25.0
1310,678,25.0
1318,679,25.0
1326,679,25.0
1334,678,25.0
1342,679,25.0
1350,678,25.0
1358,678,25.0
1366,675,25.0
1374,675,25.0
1382,675,25.0
1390,671,25.0
1398,671,25.0
1406,671,25.0
1415,673,25.0
1423,673,25.0
1431,671,25.0
1439,671,25.0
1447,671,25.0
1455,671,25.0
1463,671,25.0
1471,671,25.0
1479,671,25.0
1487,670,25.0
1495,671,25.0
1503,671,25.0
1511,668,25.0
1519,670,25.0
1527,668,25.0
1535,668,25.0
1543,668,25.0
1551,668,25.0
1559,668,25.0
1567,668,25.0
1575,668,25.0
1583,665,25.0
1591,665,25.0
1599,664,25.0
1607,664,25.0
1616,664,25.0
1624,664,25.0
1632,664,25.0
1640,664,25.0
1648,664,25.0
1656,662,25.0
1664,664,25.0
1672,662,25.0
1680,659,25.0
1688,664,25.0
1696,660,25.0
1704,659,25.0
1712,659,25.0
1720,659,25.0
1728,659,25.0
1736,657,25.0
1744,657,25.0
1752,655,25.0
1760,655,25.0
1768,655,25.0
1776,655,25.0
1784,655,25.0
1792,655,25.0
1800,655,25.0
1808,655,25.0
1817,654,25.0
1825,654,25.0
1833,652,25.0
1841,654,25.0
1849,652,25.0
1857,652,25.0
1865,652,25.0
1873,652,25.0
1881,649,25.0
1889,649,25.0
1897,649,25.0
1905,647,25.0
1913,647,25.0
1921,647,25.0
1929,647,25.0
1937,647,25.0
1945,646,25.0
1953,646,25.0
1961,639,25.0
1969,647,25.0
1977,647,25.0
1985,646,25.0
1993,643,25.0
2001,639,25.0
2009,639,25.0
2018,639,25.0
2026,639,25.0
2034,639,25.0
2042,639,25.0
2050,639,25.0
2058,639,25.0
2066,639,25.0
2074,639,25.0
2082,639,25.0
2090,639,25.0
2098,639,25.0
2106,639,25.0
2114,639,25.0
2122,639,25.0
2130,638,25.0
2138,638,25.0
2146,636,25.0
2154,636,25.0
2162,636,25.0
2170,636,25.0
2178,633,25.0
2186,633,25.0
2194,632,25.0
2202,632,25.0
2210,632,25.0
2219,633,25.0
2227,633,25.0
2235,632,25.0
2243,632,25.0
2251,632,25.0
2259,632,25.0
2267,632,25.0
2275,632,25.0
2283,632,25.0
2291,632,25.0
2299,632,25.0
2307,632,25.0
2315,630,25.0
2323,627,25.0
2331,625,25.0
2339,627,25.0
2347,627,25.0
2355,625,25.0
2363,625,25.0
2371,625,25.0
2379,624,25.0
2387,624,25.0
2395,624,25.0
2403,624,25.0
2411,624,25.0
2420,624,25.0
2428,624,25.0
2436,624,25.0
2444,624,25.0
2452,624,25.0
2460,624,25.0
2468,624,25.0
2476,623,25.0
2484,624,25.0
2492,623,25.0
2500,622,25.0
2508,620,25.0
2516,622,25.0
2524,622,25.0
2532,622,25.0
2540,622,25.0
2548,620,25.0
2556,620,25.0
2564,620,25.0
2572,620,25.0
2580,620,25.0
2588,620,25.0
2596,620,25.0
2604,620,25.0
2612,619,25.0
2621,620,25.0
2629,617,25.0
2637,615,25.0
2645,615,25.0
2653,615,25.0
2661,615,25.0
2669,615,25.0
2677,615,25.0
2685,615,25.0
2693,615,25.0
2701,615,25.0
2709,615,25.0
2717,615,25.0
2725,615,25.0
2733,615,25.0
2741,615,25.0
2749,614,25.0
2757,615,25.0
2765,615,25.0
2773,615,25.0
2781,614,25.0
2789,615,25.0
2797,614,25.0
2805,615,25.0
2813,614,25.0
2822,614,25.0
2830,612,25.0
2838,612,25.0
2846,614,25.0
2854,611,25.0
2862,614,25.0
2870,612,25.0
2878,611,25.0
2886,611,25.0
2894,611,25.0
2902,611,25.0
2910,611,25.0
2918,611,25.0
2926,611,25.0
2934,611,25.0
2942,611,25.0
2950,611,25.0
2958,611,25.0
2966,611,25.0
2974,611,25.0
2982,609,25.0
2990,609,25.0
2998,609,25.0
3006,609,25.0
3014,609,25.0
3023,611,25.0
3031,609,25.0
3039,609,25.0
3047,608,25.0
3055,609,25.0
3063,609,25.0
3071,608,25.0
3079,608,25.0
3087,608,25.0
3095,608,25.0
3103,608,25.0
3111,608,25.0
3119,609,25.0
3127,608,25.0
3135,608,25.0
3143,608,25.0
3151,608,25.0
3159,608,25.0
3167,608,25.0
3175,608,25.0
3183,608,25.0
3191,608,25.0
3199,608,25.0
3207,608,25.0
