Time(microseconds),DLS Value,Temperature(C)
0,620,25.0
8,620,25.0
16,620,25.0
24,620,25.0
32,620,25.0
40,620,25.0
48,620,25.0
56,620,25.0
64,620,25.0
72,620,25.0
80,620,25.0
88,620,25.0
96,620,25.0
104,620,25.0
112,620,25.0
120,620,25.0
128,620,25.0
136,620,25.0
144,620,25.0
152,620,25.0
160,620,25.0
168,620,25.0
176,620,25.0
184,620,25.0
192,620,25.0
200,617,25.0
208,620,25.0
216,619,25.0
224,620,25.0
233,617,25.0
241,620,25.0
249,619,25.0
257,619,25.0
265,617,25.0
273,617,25.0
281,617,25.0
289,620,25.0
297,617,25.0
305,617,25.0
313,617,25.0
321,617,25.0
329,617,25.0
337,615,25.0
345,615,25.0
353,615,25.0
361,617,25.0
369,617,25.0
377,615,25.0
385,615,25.0
393,615,25.0
401,615,25.0
409,615,25.0
417,615,25.0
425,617,25.0
433,615,25.0
441,615,25.0
449,615,25.0
457,615,25.0
466,615,25.0
474,615,25.0
482,615,25.0
490,615,25.0
498,615,25.0
506,615,25.0
514,615,25.0
522,615,25.0
530,615,25.0
538,615,25.0
546,615,25.0
554,615,25.0
562,615,25.0
570,615,25.0
578,615,25.0
586,615,25.0
594,615,25.0
602,615,25.0
610,615,25.0
618,615,25.0
626,615,25.0
634,615,25.0
642,615,25.0
650,615,25.0
658,615,25.0
666,615,25.0
674,615,25.0
682,615,25.0
691,615,25.0
699,615,25.0
707,615,25.0
715,615,25.0
723,625,25.0
731,639,25.0
739,655,25.0
747,678,25.0
755,704,25.0
763,728,25.0
771,726,25.0
779,728,25.0
787,728,25.0
795,728,25.0
803,728,25.0
811,723,25.0
819,721,25.0
827,719,25.0
835,718,25.0
843,713,25.0
851,711,25.0
859,707,25.0
867,705,25.0
875,704,25.0
883,704,25.0
891,700,25.0
899,696,25.0
907,696,25.0
915,694,25.0
924,691,25.0
932,691,25.0
940,688,25.0
948,688,25.0
956,684,25.0
964,684,25.0
972,679,25.0
980,679,25.0
988,679,25.0
996,679,25.0
1004,678,25.0
1012,675,25.0
1020,671,25.0
1028,671,25.0
1036,671,25.0
1044,671,25.0
1052,671,25.0
1060,668,25.0
1068,670,25.0
1076,668,25.0
1084,668,25.0
1092,665,25.0
1100,668,25.0
1108,664,25.0
1116,664,25.0
1124,664,25.0
1132,664,25.0
1140,664,25.0
1149,664,25.0
1157,664,25.0
1165,659,25.0
1173,659,25.0
1181,659,25.0
1189,659,25.0
1197,659,25.0
1205,659,25.0
1213,657,25.0
1221,657,25.0
1229,655,25.0
1237,655,25.0
1245,655,25.0
1253,655,25.0
1261,655,25.0
1269,655,25.0
1277,655,25.0
1285,654,25.0
1293,654,25.0
1301,654,25.0
1309,654,25.0
1317,652,25.0
1325,654,25.0
1333,652,25.0
1341,652,25.0
1349,652,25.0
1357,652,25.0
1365,652,25.0
1373,652,25.0
1382,651,25.0
1390,652,25.0
1398,652,25.0
1406,649,25.0
1414,647,25.0
1422,649,25.0
1430,649,25.0
1438,647,25.0
1446,647,25.0
1454,647,25.0
1462,647,25.0
1470,647,25.0
1478,647,25.0
1486,647,25.0
1494,647,25.0
1502,647,25.0
1510,647,25.0
1518,647,25.0
1526,647,25.0
1534,647,25.0
1542,646,25.0
1550,646,25.0
1558,646,25.0
1566,646,25.0
1574,644,25.0
1582,646,25.0
1590,644,25.0
1598,639,25.0
1607,639,25.0
1615,644,25.0
1623,643,25.0
1631,639,25.0
1639,643,25.0
1647,639,25.0
1655,639,25.0
1663,639,25.0
1671,639,25.0
1679,639,25.0
1687,639,25.0
1695,639,25.0
1703,639,25.0
1711,639,25.0
1719,639,25.0
1727,639,25.0
1735,639,25.0
1743,639,25.0
1751,639,25.0
1759,639,25.0
1767,639,25.0
1775,639,25.0
1783,639,25.0
1791,639,25.0
1799,639,25.0
1807,639,25.0
1815,639,25.0
1823,639,25.0
1831,639,25.0
1840,639,25.0
1848,639,25.0
1856,639,25.0
1864,638,25.0
1872,639,25.0
1880,638,25.0
1888,638,25.0
1896,638,25.0
1904,636,25.0
1912,638,25.0
1920,636,25.0
1928,636,25.0
1936,638,25.0
1944,638,25.0
1952,636,25.0
1960,636,25.0
1968,636,25.0
1976,636,25.0
1984,636,25.0
1992,636,25.0
2000,633,25.0
2008,633,25.0
2016,636,25.0
2024,633,25.0
2032,632,25.0
2040,633,25.0
2048,632,25.0
2056,632,25.0
2064,632,25.0
2073,633,25.0
2081,633,25.0
2089,632,25.0
2097,632,25.0
2105,632,25.0
2113,632,25.0
2121,632,25.0
2129,632,25.0
2137,632,25.0
2145,632,25.0
2153,632,25.0
2161,632,25.0
2169,632,25.0
2177,632,25.0
2185,632,25.0
2193,632,25.0
2201,632,25.0
2209,632,25.0
2217,632,25.0
2225,632,25.0
2233,630,25.0
2241,632,25.0
2249,630,25.0
2257,630,25.0
2265,630,25.0
2273,632,25.0
2281,630,25.0
2289,630,25.0
2298,627,25.0
2306,627,25.0
2314,627,25.0
2322,627,25.0
2330,627,25.0
2338,627,25.0
2346,627,25.0
2354,627,25.0
2362,627,25.0
2370,627,25.0
2378,627,25.0
2386,627,25.0
2394,627,25.0
2402,627,25.0
2410,627,25.0
2418,625,25.0
2426,627,25.0
2434,627,25.0
2442,627,25.0
2450,627,25.0
2458,625,25.0
2466,627,25.0
2474,625,25.0
2482,624,25.0
2490,625,25.0
2498,625,25.0
2506,624,25.0
2514,624,25.0
2522,624,25.0
2531,625,25.0
2539,625,25.0
2547,624,25.0
2555,624,25.0
2563,624,25.0
2571,624,25.0
2579,624,25.0
2587,624,25.0
2595,624,25.0
2603,624,25.0
2611,624,25.0
2619,624,25.0
2627,624,25.0
2635,624,25.0
2643,624,25.0
2651,624,25.0
2659,624,25.0
2667,624,25.0
2675,624,25.0
2683,624,25.0
2691,624,25.0
2699,624,25.0
2707,624,25.0
2715,624,25.0
2723,624,25.0
2731,624,25.0
2739,624,25.0
2747,623,25.0
2756,623,25.0
2764,623,25.0
2772,622,25.0
2780,622,25.0
2788,622,25.0
2796,622,25.0
2804,622,25.0
2812,622,25.0
2820,622,25.0
2828,622,25.0
2836,622,25.0
2844,622,25.0
2852,622,25.0
2860,623,25.0
2868,622,25.0
2876,622,25.0
2884,622,25.0
2892,622,25.0
2900,620,25.0
2908,620,25.0
2916,622,25.0
2924,620,25.0
2932,622,25.0
2940,622,25.0
2948,620,25.0
2956,620,25.0
2964,620,25.0
2972,620,25.0
2980,620,25.0
2989,620,25.0
2997,620,25.0
3005,620,25.0
3013,620,25.0
3021,620,25.0
3029,620,25.0
3037,620,25.0
3045,620,25.0
3053,620,25.0
3061,620,25.0
3069,620,25.0
3077,620,25.0
3085,620,25.0
3093,620,25.0
3101,620,25.0
3109,620,25.0
3117,620,25.0
3125,620,25.0
3133,620,25.0
3141,620,25.0
3149,620,25.0
3157,620,25.0
3165,620,25.0
3173,620,25.0
3181,620,25.0
3189,620,25.0
3197,620,25.0
3205,620,25.0
3214,620,25.0
3222,617,25.0
3230,617,25.0
3238,617,25.0
3246,619,25.0
3254,617,25.0
3262,617,25.0
3270,617,25.0
3278,619,25.0
3286,617,25.0
3294,617,25.0
3302,617,25.0
3310,617,25.0
3318,617,25.0
3326,617,25.0
3334,617,25.0
3342,617,25.0
3350,617,25.0
3358,617,25.0
3366,617,25.0
3374,615,25.0
3382,615,25.0
3390,617,25.0
3398,615,25.0
3406,615,25.0
3414,615,25.0
3422,615,25.0
3430,615,25.0
3438,615,25.0
3447,615,25.0
3455,615,25.0
3463,615,25.0
3471,615,25.0
3479,615,25.0
3487,615,25.0
3495,615,25.0
3503,615,25.0
3511,615,25.0
3519,615,25.0
3527,615,25.0
3535,615,25.0
3543,615,25.0
3551,615,25.0
3559,615,25.0
3567,615,25.0
3575,615,25.0
3583,615,25.0
3591,615,25.0
3599,615,25.0
3607,615,25.0
3615,615,25.0
3623,615,25.0
3631,615,25.0
3639,615,25.0
3647,615,25.0
3655,615,25.0
3663,615,25.0
3671,615,25.0
3680,615,25.0
3688,615,25.0
3696,615,25.0
3704,615,25.0
3712,624,25.0
3720,639,25.0
3728,662,25.0
3736,683,25.0
3744,707,25.0
3752,728,25.0
3760,728,25.0
3768,728,25.0
3776,728,25.0
3784,728,25.0
3792,728,25.0
3800,728,25.0
3808,719,25.0
3816,719,25.0
3824,716,25.0
3832,713,25.0
3840,711,25.0
3848,710,25.0
3856,705,25.0
3864,704,25.0
3872,704,25.0
3880,700,25.0
3888,697,25.0
3896,696,25.0
3905,694,25.0
3913,691,25.0
3921,688,25.0
3929,688,25.0
3937,686,25.0
3945,684,25.0
3953,684,25.0
3961,681,25.0
3969,679,25.0
3977,679,25.0
3985,675,25.0
3993,675,25.0
4001,673,25.0
4009,671,25.0
4017,671,25.0
4025,671,25.0
4033,671,25.0
4041,670,25.0
4049,668,25.0
4057,668,25.0
4065,668,25.0
4073,664,25.0
4081,664,25.0
4089,664,25.0
4097,664,25.0
4105,664,25.0
4113,664,25.0
4121,660,25.0
4129,664,25.0
4138,664,25.0
4146,659,25.0
4154,659,25.0
4162,659,25.0
4170,659,25.0
4178,659,25.0
4186,655,25.0
4194,655,25.0
4202,655,25.0
4210,655,25.0
4218,655,25.0
4226,655,25.0
4234,655,25.0
4242,655,25.0
4250,655,25.0
4258,655,25.0
4266,654,25.0
4274,654,25.0
4282,652,25.0
4290,652,25.0
4298,652,25.0
4306,654,25.0
4314,652,25.0
4322,652,25.0
4330,652,25.0
4338,652,25.0
4346,652,25.0
4354,649,25.0
4363,652,25.0
4371,647,25.0
4379,652,25.0
4387,647,25.0
4395,647,25.0
4403,647,25.0
4411,647,25.0
4419,647,25.0
4427,647,25.0
4435,647,25.0
4443,647,25.0
4451,647,25.0
4459,647,25.0
4467,647,25.0
4475,647,25.0
4483,647,25.0
4491,647,25.0
4499,647,25.0
4507,646,25.0
4515,647,25.0
4523,646,25.0
4531,646,25.0
4539,647,25.0
4547,644,25.0
4555,643,25.0
4563,643,25.0
4571,643,25.0
4579,643,25.0
4587,639,25.0
4596,639,25.0
4604,639,25.0
4612,639,25.0
4620,639,25.0
4628,639,25.0
4636,639,25.0
4644,639,25.0
4652,639,25.0
4660,639,25.0
4668,639,25.0
4676,639,25.0
4684,639,25.0
4692,639,25.0
4700,639,25.0
4708,639,25.0
4716,639,25.0
4724,639,25.0
4732,639,25.0
4740,639,25.0
4748,639,25.0
4756,639,25.0
4764,639,25.0
4772,639,25.0
