Time(microseconds),DLS Value,Temperature(C)
0,608,25.0
8,608,25.0
16,608,25.0
24,608,25.0
32,608,25.0
40,608,25.0
48,608,25.0
56,608,25.0
64,608,25.0
72,608,25.0
80,608,25.0
88,608,25.0
96,608,25.0
104,608,25.0
112,608,25.0
120,608,25.0
128,608,25.0
136,608,25.0
144,608,25.0
152,608,25.0
160,608,25.0
168,608,25.0
176,608,25.0
184,608,25.0
192,608,25.0
200,608,25.0
208,608,25.0
217,608,25.0
225,608,25.0
233,608,25.0
241,608,25.0
249,608,25.0
257,608,25.0
265,608,25.0
273,608,25.0
281,608,25.0
289,608,25.0
297,608,25.0
305,608,25.0
313,608,25.0
321,608,25.0
329,608,25.0
337,608,25.0
345,608,25.0
353,608,25.0
361,608,25.0
369,608,25.0
377,608,25.0
385,608,25.0
393,608,25.0
401,608,25.0
409,608,25.0
417,608,25.0
425,608,25.0
434,608,25.0
442,608,25.0
450,608,25.0
458,608,25.0
466,608,25.0
474,608,25.0
482,608,25.0
490,608,25.0
498,608,25.0
506,608,25.0
514,608,25.0
522,608,25.0
530,608,25.0
538,608,25.0
546,608,25.0
554,608,25.0
562,608,25.0
570,608,25.0
578,608,25.0
586,608,25.0
594,608,25.0
602,608,25.0
610,608,25.0
618,608,25.0
626,608,25.0
634,608,25.0
643,608,25.0
651,608,25.0
659,608,25.0
667,608,25.0
675,608,25.0
683,608,25.0
691,608,25.0
699,608,25.0
707,608,25.0
715,608,25.0
723,608,25.0
731,608,25.0
739,608,25.0
747,608,25.0
755,608,25.0
763,608,25.0
771,608,25.0
779,608,25.0
787,608,25.0
795,608,25.0
803,608,25.0
811,608,25.0
819,608,25.0
827,608,25.0
835,608,25.0
843,608,25.0
851,608,25.0
860,608,25.0
868,608,25.0
876,608,25.0
884,608,25.0
892,608,25.0
900,608,25.0
908,608,25.0
916,608,25.0
924,608,25.0
932,608,25.0
940,608,25.0
948,611,25.0
956,615,25.0
964,624,25.0
972,633,25.0
980,652,25.0
988,664,25.0
996,671,25.0
1004,678,25.0
1012,679,25.0
1020,679,25.0
1028,678,25.0
1036,673,25.0
1044,671,25.0
1052,668,25.0
1060,665,25.0
1068,664,25.0
1077,659,25.0
1085,657,25.0
1093,655,25.0
1101,654,25.0
1109,651,25.0
1117,647,25.0
1125,647,25.0
1133,646,25.0
1141,639,25.0
1149,639,25.0
1157,639,25.0
1165,639,25.0
1173,636,25.0
1181,633,25.0
1189,632,25.0
1197,632,25.0
1205,632,25.0
1213,628,25.0
1221,628,25.0
1229,627,25.0
1237,625,25.0
1245,625,25.0
1253,624,25.0
1261,624,25.0
1269,624,25.0
1277,624,25.0
1286,622,25.0
1294,622,25.0
1302,620,25.0
1310,620,25.0
1318,620,25.0
1326,617,25.0
1334,617,25.0
1342,615,25.0
1350,617,25.0
1358,615,25.0
1366,615,25.0
1374,615,25.0
1382,615,25.0
1390,615,25.0
1398,615,25.0
1406,615,25.0
1414,615,25.0
1422,615,25.0
1430,615,25.0
1438,615,25.0
1446,615,25.0
1454,615,25.0
1462,615,25.0
1470,614,25.0
1478,614,25.0
1486,614,25.0
