Time(microseconds),DLS Value,Temperature(C)
0,624,25.0
8,624,25.0
16,624,25.0
24,624,25.0
32,623,25.0
40,622,25.0
48,622,25.0
56,622,25.0
64,622,25.0
72,622,25.0
80,622,25.0
88,620,25.0
96,620,25.0
104,620,25.0
112,620,25.0
120,620,25.0
128,620,25.0
136,620,25.0
144,620,25.0
152,620,25.0
160,620,25.0
168,620,25.0
176,620,25.0
184,620,25.0
193,620,25.0
201,617,25.0
209,615,25.0
217,617,25.0
225,617,25.0
233,617,25.0
241,617,25.0
249,615,25.0
257,615,25.0
265,615,25.0
273,615,25.0
281,615,25.0
289,615,25.0
297,615,25.0
305,615,25.0
313,615,25.0
321,615,25.0
329,615,25.0
337,615,25.0
345,615,25.0
353,615,25.0
361,615,25.0
369,615,25.0
377,615,25.0
386,615,25.0
394,615,25.0
402,615,25.0
410,615,25.0
418,615,25.0
426,615,25.0
434,615,25.0
442,615,25.0
450,615,25.0
458,615,25.0
466,615,25.0
474,615,25.0
482,615,25.0
490,615,25.0
498,615,25.0
506,615,25.0
514,617,25.0
522,622,25.0
530,632,25.0
538,639,25.0
546,647,25.0
554,647,25.0
562,646,25.0
571,639,25.0
579,639,25.0
587,639,25.0
595,639,25.0
603,639,25.0
611,639,25.0
619,639,25.0
627,638,25.0
635,638,25.0
643,636,25.0
651,636,25.0
659,633,25.0
667,633,25.0
675,632,25.0
683,632,25.0
691,632,25.0
699,632,25.0
707,630,25.0
715,630,25.0
723,630,25.0
731,628,25.0
739,627,25.0
747,627,25.0
755,627,25.0
764,627,25.0
772,625,25.0
780,625,25.0
788,624,25.0
796,624,25.0
804,624,25.0
812,624,25.0
820,624,25.0
828,624,25.0
836,624,25.0
844,624,25.0
852,624,25.0
860,623,25.0
868,622,25.0
876,622,25.0
884,622,25.0
892,620,25.0
900,620,25.0
908,620,25.0
916,622,25.0
924,620,25.0
932,620,25.0
940,620,25.0
949,620,25.0
957,620,25.0
965,620,25.0
973,620,25.0
981,620,25.0
989,620,25.0
997,620,25.0
1005,617,25.0
1013,617,25.0
1021,619,25.0
1029,617,25.0
1037,617,25.0
1045,617,25.0
1053,619,25.0
1061,617,25.0
1069,615,25.0
1077,617,25.0
1085,617,25.0
1093,615,25.0
1101,615,25.0
1109,615,25.0
1117,615,25.0
1125,615,25.0
1133,615,25.0
1142,615,25.0
1150,615,25.0
1158,615,25.0
1166,615,25.0
1174,615,25.0
1182,615,25.0
1190,615,25.0
1198,615,25.0
1206,615,25.0
1214,615,25.0
1222,615,25.0
1230,615,25.0
1238,615,25.0
1246,615,25.0
1254,615,25.0
1262,615,25.0
1270,615,25.0
1278,615,25.0
1286,615,25.0
