Time(microseconds),DLS Value,Temperature(C)
0,684,25.0
8,686,25.0
16,684,25.0
24,681,25.0
32,684,25.0
40,684,25.0
48,679,25.0
56,679,25.0
64,679,25.0
72,679,25.0
80,679,25.0
88,679,25.0
96,679,25.0
104,679,25.0
112,678,25.0
120,679,25.0
128,675,25.0
136,675,25.0
144,675,25.0
152,675,25.0
160,675,25.0
168,675,25.0
176,673,25.0
184,671,25.0
192,671,25.0
200,671,25.0
208,671,25.0
216,671,25.0
224,671,25.0
233,671,25.0
241,670,25.0
249,670,25.0
257,668,25.0
265,668,25.0
273,668,25.0
281,667,25.0
289,668,25.0
297,668,25.0
305,668,25.0
313,665,25.0
321,664,25.0
329,664,25.0
337,664,25.0
345,664,25.0
353,664,25.0
361,664,25.0
369,664,25.0
377,664,25.0
385,664,25.0
393,662,25.0
401,662,25.0
409,659,25.0
417,659,25.0
425,659,25.0
433,659,25.0
441,659,25.0
449,659,25.0
457,657,25.0
466,655,25.0
474,657,25.0
482,655,25.0
490,655,25.0
498,655,25.0
506,655,25.0
514,655,25.0
522,655,25.0
530,655,25.0
538,654,25.0
546,654,25.0
554,652,25.0
562,655,25.0
570,654,25.0
578,652,25.0
586,652,25.0
594,652,25.0
602,649,25.0
610,647,25.0
618,647,25.0
626,647,25.0
634,647,25.0
642,647,25.0
650,647,25.0
658,647,25.0
666,647,25.0
674,646,25.0
682,643,25.0
691,646,25.0
699,643,25.0
707,643,25.0
715,639,25.0
723,639,25.0
731,639,25.0
739,639,25.0
747,639,25.0
755,639,25.0
763,639,25.0
771,639,25.0
779,639,25.0
787,639,25.0
795,639,25.0
803,639,25.0
811,639,25.0
819,639,25.0
827,638,25.0
835,638,25.0
843,636,25.0
851,636,25.0
859,636,25.0
867,636,25.0
875,636,25.0
883,636,25.0
891,633,25.0
899,639,25.0
907,668,25.0
915,704,25.0
924,739,25.0
932,774,25.0
940,799,25.0
948,807,25.0
956,808,25.0
964,809,25.0
972,812,25.0
980,811,25.0
988,807,25.0
996,807,25.0
1004,807,25.0
1012,807,25.0
1020,807,25.0
1028,807,25.0
1036,807,25.0
1044,803,25.0
1052,803,25.0
1060,803,25.0
1068,803,25.0
1076,803,25.0
1084,801,25.0
1092,799,25.0
1100,799,25.0
1108,799,25.0
1116,799,25.0
1124,799,25.0
1132,799,25.0
1140,799,25.0
1149,799,25.0
1157,799,25.0
1165,799,25.0
1173,798,25.0
1181,798,25.0
1189,798,25.0
1197,798,25.0
1205,798,25.0
1213,796,25.0
1221,796,25.0
1229,792,25.0
1237,792,25.0
1245,792,25.0
1253,792,25.0
1261,792,25.0
1269,792,25.0
1277,792,25.0
1285,792,25.0
1293,792,25.0
1301,790,25.0
1309,787,25.0
1317,785,25.0
1325,783,25.0
1333,783,25.0
1341,783,25.0
1349,783,25.0
1357,783,25.0
1365,783,25.0
1373,783,25.0
1382,782,25.0
1390,782,25.0
1398,780,25.0
1406,780,25.0
1414,780,25.0
1422,780,25.0
1430,777,25.0
1438,779,25.0
1446,777,25.0
1454,777,25.0
1462,775,25.0
1470,775,25.0
1478,775,25.0
1486,775,25.0
1494,774,25.0
1502,774,25.0
1510,774,25.0
1518,771,25.0
1526,771,25.0
1534,771,25.0
1542,769,25.0
1550,769,25.0
1558,771,25.0
1566,768,25.0
1574,768,25.0
1582,768,25.0
1590,768,25.0
1598,768,25.0
1607,768,25.0
1615,768,25.0
1623,768,25.0
1631,768,25.0
1639,768,25.0
1647,768,25.0
1655,768,25.0
1663,768,25.0
1671,768,25.0
1679,768,25.0
1687,761,25.0
1695,761,25.0
1703,761,25.0
1711,760,25.0
1719,760,25.0
1727,760,25.0
1735,760,25.0
1743,760,25.0
1751,760,25.0
1759,760,25.0
1767,755,25.0
1775,755,25.0
1783,755,25.0
1791,755,25.0
1799,753,25.0
1807,753,25.0
1815,755,25.0
1823,752,25.0
1831,752,25.0
1840,752,25.0
1848,752,25.0
1856,752,25.0
1864,750,25.0
1872,752,25.0
1880,752,25.0
1888,750,25.0
1896,748,25.0
1904,748,25.0
1912,748,25.0
1920,748,25.0
1928,748,25.0
1936,748,25.0
1944,745,25.0
1952,743,25.0
1960,743,25.0
1968,743,25.0
1976,743,25.0
1984,743,25.0
1992,743,25.0
2000,739,25.0
2008,740,25.0
2016,739,25.0
2024,739,25.0
2032,737,25.0
2040,739,25.0
2048,737,25.0
2056,737,25.0
2064,736,25.0
2073,736,25.0
2081,736,25.0
2089,736,25.0
2097,736,25.0
2105,736,25.0
2113,734,25.0
2121,734,25.0
2129,734,25.0
2137,734,25.0
2145,732,25.0
2153,732,25.0
2161,732,25.0
2169,732,25.0
2177,732,25.0
2185,729,25.0
2193,728,25.0
2201,728,25.0
2209,728,25.0
2217,728,25.0
2225,728,25.0
2233,728,25.0
2241,728,25.0
2249,728,25.0
2257,723,25.0
2265,723,25.0
2273,723,25.0
2281,723,25.0
2289,719,25.0
2298,721,25.0
2306,721,25.0
2314,719,25.0
2322,719,25.0
2330,719,25.0
2338,719,25.0
2346,719,25.0
2354,718,25.0
2362,718,25.0
2370,716,25.0
2378,718,25.0
2386,716,25.0
2394,716,25.0
2402,716,25.0
2410,716,25.0
2418,713,25.0
2426,711,25.0
2434,711,25.0
2442,711,25.0
2450,711,25.0
2458,711,25.0
2466,711,25.0
2474,711,25.0
2482,711,25.0
2490,711,25.0
2498,710,25.0
2506,710,25.0
2514,710,25.0
2522,710,25.0
2531,707,25.0
2539,707,25.0
2547,707,25.0
2555,705,25.0
2563,704,25.0
2571,705,25.0
2579,705,25.0
2587,704,25.0
2595,704,25.0
2603,704,25.0
2611,704,25.0
2619,704,25.0
2627,704,25.0
2635,704,25.0
2643,704,25.0
2651,700,25.0
2659,700,25.0
2667,700,25.0
2675,700,25.0
2683,697,25.0
2691,697,25.0
2699,697,25.0
2707,696,25.0
2715,696,25.0
2723,696,25.0
2731,696,25.0
2739,696,25.0
2747,696,25.0
2756,696,25.0
2764,691,25.0
2772,691,25.0
2780,691,25.0
2788,691,25.0
2796,691,25.0
2804,689,25.0
2812,689,25.0
2820,688,25.0
2828,688,25.0
2836,688,25.0
2844,688,25.0
2852,688,25.0
2860,688,25.0
2868,688,25.0
2876,687,25.0
2884,688,25.0
2892,686,25.0
2900,686,25.0
2908,684,25.0
2916,684,25.0
2924,684,25.0
2932,684,25.0
2940,684,25.0
2948,684,25.0
2956,681,25.0
2964,679,25.0
2972,679,25.0
2980,679,25.0
2989,679,25.0
2997,679,25.0
3005,679,25.0
3013,679,25.0
3021,679,25.0
3029,679,25.0
3037,678,25.0
3045,679,25.0
3053,678,25.0
3061,675,25.0
3069,675,25.0
3077,675,25.0
3085,675,25.0
3093,675,25.0
3101,671,25.0
3109,671,25.0
3117,671,25.0
3125,671,25.0
3133,671,25.0
3141,671,25.0
3149,671,25.0
3157,671,25.0
3165,670,25.0
3173,670,25.0
3181,668,25.0
