Time(microseconds),DLS Value,Temperature(C)
0,600,25.0
8,600,25.0
16,600,25.0
24,600,25.0
32,600,25.0
40,600,25.0
48,600,25.0
56,600,25.0
64,600,25.0
72,600,25.0
80,600,25.0
88,600,25.0
96,609,25.0
104,627,25.0
112,652,25.0
120,679,25.0
128,707,25.0
136,728,25.0
144,723,25.0
152,721,25.0
160,719,25.0
168,719,25.0
176,719,25.0
184,719,25.0
192,719,25.0
200,719,25.0
208,716,25.0
216,716,25.0
224,716,25.0
233,716,25.0
241,716,25.0
249,711,25.0
257,711,25.0
265,711,25.0
273,711,25.0
281,711,25.0
289,711,25.0
297,710,25.0
305,710,25.0
313,707,25.0
321,707,25.0
329,707,25.0
337,707,25.0
345,707,25.0
353,705,25.0
361,704,25.0
369,704,25.0
377,704,25.0
385,704,25.0
393,704,25.0
401,704,25.0
409,702,25.0
417,700,25.0
425,700,25.0
433,700,25.0
441,697,25.0
449,700,25.0
457,696,25.0
466,696,25.0
474,696,25.0
482,696,25.0
490,696,25.0
498,696,25.0
506,696,25.0
514,696,25.0
522,694,25.0
530,691,25.0
538,691,25.0
546,691,25.0
554,694,25.0
562,691,25.0
570,691,25.0
578,691,25.0
586,688,25.0
594,688,25.0
602,688,25.0
610,688,25.0
618,688,25.0
626,688,25.0
634,688,25.0
642,688,25.0
650,686,25.0
658,687,25.0
666,688,25.0
674,686,25.0
682,686,25.0
691,686,25.0
699,684,25.0
707,684,25.0
715,684,25.0
723,679,25.0
731,681,25.0
739,684,25.0
747,679,25.0
755,679,25.0
763,679,25.0
771,679,25.0
779,679,25.0
787,678,25.0
795,679,25.0
803,679,25.0
811,679,25.0
819,679,25.0
827,678,25.0
835,678,25.0
843,675,25.0
851,675,25.0
859,673,25.0
867,673,25.0
875,671,25.0
883,671,25.0
891,671,25.0
899,671,25.0
907,671,25.0
915,671,25.0
924,671,25.0
932,671,25.0
940,671,25.0
948,670,25.0
956,668,25.0
964,670,25.0
972,670,25.0
980,670,25.0
988,670,25.0
996,668,25.0
1004,668,25.0
1012,668,25.0
1020,665,25.0
1028,664,25.0
1036,665,25.0
1044,664,25.0
1052,664,25.0
1060,664,25.0
1068,664,25.0
1076,664,25.0
1084,664,25.0
1092,664,25.0
1100,664,25.0
1108,664,25.0
1116,659,25.0
1124,660,25.0
1132,659,25.0
1140,659,25.0
1149,659,25.0
1157,659,25.0
1165,659,25.0
1173,659,25.0
1181,657,25.0
1189,657,25.0
1197,659,25.0
1205,655,25.0
1213,655,25.0
1221,655,25.0
1229,655,25.0
1237,655,25.0
1245,654,25.0
1253,655,25.0
1261,655,25.0
1269,654,25.0
1277,652,25.0
1285,654,25.0
1293,654,25.0
1301,652,25.0
1309,649,25.0
1317,647,25.0
1325,647,25.0
1333,647,25.0
1341,649,25.0
1349,647,25.0
1357,647,25.0
1365,647,25.0
1373,647,25.0
1382,647,25.0
1390,647,25.0
1398,647,25.0
1406,646,25.0
1414,647,25.0
1422,639,25.0
1430,639,25.0
1438,639,25.0
1446,639,25.0
1454,639,25.0
1462,639,25.0
1470,639,25.0
1478,639,25.0
1486,639,25.0
1494,639,25.0
1502,639,25.0
1510,639,25.0
1518,639,25.0
1526,639,25.0
1534,639,25.0
1542,639,25.0
1550,638,25.0
1558,639,25.0
1566,638,25.0
1574,638,25.0
1582,636,25.0
1590,636,25.0
1598,636,25.0
1607,636,25.0
1615,636,25.0
1623,632,25.0
1631,636,25.0
1639,632,25.0
1647,632,25.0
1655,632,25.0
1663,632,25.0
1671,632,25.0
1679,632,25.0
1687,632,25.0
1695,632,25.0
1703,632,25.0
1711,630,25.0
1719,627,25.0
1727,627,25.0
1735,627,25.0
1743,627,25.0
1751,627,25.0
1759,627,25.0
1767,627,25.0
1775,625,25.0
1783,624,25.0
1791,624,25.0
1799,624,25.0
1807,624,25.0
1815,624,25.0
1823,624,25.0
1831,624,25.0
1840,622,25.0
1848,624,25.0
1856,624,25.0
1864,624,25.0
1872,624,25.0
1880,624,25.0
1888,624,25.0
1896,620,25.0
1904,620,25.0
1912,620,25.0
1920,620,25.0
1928,620,25.0
1936,620,25.0
1944,619,25.0
1952,615,25.0
1960,615,25.0
1968,615,25.0
1976,615,25.0
1984,615,25.0
1992,615,25.0
2000,615,25.0
2008,615,25.0
2016,615,25.0
2024,615,25.0
2032,615,25.0
2040,615,25.0
2048,615,25.0
2056,615,25.0
2064,615,25.0
2073,615,25.0
2081,615,25.0
2089,615,25.0
2097,614,25.0
2105,614,25.0
2113,614,25.0
2121,614,25.0
2129,612,25.0
2137,614,25.0
2145,611,25.0
2153,611,25.0
2161,611,25.0
2169,611,25.0
2177,611,25.0
2185,611,25.0
2193,609,25.0
2201,611,25.0
2209,609,25.0
2217,611,25.0
2225,611,25.0
2233,611,25.0
2241,609,25.0
2249,609,25.0
2257,609,25.0
2265,609,25.0
2273,609,25.0
2281,609,25.0
2289,609,25.0
2298,608,25.0
2306,608,25.0
2314,608,25.0
2322,608,25.0
2330,608,25.0
2338,608,25.0
2346,608,25.0
2354,608,25.0
2362,608,25.0
2370,608,25.0
2378,608,25.0
2386,608,25.0
2394,608,25.0
2402,608,25.0
2410,608,25.0
2418,608,25.0
2426,608,25.0
2434,608,25.0
2442,608,25.0
2450,608,25.0
2458,608,25.0
2466,608,25.0
2474,608,25.0
2482,608,25.0
2490,608,25.0
2498,608,25.0
2506,608,25.0
2514,608,25.0
2522,608,25.0
2531,608,25.0
2539,608,25.0
2547,606,25.0
2555,608,25.0
2563,608,25.0
2571,606,25.0
2579,606,25.0
2587,606,25.0
2595,606,25.0
2603,606,25.0
2611,606,25.0
2619,606,25.0
2627,606,25.0
2635,604,25.0
2643,604,25.0
2651,604,25.0
2659,606,25.0
2667,604,25.0
2675,604,25.0
2683,604,25.0
2691,604,25.0
2699,604,25.0
2707,604,25.0
2715,604,25.0
2723,604,25.0
2731,604,25.0
2739,604,25.0
2747,604,25.0
2756,604,25.0
2764,604,25.0
2772,604,25.0
2780,604,25.0
2788,604,25.0
2796,604,25.0
2804,604,25.0
2812,604,25.0
2820,601,25.0
2828,604,25.0
2836,601,25.0
2844,601,25.0
2852,604,25.0
2860,601,25.0
2868,604,25.0
2876,603,25.0
2884,601,25.0
2892,603,25.0
2900,601,25.0
2908,601,25.0
2916,601,25.0
2924,600,25.0
2932,601,25.0
2940,601,25.0
2948,601,25.0
2956,601,25.0
2964,600,25.0
2972,601,25.0
2980,600,25.0
2989,600,25.0
2997,600,25.0
3005,600,25.0
3013,600,25.0
3021,600,25.0
3029,600,25.0
3037,600,25.0
3045,600,25.0
3053,600,25.0
3061,600,25.0
3069,600,25.0
3077,600,25.0
3085,600,25.0
3093,600,25.0
3101,600,25.0
3109,600,25.0
3117,600,25.0
3125,600,25.0
3133,600,25.0
3141,600,25.0
3149,600,25.0
3157,600,25.0
3165,600,25.0
3173,600,25.0
3181,600,25.0
3189,600,25.0
3197,600,25.0
3205,600,25.0
3214,600,25.0
3222,600,25.0
3230,600,25.0
3238,600,25.0
3246,600,25.0
3254,600,25.0
3262,600,25.0
3270,600,25.0
3278,600,25.0
3286,600,25.0
3294,600,25.0
3302,600,25.0
3310,600,25.0
3318,600,25.0
3326,600,25.0
3334,600,25.0
3342,600,25.0
3350,600,25.0
3358,600,25.0
3366,600,25.0
3374,600,25.0
3382,600,25.0
3390,600,25.0
3398,600,25.0
3406,600,25.0
3414,600,25.0
3422,600,25.0
3430,600,25.0
3438,600,25.0
3447,600,25.0
3455,600,25.0
3463,604,25.0
3471,620,25.0
3479,639,25.0
3487,671,25.0
3495,697,25.0
3503,718,25.0
3511,723,25.0
3519,723,25.0
3527,723,25.0
3535,721,25.0
3543,719,25.0
3551,719,25.0
3559,718,25.0
3567,716,25.0
3575,716,25.0
3583,716,25.0
3591,716,25.0
3599,713,25.0
3607,713,25.0
3615,713,25.0
3623,715,25.0
3631,711,25.0
3639,711,25.0
3647,711,25.0
3655,707,25.0
3663,708,25.0
3671,707,25.0
3680,707,25.0
3688,705,25.0
3696,707,25.0
3704,705,25.0
3712,705,25.0
3720,705,25.0
3728,705,25.0
3736,704,25.0
3744,704,25.0
3752,704,25.0
3760,704,25.0
3768,704,25.0
3776,704,25.0
3784,704,25.0
3792,700,25.0
3800,700,25.0
3808,700,25.0
3816,700,25.0
3824,700,25.0
3832,700,25.0
3840,697,25.0
3848,696,25.0
3856,697,25.0
3864,697,25.0
3872,696,25.0
3880,696,25.0
3888,696,25.0
3896,696,25.0
3905,696,25.0
3913,694,25.0
3921,696,25.0
3929,696,25.0
3937,691,25.0
3945,691,25.0
3953,691,25.0
3961,691,25.0
3969,691,25.0
3977,691,25.0
3985,691,25.0
3993,691,25.0
4001,691,25.0
4009,688,25.0
4017,688,25.0
4025,688,25.0
4033,686,25.0
4041,686,25.0
4049,684,25.0
4057,684,25.0
4065,684,25.0
4073,684,25.0
4081,681,25.0
4089,681,25.0
4097,681,25.0
4105,679,25.0
4113,679,25.0
4121,681,25.0
4129,679,25.0
4138,679,25.0
4146,679,25.0
4154,679,25.0
4162,679,25.0
4170,678,25.0
4178,675,25.0
4186,675,25.0
4194,675,25.0
4202,675,25.0
4210,675,25.0
4218,673,25.0
4226,671,25.0
4234,673,25.0
4242,671,25.0
4250,671,25.0
4258,671,25.0
4266,670,25.0
4274,671,25.0
4282,671,25.0
4290,671,25.0
4298,670,25.0
4306,670,25.0
4314,670,25.0
4322,670,25.0
4330,671,25.0
4338,671,25.0
4346,670,25.0
4354,670,25.0
4363,670,25.0
4371,668,25.0
4379,668,25.0
4387,668,25.0
4395,665,25.0
4403,665,25.0
4411,664,25.0
4419,664,25.0
4427,664,25.0
4435,664,25.0
4443,664,25.0
4451,664,25.0
4459,664,25.0
4467,664,25.0
4475,659,25.0
4483,659,25.0
4491,659,25.0
4499,659,25.0
4507,657,25.0
4515,657,25.0
4523,655,25.0
4531,655,25.0
4539,655,25.0
4547,655,25.0
4555,655,25.0
4563,655,25.0
4571,654,25.0
4579,654,25.0
4587,654,25.0
4596,654,25.0
4604,654,25.0
4612,654,25.0
4620,654,25.0
4628,652,25.0
4636,652,25.0
4644,652,25.0
4652,652,25.0
4660,649,25.0
4668,649,25.0
4676,647,25.0
4684,647,25.0
4692,647,25.0
4700,647,25.0
4708,647,25.0
4716,647,25.0
4724,647,25.0
4732,647,25.0
4740,646,25.0
4748,647,25.0
4756,647,25.0
4764,647,25.0
4772,646,25.0
4780,643,25.0
4788,646,25.0
4796,646,25.0
4804,639,25.0
4812,639,25.0
4821,639,25.0
4829,639,25.0
4837,639,25.0
4845,639,25.0
4853,639,25.0
4861,639,25.0
4869,639,25.0
4877,639,25.0
4885,639,25.0
4893,639,25.0
4901,639,25.0
4909,639,25.0
4917,638,25.0
4925,638,25.0
4933,638,25.0
4941,639,25.0
4949,639,25.0
4957,636,25.0
4965,636,25.0
4973,638,25.0
4981,636,25.0
4989,636,25.0
4997,632,25.0
5005,636,25.0
5013,636,25.0
5021,636,25.0
5029,636,25.0
5037,633,25.0
5045,633,25.0
5054,632,25.0
5062,632,25.0
5070,632,25.0
5078,632,25.0
5086,630,25.0
5094,632,25.0
5102,630,25.0
5110,627,25.0
5118,627,25.0
5126,627,25.0
5134,627,25.0
5142,627,25.0
5150,627,25.0
5158,625,25.0
5166,625,25.0
5174,624,25.0
5182,625,25.0
5190,624,25.0
5198,624,25.0
5206,625,25.0
5214,624,25.0
5222,624,25.0
5230,624,25.0
5238,624,25.0
5246,622,25.0
5254,622,25.0
5262,622,25.0
5270,620,25.0
5278,620,25.0
5287,620,25.0
5295,620,25.0
5303,620,25.0
5311,617,25.0
5319,617,25.0
5327,617,25.0
5335,615,25.0
5343,615,25.0
5351,615,25.0
5359,615,25.0
5367,615,25.0
5375,615,25.0
5383,615,25.0
5391,615,25.0
5399,615,25.0
5407,615,25.0
5415,615,25.0
5423,615,25.0
5431,614,25.0
5439,614,25.0
5447,614,25.0
5455,614,25.0
5463,614,25.0
5471,612,25.0
5479,611,25.0
5487,611,25.0
5495,611,25.0
5503,614,25.0
5512,612,25.0
5520,612,25.0
5528,611,25.0
5536,611,25.0
5544,611,25.0
5552,609,25.0
5560,611,25.0
5568,611,25.0
5576,611,25.0
5584,609,25.0
5592,609,25.0
5600,611,25.0
5608,609,25.0
5616,609,25.0
5624,609,25.0
5632,609,25.0
5640,609,25.0
5648,609,25.0
5656,608,25.0
5664,608,25.0
5672,608,25.0
5680,608,25.0
5688,609,25.0
5696,608,25.0
5704,608,25.0
5712,608,25.0
5720,608,25.0
5728,608,25.0
5736,608,25.0
5745,608,25.0
5753,608,25.0
5761,608,25.0
5769,608,25.0
5777,608,25.0
5785,608,25.0
5793,608,25.0
5801,608,25.0
5809,608,25.0
5817,608,25.0
5825,608,25.0
5833,608,25.0
5841,608,25.0
5849,608,25.0
5857,608,25.0
5865,608,25.0
5873,608,25.0
5881,606,25.0
5889,608,25.0
5897,606,25.0
5905,608,25.0
5913,608,25.0
5921,606,25.0
5929,606,25.0
5937,606,25.0
5945,606,25.0
5953,606,25.0
5961,606,25.0
5970,604,25.0
5978,604,25.0
5986,604,25.0
5994,604,25.0
6002,604,25.0
6010,604,25.0
6018,604,25.0
6026,604,25.0
6034,604,25.0
6042,604,25.0
6050,604,25.0
6058,604,25.0
6066,604,25.0
6074,604,25.0
6082,604,25.0
6090,604,25.0
6098,604,25.0
6106,604,25.0
6114,604,25.0
6122,604,25.0
6130,604,25.0
6138,604,25.0
6146,604,25.0
6154,604,25.0
6162,604,25.0
6170,604,25.0
6178,604,25.0
6186,604,25.0
6194,601,25.0
6203,601,25.0
6211,601,25.0
6219,601,25.0
6227,604,25.0
6235,601,25.0
6243,603,25.0
6251,601,25.0
6259,601,25.0
6267,604,25.0
6275,601,25.0
6283,601,25.0
6291,601,25.0
6299,601,25.0
6307,601,25.0
6315,600,25.0
6323,601,25.0
6331,600,25.0
6339,600,25.0
6347,601,25.0
6355,600,25.0
6363,600,25.0
6371,600,25.0
6379,600,25.0
6387,600,25.0
6395,600,25.0
6403,600,25.0
6411,600,25.0
6419,600,25.0
6428,600,25.0
6436,600,25.0
6444,600,25.0
6452,600,25.0
6460,600,25.0
6468,600,25.0
6476,600,25.0
6484,600,25.0
6492,600,25.0
6500,600,25.0
6508,600,25.0
6516,600,25.0
6524,600,25.0
6532,600,25.0
6540,600,25.0
6548,600,25.0
6556,600,25.0
6564,600,25.0
6572,600,25.0
6580,600,25.0
6588,600,25.0
6596,600,25.0
6604,600,25.0
6612,600,25.0
6620,600,25.0
6628,600,25.0
6636,600,25.0
6644,600,25.0
6652,600,25.0
6661,600,25.0
6669,600,25.0
6677,600,25.0
6685,600,25.0
6693,600,25.0
6701,600,25.0
6709,600,25.0
6717,600,25.0
6725,600,25.0
6733,600,25.0
6741,600,25.0
6749,600,25.0
6757,600,25.0
6765,600,25.0
6773,600,25.0
6781,600,25.0
6789,600,25.0
6797,600,25.0
6805,600,25.0
6813,600,25.0
6821,600,25.0
6829,600,25.0
6837,609,25.0
6845,627,25.0
6853,652,25.0
6861,679,25.0
6869,705,25.0
6877,719,25.0
6885,716,25.0
6894,716,25.0
6902,711,25.0
6910,711,25.0
6918,711,25.0
6926,711,25.0
6934,711,25.0
6942,711,25.0
6950,711,25.0
6958,710,25.0
6966,710,25.0
6974,707,25.0
6982,705,25.0
6990,704,25.0
6998,704,25.0
7006,704,25.0
7014,704,25.0
7022,700,25.0
7030,704,25.0
7038,704,25.0
7046,700,25.0
7054,700,25.0
7062,696,25.0
7070,697,25.0
7078,697,25.0
7086,696,25.0
7094,696,25.0
7102,696,25.0
7110,696,25.0
7119,696,25.0
7127,696,25.0
7135,696,25.0
7143,694,25.0
7151,691,25.0
7159,694,25.0
7167,691,25.0
7175,691,25.0
7183,689,25.0
7191,689,25.0
7199,689,25.0
7207,688,25.0
7215,688,25.0
7223,688,25.0
7231,686,25.0
7239,684,25.0
7247,684,25.0
7255,684,25.0
7263,681,25.0
7271,681,25.0
7279,681,25.0
7287,679,25.0
7295,679,25.0
7303,679,25.0
7311,679,25.0
7319,679,25.0
7327,678,25.0
7335,675,25.0
7343,679,25.0
7352,678,25.0
7360,679,25.0
7368,678,25.0
7376,675,25.0
7384,678,25.0
7392,675,25.0
7400,675,25.0
7408,675,25.0
7416,675,25.0
7424,671,25.0
7432,671,25.0
7440,671,25.0
7448,671,25.0
7456,671,25.0
7464,671,25.0
7472,671,25.0
7480,670,25.0
7488,670,25.0
7496,670,25.0
7504,670,25.0
7512,668,25.0
7520,670,25.0
7528,670,25.0
7536,668,25.0
7544,671,25.0
7552,670,25.0
7560,670,25.0
7568,668,25.0
7577,668,25.0
7585,665,25.0
7593,664,25.0
7601,664,25.0
7609,664,25.0
7617,664,25.0
7625,664,25.0
7633,664,25.0
7641,664,25.0
7649,664,25.0
7657,662,25.0
7665,659,25.0
7673,659,25.0
7681,659,25.0
7689,662,25.0
7697,659,25.0
7705,659,25.0
7713,659,25.0
7721,657,25.0
7729,655,25.0
7737,657,25.0
7745,655,25.0
7753,655,25.0
7761,655,25.0
7769,655,25.0
7777,654,25.0
7785,655,25.0
7793,654,25.0
7801,654,25.0
7810,654,25.0
7818,652,25.0
7826,652,25.0
7834,652,25.0
7842,652,25.0
7850,652,25.0
7858,652,25.0
7866,652,25.0
7874,647,25.0
7882,649,25.0
7890,647,25.0
7898,647,25.0
7906,647,25.0
7914,647,25.0
7922,647,25.0
7930,646,25.0
7938,643,25.0
7946,643,25.0
7954,646,25.0
7962,646,25.0
7970,646,25.0
7978,639,25.0
7986,639,25.0
7994,639,25.0
8002,639,25.0
8010,639,25.0
8018,639,25.0
8026,639,25.0
8035,639,25.0
8043,639,25.0
8051,639,25.0
8059,639,25.0
8067,639,25.0
8075,639,25.0
8083,639,25.0
8091,639,25.0
8099,639,25.0
8107,638,25.0
8115,636,25.0
8123,638,25.0
8131,636,25.0
