Time(microseconds),DLS Value,Temperature(C)
0,719,25.0
8,719,25.0
16,719,25.0
24,719,25.0
32,719,25.0
40,719,25.0
48,719,25.0
56,718,25.0
64,718,25.0
72,716,25.0
80,716,25.0
88,716,25.0
96,716,25.0
104,716,25.0
112,713,25.0
120,713,25.0
128,711,25.0
136,711,25.0
144,711,25.0
152,711,25.0
160,711,25.0
168,711,25.0
176,711,25.0
184,711,25.0
192,711,25.0
200,711,25.0
208,710,25.0
216,710,25.0
224,707,25.0
233,707,25.0
241,707,25.0
249,707,25.0
257,705,25.0
265,705,25.0
273,705,25.0
281,704,25.0
289,704,25.0
297,704,25.0
305,704,25.0
313,704,25.0
321,704,25.0
329,704,25.0
337,704,25.0
345,704,25.0
353,700,25.0
361,702,25.0
369,700,25.0
377,700,25.0
385,700,25.0
393,697,25.0
401,700,25.0
409,697,25.0
417,696,25.0
425,696,25.0
433,696,25.0
441,696,25.0
449,696,25.0
457,696,25.0
466,696,25.0
474,696,25.0
482,696,25.0
490,694,25.0
498,696,25.0
506,691,25.0
514,691,25.0
522,691,25.0
530,691,25.0
538,691,25.0
546,691,25.0
554,689,25.0
562,688,25.0
570,688,25.0
578,688,25.0
586,688,25.0
594,688,25.0
602,688,25.0
610,688,25.0
618,686,25.0
626,686,25.0
634,686,25.0
642,684,25.0
650,684,25.0
658,684,25.0
666,684,25.0
674,684,25.0
682,684,25.0
691,681,25.0
699,679,25.0
707,679,25.0
715,679,25.0
723,679,25.0
731,679,25.0
739,679,25.0
747,679,25.0
755,679,25.0
763,679,25.0
771,678,25.0
779,676,25.0
787,675,25.0
795,675,25.0
803,675,25.0
811,675,25.0
819,673,25.0
827,671,25.0
835,671,25.0
843,671,25.0
851,671,25.0
859,671,25.0
867,671,25.0
875,671,25.0
883,671,25.0
891,671,25.0
899,670,25.0
907,670,25.0
915,670,25.0
924,668,25.0
932,668,25.0
940,668,25.0
948,667,25.0
956,665,25.0
964,665,25.0
972,664,25.0
980,664,25.0
988,664,25.0
996,664,25.0
1004,664,25.0
1012,664,25.0
1020,664,25.0
1028,664,25.0
1036,664,25.0
1044,664,25.0
1052,664,25.0
1060,664,25.0
1068,659,25.0
1076,659,25.0
1084,659,25.0
1092,659,25.0
1100,659,25.0
1108,659,25.0
1116,659,25.0
1124,657,25.0
1132,655,25.0
1140,655,25.0
1149,655,25.0
1157,655,25.0
1165,655,25.0
1173,655,25.0
1181,655,25.0
1189,655,25.0
