Time(microseconds),DLS Value,Temperature(C)
0,716,25.0
8,716,25.0
17,713,25.0
26,713,25.0
35,711,25.0
44,711,25.0
53,711,25.0
61,711,25.0
70,711,25.0
79,711,25.0
88,710,25.0
97,710,25.0
106,710,25.0
114,710,25.0
123,707,25.0
132,707,25.0
141,707,25.0
150,707,25.0
159,707,25.0
167,705,25.0
176,704,25.0
185,704,25.0
194,704,25.0
203,704,25.0
212,704,25.0
220,704,25.0
229,704,25.0
238,704,25.0
247,700,25.0
256,700,25.0
265,700,25.0
273,700,25.0
282,700,25.0
291,697,25.0
300,696,25.0
309,696,25.0
318,696,25.0
326,696,25.0
335,696,25.0
344,696,25.0
353,696,25.0
362,696,25.0
371,696,25.0
380,691,25.0
388,691,25.0
397,691,25.0
406,689,25.0
415,704,25.0
424,736,25.0
433,775,25.0
441,815,25.0
450,847,25.0
459,878,25.0
468,915,25.0
477,915,25.0
486,915,25.0
494,915,25.0
503,911,25.0
512,911,25.0
521,911,25.0
530,911,25.0
539,911,25.0
547,908,25.0
556,908,25.0
565,905,25.0
574,905,25.0
583,903,25.0
592,903,25.0
600,902,25.0
609,902,25.0
618,899,25.0
627,897,25.0
636,896,25.0
645,896,25.0
653,896,25.0
662,896,25.0
671,896,25.0
680,892,25.0
689,891,25.0
698,889,25.0
707,888,25.0
715,888,25.0
724,888,25.0
733,888,25.0
742,884,25.0
751,883,25.0
760,883,25.0
768,883,25.0
777,880,25.0
786,880,25.0
795,880,25.0
804,880,25.0
813,876,25.0
821,878,25.0
830,876,25.0
839,876,25.0
848,876,25.0
857,873,25.0
866,871,25.0
874,871,25.0
883,871,25.0
892,870,25.0
901,868,25.0
910,867,25.0
919,867,25.0
927,867,25.0
936,867,25.0
945,864,25.0
954,864,25.0
963,864,25.0
972,864,25.0
980,864,25.0
989,862,25.0
998,862,25.0
1007,860,25.0
1016,860,25.0
1025,860,25.0
1033,860,25.0
1042,857,25.0
1051,856,25.0
1060,856,25.0
1069,856,25.0
1078,856,25.0
1087,854,25.0
1095,851,25.0
1104,851,25.0
1113,851,25.0
1122,851,25.0
1131,849,25.0
1140,849,25.0
1148,849,25.0
1157,847,25.0
1166,847,25.0
1175,847,25.0
1184,847,25.0
1193,846,25.0
1201,846,25.0
1210,844,25.0
1219,844,25.0
1228,844,25.0
1237,843,25.0
1246,841,25.0
1254,839,25.0
1263,839,25.0
1272,839,25.0
1281,839,25.0
1290,839,25.0
1299,839,25.0
1307,838,25.0
1316,838,25.0
1325,835,25.0
1334,835,25.0
1343,835,25.0
1352,831,25.0
1360,831,25.0
1369,831,25.0
1378,831,25.0
1387,831,25.0
1396,831,25.0
1405,830,25.0
1414,830,25.0
1422,828,25.0
1431,828,25.0
1440,828,25.0
1449,825,25.0
1458,825,25.0
1467,825,25.0
1475,824,25.0
1484,824,25.0
1493,824,25.0
1502,824,25.0
1511,824,25.0
1520,824,25.0
1528,822,25.0
1537,819,25.0
1546,819,25.0
1555,819,25.0
1564,819,25.0
1573,817,25.0
1581,816,25.0
1590,816,25.0
1599,816,25.0
1608,816,25.0
1617,816,25.0
1626,814,25.0
1634,816,25.0
1643,814,25.0
1652,812,25.0
1661,812,25.0
1670,812,25.0
1679,812,25.0
1687,812,25.0
1696,807,25.0
1705,807,25.0
1714,807,25.0
1723,807,25.0
1732,807,25.0
1740,807,25.0
1749,806,25.0
1758,803,25.0
1767,803,25.0
1776,803,25.0
1785,801,25.0
1794,799,25.0
1802,799,25.0
1811,799,25.0
1820,799,25.0
1829,799,25.0
1838,799,25.0
1847,798,25.0
1855,798,25.0
1864,798,25.0
1873,796,25.0
1882,796,25.0
1891,796,25.0
1900,796,25.0
1908,793,25.0
1917,793,25.0
1926,792,25.0
1935,792,25.0
1944,792,25.0
1953,792,25.0
1961,792,25.0
1970,792,25.0
1979,792,25.0
1988,788,25.0
1997,787,25.0
2006,787,25.0
2014,787,25.0
2023,787,25.0
2032,785,25.0
2041,783,25.0
2050,783,25.0
2059,783,25.0
2067,783,25.0
2076,783,25.0
2085,782,25.0
2094,782,25.0
2103,780,25.0
2112,780,25.0
2121,780,25.0
2129,780,25.0
2138,780,25.0
2147,777,25.0
2156,777,25.0
2165,775,25.0
2174,775,25.0
2182,775,25.0
