Time(microseconds),DLS Value,Temperature(C)
0,579,25.0
8,579,25.0
16,579,25.0
24,579,25.0
32,579,25.0
40,579,25.0
48,579,25.0
56,579,25.0
64,579,25.0
72,579,25.0
80,579,25.0
88,579,25.0
96,579,25.0
104,579,25.0
112,579,25.0
120,579,25.0
128,579,25.0
136,579,25.0
144,579,25.0
152,579,25.0
160,579,25.0
168,579,25.0
176,579,25.0
184,579,25.0
192,579,25.0
200,579,25.0
208,579,25.0
216,579,25.0
224,579,25.0
233,579,25.0
241,579,25.0
249,579,25.0
257,579,25.0
265,579,25.0
273,579,25.0
281,579,25.0
289,579,25.0
297,579,25.0
305,579,25.0
313,579,25.0
321,579,25.0
329,579,25.0
337,579,25.0
345,579,25.0
353,579,25.0
361,579,25.0
369,579,25.0
377,579,25.0
385,579,25.0
393,579,25.0
401,579,25.0
409,579,25.0
417,579,25.0
425,579,25.0
433,579,25.0
441,579,25.0
449,579,25.0
457,579,25.0
466,579,25.0
474,579,25.0
482,579,25.0
490,579,25.0
498,580,25.0
506,579,25.0
514,579,25.0
522,579,25.0
530,579,25.0
538,579,25.0
546,579,25.0
554,579,25.0
562,579,25.0
570,579,25.0
578,579,25.0
586,579,25.0
594,579,25.0
602,579,25.0
610,579,25.0
618,579,25.0
626,579,25.0
634,579,25.0
642,579,25.0
650,579,25.0
658,579,25.0
666,579,25.0
674,579,25.0
682,579,25.0
691,579,25.0
699,579,25.0
707,579,25.0
715,579,25.0
723,579,25.0
731,579,25.0
739,579,25.0
747,579,25.0
755,579,25.0
763,579,25.0
771,579,25.0
779,579,25.0
787,579,25.0
795,580,25.0
803,579,25.0
811,579,25.0
819,579,25.0
827,579,25.0
835,580,25.0
843,579,25.0
851,579,25.0
859,579,25.0
867,579,25.0
875,579,25.0
883,579,25.0
891,579,25.0
899,579,25.0
907,579,25.0
915,579,25.0
924,579,25.0
932,579,25.0
940,579,25.0
948,579,25.0
956,579,25.0
964,579,25.0
972,580,25.0
980,580,25.0
988,579,25.0
996,579,25.0
1004,580,25.0
1012,582,25.0
1020,580,25.0
1028,579,25.0
1036,579,25.0
1044,582,25.0
1052,579,25.0
1060,579,25.0
1068,580,25.0
1076,580,25.0
1084,579,25.0
1092,579,25.0
1100,579,25.0
1108,582,25.0
1116,579,25.0
1124,579,25.0
1132,579,25.0
1140,579,25.0
1149,579,25.0
1157,579,25.0
1165,579,25.0
1173,579,25.0
1181,579,25.0
1189,580,25.0
1197,579,25.0
1205,579,25.0
1213,580,25.0
1221,579,25.0
1229,580,25.0
1237,579,25.0
1245,579,25.0
1253,579,25.0
1261,582,25.0
1269,579,25.0
1277,580,25.0
1285,580,25.0
1293,579,25.0
1301,580,25.0
1309,579,25.0
1317,580,25.0
1325,579,25.0
1333,580,25.0
1341,579,25.0
1349,579,25.0
1357,579,25.0
1365,582,25.0
1373,582,25.0
1382,580,25.0
1390,582,25.0
1398,582,25.0
1406,579,25.0
1414,579,25.0
1422,580,25.0
1430,582,25.0
1438,579,25.0
1446,580,25.0
1454,580,25.0
1462,579,25.0
1470,580,25.0
1478,580,25.0
1486,582,25.0
1494,579,25.0
1502,582,25.0
1510,582,25.0
1518,579,25.0
1526,579,25.0
1534,579,25.0
1542,582,25.0
1550,579,25.0
1558,579,25.0
1566,580,25.0
1574,582,25.0
1582,579,25.0
1590,580,25.0
1598,582,25.0
1607,582,25.0
1615,579,25.0
1623,580,25.0
1631,580,25.0
1639,580,25.0
1647,580,25.0
1655,580,25.0
1663,579,25.0
1671,580,25.0
1679,580,25.0
1687,582,25.0
1695,580,25.0
1703,579,25.0
1711,582,25.0
1719,580,25.0
1727,582,25.0
1735,582,25.0
1743,582,25.0
1751,582,25.0
1759,582,25.0
1767,582,25.0
1775,582,25.0
1783,579,25.0
1791,582,25.0
1799,582,25.0
1807,580,25.0
1815,582,25.0
1823,580,25.0
1831,582,25.0
1840,582,25.0
1848,582,25.0
1856,582,25.0
1864,582,25.0
1872,582,25.0
1880,582,25.0
1888,582,25.0
1896,582,25.0
1904,582,25.0
1912,582,25.0
1920,580,25.0
1928,582,25.0
1936,582,25.0
1944,582,25.0
1952,582,25.0
1960,582,25.0
1968,582,25.0
1976,582,25.0
1984,582,25.0
1992,582,25.0
2000,582,25.0
2008,582,25.0
2016,582,25.0
2024,582,25.0
2032,582,25.0
2040,582,25.0
2048,582,25.0
2056,582,25.0
2064,582,25.0
2073,582,25.0
2081,582,25.0
2089,582,25.0
2097,582,25.0
2105,582,25.0
2113,582,25.0
2121,582,25.0
2129,582,25.0
2137,582,25.0
2145,582,25.0
2153,582,25.0
2161,582,25.0
2169,582,25.0
2177,582,25.0
2185,582,25.0
2193,582,25.0
2201,582,25.0
2209,582,25.0
2217,582,25.0
2225,582,25.0
2233,582,25.0
2241,582,25.0
2249,582,25.0
2257,580,25.0
