Time(microseconds),DLS Value,Temperature(C)
0,595,25.0
8,595,25.0
17,595,25.0
26,595,25.0
35,593,25.0
44,593,25.0
52,593,25.0
61,595,25.0
70,595,25.0
79,593,25.0
88,593,25.0
97,593,25.0
105,593,25.0
114,595,25.0
123,593,25.0
132,595,25.0
141,595,25.0
150,593,25.0
158,593,25.0
167,593,25.0
176,593,25.0
185,593,25.0
194,595,25.0
203,593,25.0
211,593,25.0
220,593,25.0
229,593,25.0
238,593,25.0
247,593,25.0
256,593,25.0
264,593,25.0
273,593,25.0
282,593,25.0
291,593,25.0
300,593,25.0
309,593,25.0
317,593,25.0
326,593,25.0
335,593,25.0
344,593,25.0
353,593,25.0
362,593,25.0
370,593,25.0
379,593,25.0
388,593,25.0
397,593,25.0
406,593,25.0
415,593,25.0
423,593,25.0
432,593,25.0
441,593,25.0
450,593,25.0
459,593,25.0
467,593,25.0
476,593,25.0
485,593,25.0
494,593,25.0
503,593,25.0
512,593,25.0
520,593,25.0
529,593,25.0
538,593,25.0
547,593,25.0
556,593,25.0
565,593,25.0
573,593,25.0
582,593,25.0
591,593,25.0
600,593,25.0
609,593,25.0
618,593,25.0
626,593,25.0
635,593,25.0
644,593,25.0
653,593,25.0
662,593,25.0
671,593,25.0
679,593,25.0
688,593,25.0
697,593,25.0
706,593,25.0
715,593,25.0
724,593,25.0
732,593,25.0
741,593,25.0
750,593,25.0
759,593,25.0
768,593,25.0
777,593,25.0
785,593,25.0
794,593,25.0
803,593,25.0
812,593,25.0
821,593,25.0
830,593,25.0
838,593,25.0
847,593,25.0
856,593,25.0
865,593,25.0
874,593,25.0
883,593,25.0
891,593,25.0
900,593,25.0
909,593,25.0
918,593,25.0
927,593,25.0
935,593,25.0
944,593,25.0
953,593,25.0
962,593,25.0
971,593,25.0
980,593,25.0
988,593,25.0
997,593,25.0
1006,593,25.0
1015,593,25.0
1024,593,25.0
1033,593,25.0
1041,593,25.0
1050,593,25.0
1059,593,25.0
1068,593,25.0
1077,593,25.0
1086,593,25.0
1094,593,25.0
1103,593,25.0
1112,593,25.0
1121,593,25.0
1130,593,25.0
1139,593,25.0
1147,593,25.0
1156,593,25.0
1165,593,25.0
1174,593,25.0
1183,593,25.0
1192,593,25.0
1200,593,25.0
1209,593,25.0
1218,593,25.0
1227,593,25.0
1236,593,25.0
1245,593,25.0
1253,593,25.0
1262,593,25.0
1271,593,25.0
1280,593,25.0
1289,593,25.0
1298,593,25.0
1306,593,25.0
1315,591,25.0
1324,593,25.0
1333,593,25.0
1342,593,25.0
1350,593,25.0
1359,593,25.0
1368,593,25.0
1377,593,25.0
1386,593,25.0
1395,593,25.0
1403,593,25.0
1412,593,25.0
1421,591,25.0
1430,593,25.0
1439,593,25.0
1448,593,25.0
1456,593,25.0
1465,593,25.0
1474,593,25.0
1483,593,25.0
1492,593,25.0
1501,593,25.0
1509,593,25.0
1518,593,25.0
1527,593,25.0
1536,593,25.0
1545,593,25.0
1554,591,25.0
1562,593,25.0
1571,593,25.0
1580,593,25.0
1589,593,25.0
1598,593,25.0
1607,593,25.0
1615,593,25.0
1624,591,25.0
1633,593,25.0
1642,591,25.0
1651,593,25.0
1660,593,25.0
1668,593,25.0
1677,600,25.0
1686,604,25.0
1695,606,25.0
1704,604,25.0
1713,604,25.0
1721,608,25.0
1730,596,25.0
1739,595,25.0
1748,595,25.0
1757,595,25.0
1766,595,25.0
1774,595,25.0
1783,595,25.0
1792,595,25.0
1801,595,25.0
1810,595,25.0
1818,595,25.0
1827,598,25.0
1836,598,25.0
1845,598,25.0
1854,598,25.0
1863,600,25.0
1871,600,25.0
1880,600,25.0
1889,600,25.0
1898,600,25.0
1907,600,25.0
1916,600,25.0
1924,600,25.0
1933,600,25.0
1942,600,25.0
1951,600,25.0
1960,600,25.0
1969,600,25.0
1977,600,25.0
1986,600,25.0
1995,600,25.0
2004,600,25.0
2013,600,25.0
2022,600,25.0
2030,600,25.0
2039,600,25.0
2048,600,25.0
2057,600,25.0
2066,600,25.0
2075,600,25.0
2083,600,25.0
2092,600,25.0
2101,600,25.0
2110,600,25.0
2119,600,25.0
2128,600,25.0
2136,600,25.0
2145,600,25.0
2154,600,25.0
2163,600,25.0
2172,600,25.0
2181,600,25.0
2189,600,25.0
2198,600,25.0
2207,600,25.0
2216,600,25.0
2225,600,25.0
2233,600,25.0
2242,600,25.0
2251,600,25.0
2260,600,25.0
2269,600,25.0
2278,600,25.0
2286,600,25.0
2295,600,25.0
2304,600,25.0
2313,600,25.0
2322,600,25.0
2331,600,25.0
2339,600,25.0
2348,600,25.0
2357,600,25.0
2366,600,25.0
2375,600,25.0
2384,600,25.0
2392,600,25.0
2401,600,25.0
2410,600,25.0
2419,600,25.0
2428,600,25.0
2437,600,25.0
2445,600,25.0
2454,600,25.0
2463,600,25.0
2472,600,25.0
2481,600,25.0
2490,600,25.0
2498,600,25.0
2507,600,25.0
2516,600,25.0
2525,600,25.0
2534,600,25.0
2543,600,25.0
2551,600,25.0
2560,600,25.0
2569,600,25.0
2578,600,25.0
2587,600,25.0
2596,600,25.0
2604,600,25.0
2613,600,25.0
2622,600,25.0
2631,600,25.0
2640,600,25.0
2649,600,25.0
2657,600,25.0
2666,600,25.0
2675,600,25.0
2684,600,25.0
2693,600,25.0
2701,600,25.0
2710,600,25.0
2719,600,25.0
2728,600,25.0
2737,600,25.0
2746,600,25.0
2754,600,25.0
2763,600,25.0
2772,600,25.0
