Time(microseconds),Average Signal
0,601.25
8,601.75
17,601.25
26,601.25
35,601.75
44,601.25
53,601.25
61,601.25
70,601.75
79,601.75
88,601.0
97,601.0
106,601.75
114,601.25
123,601.25
132,601.75
141,601.25
150,601.0
159,601.25
167,601.25
176,601.0
185,601.25
194,601.0
203,601.25
212,601.25
220,601.0
229,601.25
238,601.0
247,601.0
256,601.25
265,601.25
273,601.25
282,601.0
291,601.25
300,601.0
309,601.25
318,601.25
326,601.25
335,601.25
344,601.0
353,601.25
362,601.25
371,601.25
380,601.0
388,601.0
397,601.0
406,601.25
415,601.0
424,601.0
433,601.0
441,601.0
450,601.0
459,602.0
468,606.5
477,607.0
486,609.75
494,610.75
503,615.75
512,618.75
521,623.0
530,626.0
539,626.0
547,623.0
556,622.0
565,621.25
574,620.75
583,620.75
592,620.75
600,620.5
609,619.75
618,619.25
627,618.75
636,618.75
645,618.75
653,618.75
662,619.0
671,618.75
680,618.0
689,618.0
698,618.0
707,617.25
715,617.25
724,617.0
733,617.0
742,615.75
751,617.0
760,617.0
768,617.75
777,619.5
786,625.0
795,625.25
804,629.0
813,631.75
821,635.5
830,639.5
839,638.0
848,634.75
857,633.75
866,632.5
874,632.5
883,631.25
892,631.5
901,630.5
910,630.5
919,630.5
927,630.5
936,628.75
945,628.0
954,627.75
963,626.75
972,627.0
980,626.75
989,626.75
998,625.75
1007,624.5
1016,624.5
1025,626.5
1033,629.0
1042,631.0
1051,632.25
1060,634.25
1069,638.25
1078,641.25
1087,645.75
1095,647.5
1104,647.0
1113,644.25
1122,643.75
1131,643.0
1140,643.25
1148,643.0
1157,640.75
1166,640.25
1175,640.0
1184,640.0
1193,637.75
1201,637.5
1210,635.75
1219,635.75
1228,635.75
1237,635.75
1246,635.75
1254,635.0
1263,633.75
1272,633.25
1281,633.0
1290,633.75
1299,633.75
1307,632.5
1316,633.25
1325,630.75
1334,630.0
1343,629.75
1352,628.75
1360,629.5
1369,629.75
1378,628.75
1387,628.75
1396,628.75
1405,628.75
1414,626.75
1422,627.25
1431,626.0
1440,624.75
1449,626.0
1458,626.0
1467,624.75
1475,624.75
1484,623.75
1493,624.5
1502,624.0
1511,624.0
1520,622.25
1528,621.5
1537,622.0
1546,622.0
1555,621.25
1564,622.0
1573,621.0
1581,620.75
1590,619.5
1599,621.0
1608,621.5
1617,620.25
