Time(microseconds),Average Signal
0,647.0
9,644.25
18,643.75
27,643.0
36,643.25
44,643.0
53,640.75
62,640.25
71,640.0
80,640.0
89,637.75
97,637.5
106,635.75
115,635.75
124,635.75
133,635.75
142,635.75
150,635.0
159,633.75
168,633.25
177,633.0
186,633.75
195,633.75
203,632.5
212,633.25
221,630.75
230,630.0
239,629.75
248,628.75
256,629.5
265,629.75
274,628.75
283,628.75
292,628.75
301,628.75
310,626.75
318,627.25
327,626.0
336,624.75
345,626.0
354,626.0
363,624.75
371,624.75
380,623.75
389,624.5
398,624.0
407,624.0
416,622.25
424,621.5
433,622.0
442,622.0
451,621.25
460,622.0
469,621.0
477,620.75
486,619.5
495,621.0
504,621.5
513,620.25
522,620.25
530,620.25
539,619.5
548,620.25
557,620.0
566,618.5
575,619.0
583,618.5
592,618.25
601,618.25
610,618.75
619,617.75
628,617.5
636,618.25
645,616.75
654,618.75
663,616.75
672,618.25
681,617.5
690,618.0
698,616.75
707,616.75
716,615.5
725,616.0
734,615.5
743,614.75
751,615.75
760,615.25
769,614.75
778,615.5
787,614.5
796,614.5
804,615.0
813,614.75
822,615.0
831,613.75
840,614.0
849,614.5
857,613.5
866,614.25
875,614.75
884,613.5
893,613.5
902,613.5
910,613.5
919,613.5
928,613.25
937,613.5
946,613.75
955,613.5
963,613.5
972,612.75
981,613.25
990,613.75
999,613.5
1008,613.0
1017,613.0
1025,613.5
1034,613.0
1043,612.75
1052,613.0
1061,612.25
1070,613.5
1078,612.75
1087,611.5
1096,612.25
1105,612.25
1114,612.75
1123,611.5
1131,612.25
1140,612.0
1149,611.75
1158,612.0
1167,612.25
1176,611.5
1184,612.25
1193,611.5
1202,611.25
1211,610.5
1220,611.5
1229,610.25
1237,610.25
1246,610.75
1255,610.25
1264,610.75
1273,611.5
1282,610.75
1290,609.25
1299,609.5
1308,610.75
1317,610.25
1326,610.25
1335,610.25
1343,609.25
1352,609.5
1361,610.0
1370,609.25
1379,610.0
1388,609.5
1397,609.25
1405,609.5
1414,609.25
1423,608.75
1432,609.25
1441,609.25
1450,609.25
1458,608.75
1467,610.0
1476,608.75
1485,608.75
1494,609.25
1503,609.25
1511,610.0
1520,609.25
1529,609.25
1538,608.75
1547,609.0
1556,609.0
1564,608.75
1573,609.0
1582,608.5
1591,608.75
1600,609.25
1609,609.25
1617,609.25
1626,607.75
1635,609.0
1644,608.5
1653,609.25
1662,608.75
1670,608.5
1679,608.75
1688,608.75
1697,608.25
1706,607.75
1715,609.25
1724,608.0
1732,607.75
1741,607.75
1750,608.25
1759,607.75
1768,607.75
