Time(microseconds),data_set_0,data_set_1,data_set_2,data_set_3,data_set_4,data_set_5,data_set_6
0,600,600,604,600,655,604,601
8,600,604,604,600,655,604,600
17,600,606,600,600,655,604,601
26,600,604,600,601,655,604,601
35,600,604,600,601,604,604,601
44,600,606,600,601,604,604,600
53,600,604,600,601,604,604,609
61,600,604,600,601,604,604,609
70,600,604,600,601,604,603,609
79,600,606,600,601,604,603,611
88,600,606,600,601,604,604,611
97,600,604,600,601,606,603,609
106,600,604,600,601,604,601,608
114,600,606,600,600,604,601,608
123,600,604,600,600,604,601,611
132,600,604,600,601,604,604,609
141,600,606,600,601,604,601,609
150,600,604,600,601,604,601,609
159,600,604,600,601,604,601,611
167,600,604,600,601,604,601,609
176,600,604,600,600,604,604,609
185,600,604,600,601,604,601,609
194,600,604,600,601,604,601,609
203,600,604,600,600,604,601,608
212,600,604,600,601,604,601,608
220,600,604,600,600,604,601,608
229,600,604,600,601,604,601,609
238,600,604,600,601,604,601,609
247,600,604,600,600,604,601,608
256,600,604,600,601,604,601,608
265,600,604,600,600,604,601,608
273,600,604,600,600,604,601,608
282,600,604,600,601,604,601,608
291,600,604,600,601,604,601,608
300,600,604,600,601,604,601,609
309,600,604,600,600,604,601,608
318,600,604,600,601,604,601,608
326,600,604,600,600,604,601,608
335,600,604,600,601,604,601,608
344,600,604,600,601,604,601,608
353,600,604,600,601,604,601,608
362,600,604,600,601,604,601,608
371,600,604,600,600,604,601,608
380,600,604,600,601,604,601,608
388,600,604,600,601,604,601,608
397,600,604,600,601,604,601,608
406,600,604,600,600,604,601,608
415,600,604,600,600,604,601,608
424,600,604,600,600,604,601,608
433,600,604,600,601,604,601,608
441,600,604,600,600,604,601,608
450,600,604,600,600,604,601,608
459,600,604,600,600,604,601,608
468,600,604,600,600,604,601,608
477,600,604,604,600,604,601,608
486,600,604,622,600,604,601,608
494,600,604,624,600,604,600,608
503,600,604,635,600,604,601,608
512,600,604,639,600,604,601,608
521,600,604,659,600,604,601,608
530,600,604,671,600,604,601,608
539,600,604,688,600,604,601,608
547,600,604,700,600,604,601,608
556,600,604,700,600,604,601,608
565,600,604,688,600,604,601,608
574,600,604,684,600,604,601,608
583,600,604,681,600,604,601,608
592,600,604,679,600,604,601,608
600,600,604,679,600,604,601,608
609,600,604,679,600,604,601,608
618,600,604,678,600,604,601,608
627,600,604,675,600,604,601,608
636,600,604,673,600,604,600,608
645,600,604,671,600,604,601,608
653,600,604,671,600,604,601,608
662,600,604,671,600,604,601,608
671,600,604,671,600,604,600,608
680,600,604,671,600,604,600,608
689,600,604,671,601,604,601,608
698,600,604,668,600,604,600,608
707,600,604,668,600,604,601,608
715,600,604,668,600,604,600,608
724,600,604,665,600,604,600,608
733,600,604,665,600,604,600,608
742,600,604,664,600,604,600,608
751,600,604,664,600,604,601,608
760,600,604,659,600,604,600,608
768,608,604,664,600,604,601,608
777,615,604,664,600,604,600,608
786,632,604,659,600,604,600,608
795,638,604,659,600,604,600,608
804,655,604,664,600,604,600,608
813,668,604,659,600,604,600,608
821,684,604,657,600,604,600,608
830,700,604,655,600,604,600,608
839,696,604,654,600,604,600,608
848,688,604,654,600,604,600,608
857,684,604,652,600,604,600,608
866,679,604,647,600,604,600,608
874,679,604,647,600,604,600,608
883,675,604,647,600,604,600,608
892,675,603,647,600,604,600,608
901,671,604,647,600,604,600,608
910,671,604,647,600,604,600,608
919,671,604,647,600,604,600,608
927,671,604,647,600,604,600,608
936,668,604,647,600,604,600,608
945,664,604,647,600,604,601,608
954,664,604,643,600,603,600,608
963,664,604,644,600,604,600,608
972,662,604,643,600,603,600,608
980,664,603,639,600,603,600,608
989,664,604,643,600,604,600,608
998,660,604,639,600,604,600,606
1007,659,604,639,600,603,600,606
1016,655,601,639,600,604,600,608
1025,655,604,638,600,601,600,608
1033,657,604,639,600,604,600,608
1042,657,603,639,600,603,600,606
1051,655,604,639,608,604,600,608
1060,655,603,639,617,604,600,608
1069,655,604,639,624,604,600,606
1078,652,604,639,632,604,600,608
1087,652,604,639,639,603,600,608
1095,652,601,638,655,604,600,608
1104,652,601,636,671,603,600,608
1113,649,604,633,694,601,600,608
1122,647,604,636,704,601,600,606
1131,647,604,636,696,601,600,606
1140,647,601,636,688,601,600,608
1148,647,604,636,688,601,600,606
1157,647,603,638,688,601,600,606
1166,647,601,638,684,603,600,606
1175,646,601,636,684,603,600,606
1184,647,603,635,679,603,600,606
1193,639,604,636,678,601,600,608
1201,643,601,636,675,601,600,606
1210,639,604,636,673,601,600,606
1219,639,601,632,675,601,600,606
1228,639,601,632,671,603,600,606
1237,639,601,632,671,601,600,606
1246,639,601,632,671,601,600,606
1254,639,604,632,671,603,600,608
1263,638,604,632,671,601,600,606
1272,636,601,632,668,601,600,606
1281,636,601,632,665,601,600,606
1290,636,604,632,664,601,600,606
1299,636,603,627,664,601,600,608
1307,633,603,632,665,601,600,606
1316,636,601,632,664,601,600,606
1325,636,601,632,664,601,600,606
1334,633,601,632,664,601,600,606
1343,632,601,627,664,603,600,606
1352,632,601,627,659,601,600,606
1360,632,601,627,659,601,600,606
1369,633,601,627,659,603,600,604
1378,633,601,630,655,601,600,606
1387,632,601,630,655,601,600,606
1396,632,601,627,655,601,600,606
1405,632,601,627,654,601,600,606
1414,632,601,627,655,601,600,606
1422,632,601,630,655,601,600,606
1431,630,601,627,652,601,600,606
1440,627,601,627,647,601,600,606
1449,632,601,624,649,604,600,604
1458,632,601,624,649,601,600,606
1467,627,601,624,647,601,600,604
1475,627,601,624,647,601,600,604
1484,624,601,624,647,601,600,604
1493,627,601,624,647,601,600,606
1502,624,601,624,647,601,600,606
1511,624,601,624,646,601,600,604
1520,625,601,624,646,601,600,604
1528,624,601,624,647,601,600,604
