Time(microseconds),Data_set 0,Data_set 1,Data_set 2,Data_set 3
0,880,703,339,1023
15,882,694,337,1023
30,878,702,335,1023
45,883,691,337,1023
60,883,694,327,1023
75,882,684,336,1023
90,877,687,324,1023
105,874,682,316,1023
120,872,684,323,1023
135,870,683,318,1023
150,873,681,318,1023
165,879,678,316,1023
180,879,676,310,1023
195,878,670,313,1023
211,871,671,304,1023
226,877,663,304,1023
241,871,655,302,1023
256,870,651,301,1023
271,870,648,298,1023
286,871,647,294,1023
301,867,649,291,1023
316,862,652,292,1023
331,857,643,289,1023
346,860,639,281,1023
361,854,639,281,1023
376,853,631,275,1023
391,856,627,273,1023
407,856,622,271,1023
422,848,615,268,1023
437,841,614,262,1023
452,847,611,259,1023
467,841,611,260,1023
482,846,609,263,1023
497,841,601,257,1023
512,839,599,249,1023
527,839,583,251,1023
542,843,588,251,1023
557,840,575,253,1023
572,834,575,244,1023
587,835,568,243,1023
603,831,568,242,1023
618,824,566,241,1023
633,829,563,240,1023
648,827,558,224,1023
663,817,556,230,1023
678,824,547,220,1023
693,824,546,226,1023
708,815,538,222,1023
723,816,536,221,1023
738,816,537,221,1023
753,807,527,220,1023
768,811,519,210,1023
783,806,518,211,1023
798,799,515,209,1023
814,807,515,209,1023
829,803,508,207,1023
844,803,505,207,1023
859,798,499,207,1023
874,799,494,206,1023
889,798,494,199,1023
904,796,481,207,1023
919,792,483,207,1023
934,792,472,199,1023
949,792,475,199,1023
964,785,471,199,1023
979,783,465,198,1023
994,782,472,197,1023
1010,780,471,192,1023
1025,774,472,193,1023
1040,771,463,192,1023
1055,775,463,191,1023
1070,782,456,192,1023
1085,784,455,192,1023
1100,780,447,191,1023
1115,783,445,183,1023
1130,775,443,179,1023
1145,769,439,180,1023
1160,771,441,176,1023
1175,771,433,179,1022
1190,768,433,172,1023
1206,760,434,179,1022
1221,763,428,175,1023
1236,760,436,176,1016
1251,750,433,173,1011
1266,753,433,169,1014
1281,751,415,167,1011
1296,746,420,162,1013
1311,748,422,158,1003
1326,742,419,159,986
1341,743,403,152,979
1356,745,410,149,974
1371,736,407,155,969
1386,737,406,147,974
1401,735,399,145,974
1417,734,404,142,964
1432,734,391,145,967
1447,728,396,140,971
1462,724,380,142,963
1477,728,391,139,958
1492,721,386,131,951
1507,715,384,130,958
1522,719,380,127,954
1537,711,384,128,952
1552,710,385,123,947
1567,705,378,125,952
1582,710,371,120,941
1597,706,372,114,943
1613,705,369,115,940
