Time (seconds),DLS Value,Temperature
0.0004222393035888672,627.0,29.62
0.0007059574127197266,632.0,33.65
0.0008680820465087891,628.0,35.07
0.001010894775390625,626.0,35.51
0.0011510848999023438,624.0,35.95
0.0013041496276855469,623.0,37.87
0.0014431476593017578,633.0,37.98
0.0015821456909179688,657.0,37.52
0.001722097396850586,650.0,37.07
0.0018601417541503906,643.0,37.52
0.0019991397857666016,637.0,37.87
0.0021402835845947266,623.0,38.44
0.0022788047790527344,623.0,38.9
0.002418994903564453,624.0,38.44
0.002557039260864258,623.0,38.9
0.002694845199584961,633.0,38.55
0.002833843231201172,623.0,39.36
0.0029740333557128906,628.0,38.78
0.0031130313873291016,657.0,37.87
0.0032520294189453125,658.0,37.52
0.0033910274505615234,653.0,37.07
0.0035309791564941406,656.0,37.18
0.0036699771881103516,657.0,37.18
0.0038089752197265625,625.0,38.09
0.003947019577026367,623.0,38.78
0.004086017608642578,624.0,38.78
0.01128387451171875,624.0,38.32
0.027688980102539062,624.0,37.75
0.04386305809020996,624.0,37.41
0.06018710136413574,626.0,36.4
0.08101916313171387,628.0,36.06
0.09770393371582031,629.0,36.06
0.11384391784667969,631.0,36.06
0.12987804412841797,641.0,36.4
0.15022015571594238,658.0,36.85
0.16653013229370117,632.0,37.75
0.18374919891357422,623.0,38.67
0.19960713386535645,623.0,38.32
0.22063803672790527,624.0,37.52
0.23700308799743652,625.0,36.4
0.2533879280090332,627.0,36.06
0.269773006439209,629.0,36.06
0.29020118713378906,636.0,36.28
0.3065221309661865,644.0,36.51
0.3229351043701172,656.0,36.96
0.3392820358276367,626.0,37.87
0.35979485511779785,624.0,37.75
0.376147985458374,629.0,36.62
0.3924601078033447,635.0,36.4
0.4089829921722412,644.0,36.51
0.4294140338897705,654.0,36.73
0.44542789459228516,625.0,37.98
0.46158313751220703,624.0,37.64
0.47785019874572754,626.0,36.51
0.4982578754425049,638.0,36.4
0.5146780014038086,650.0,37.07
0.530961275100708,623.0,38.44
0.5473999977111816,627.0,36.85
