Time(microseconds),DLS Value,Temperature(C)
0,880,25.0
15,882,25.0
30,878,25.0
45,883,25.0
60,883,25.0
75,882,25.0
90,877,25.0
105,874,25.0
120,872,25.0
135,870,25.0
150,873,25.0
165,879,25.0
180,879,25.0
195,878,25.0
211,871,25.0
226,877,25.0
241,871,25.0
256,870,25.0
271,870,25.0
286,871,25.0
301,867,25.0
316,862,25.0
331,857,25.0
346,860,25.0
361,854,25.0
376,853,25.0
391,856,25.0
407,856,25.0
422,848,25.0
437,841,25.0
452,847,25.0
467,841,25.0
482,846,25.0
497,841,25.0
512,839,25.0
527,839,25.0
542,843,25.0
557,840,25.0
572,834,25.0
587,835,25.0
603,831,25.0
618,824,25.0
633,829,25.0
648,827,25.0
663,817,25.0
678,824,25.0
693,824,25.0
708,815,25.0
723,816,25.0
738,816,25.0
753,807,25.0
768,811,25.0
783,806,25.0
798,799,25.0
814,807,25.0
829,803,25.0
844,803,25.0
859,798,25.0
874,799,25.0
889,798,25.0
904,796,25.0
919,792,25.0
934,792,25.0
949,792,25.0
964,785,25.0
979,783,25.0
994,782,25.0
1010,780,25.0
1025,774,25.0
1040,771,25.0
1055,775,25.0
1070,782,25.0
1085,784,25.0
1100,780,25.0
1115,783,25.0
1130,775,25.0
1145,769,25.0
1160,771,25.0
1175,771,25.0
1190,768,25.0
1206,760,25.0
1221,763,25.0
1236,760,25.0
1251,750,25.0
1266,753,25.0
1281,751,25.0
1296,746,25.0
1311,748,25.0
1326,742,25.0
1341,743,25.0
1356,745,25.0
1371,736,25.0
1386,737,25.0
1401,735,25.0
1417,734,25.0
1432,734,25.0
1447,728,25.0
1462,724,25.0
1477,728,25.0
1492,721,25.0
1507,715,25.0
1522,719,25.0
1537,711,25.0
1552,710,25.0
1567,705,25.0
1582,710,25.0
1597,706,25.0
1613,705,25.0
1628,704,25.0
1643,704,25.0
1658,692,25.0
1673,696,25.0
1688,691,25.0
1703,691,25.0
1718,690,25.0
1733,682,25.0
1748,679,25.0
1763,681,25.0
1778,675,25.0
1793,676,25.0
1809,668,25.0
1824,662,25.0
1839,657,25.0
1854,655,25.0
1869,656,25.0
1884,653,25.0
1899,654,25.0
1914,639,25.0
1929,639,25.0
1944,636,25.0
1959,633,25.0
1974,628,25.0
1989,631,25.0
2004,627,25.0
2020,627,25.0
2035,615,25.0
2050,619,25.0
2065,612,25.0
2080,611,25.0
2095,600,25.0
2110,600,25.0
2125,591,25.0
2140,585,25.0
2155,580,25.0
2170,581,25.0
2185,572,25.0
2200,568,25.0
2216,561,25.0
2231,566,25.0
2246,559,25.0
2261,556,25.0
2276,556,25.0
2291,551,25.0
2306,542,25.0
2321,543,25.0
2336,536,25.0
2351,533,25.0
2366,534,25.0
2381,521,25.0
2396,515,25.0
2412,517,25.0
2427,508,25.0
2442,507,25.0
2457,508,25.0
2472,504,25.0
2487,505,25.0
2502,496,25.0
2517,492,25.0
2532,494,25.0
2547,490,25.0
2562,483,25.0
2577,483,25.0
2592,479,25.0
2607,470,25.0
2623,476,25.0
2638,471,25.0
2653,459,25.0
2668,460,25.0
2683,455,25.0
2698,455,25.0
2713,451,25.0
2728,450,25.0
2743,444,25.0
2758,443,25.0
2773,440,25.0
2788,434,25.0
2803,439,25.0
2819,434,25.0
2834,428,25.0
2849,427,25.0
2864,428,25.0
2879,427,25.0
2894,422,25.0
2909,428,25.0
2924,428,25.0
2939,420,25.0
2954,423,25.0
2969,419,25.0
2984,412,25.0
2999,410,25.0
3015,408,25.0
3030,409,25.0
3045,408,25.0
3060,401,25.0
3075,399,25.0
3090,394,25.0
3105,393,25.0
3120,388,25.0
