Time (seconds),DLS Value,Temperature
0.0005340576171875,658.0,29.73
0.0007810592651367188,655.0,34.63
0.0010077953338623047,643.0,36.28
0.0012240409851074219,638.0,36.73
0.0014390945434570312,640.0,36.96
0.0016520023345947266,639.0,37.07
0.0018649101257324219,640.0,37.07
0.0020759105682373047,642.0,37.3
0.002315044403076172,653.0,37.52
0.002527952194213867,658.0,37.87
0.0027599334716796875,653.0,38.32
0.002977132797241211,633.0,39.36
0.0032320022583007812,633.0,39.36
0.0033850669860839844,633.0,39.6
0.0035359859466552734,634.0,37.87
0.003692150115966797,634.0,37.18
0.0038368701934814453,636.0,37.07
0.003981113433837891,637.0,37.07
0.004127025604248047,638.0,37.07
0.004271030426025391,639.0,37.18
0.004414081573486328,644.0,37.3
0.004557132720947266,643.0,37.3
0.004698991775512695,652.0,37.52
0.004849910736083984,659.0,37.87
0.004990100860595703,633.0,38.67
0.0051310062408447266,635.0,37.52
0.005273103713989258,641.0,37.3
0.005438089370727539,657.0,37.75
0.0055789947509765625,634.0,37.18
0.0057201385498046875,636.0,37.07
0.005869150161743164,641.0,37.18
0.01698613166809082,657.0,37.75
0.02112889289855957,654.0,38.09
0.03742504119873047,634.0,37.3
0.05380988121032715,637.0,37.18
0.07010197639465332,652.0,37.52
0.09127497673034668,634.0,37.18
0.10767483711242676,640.0,37.18
0.12344717979431152,633.0,38.44
0.14367318153381348,635.0,37.41
0.16020989418029785,640.0,37.3
0.1771399974822998,643.0,38.09
0.17732000350952148,633.0,38.9
0.19715309143066406,635.0,37.64
0.19741225242614746,636.0,37.41
0.21399188041687012,658.0,37.75
0.2302379608154297,634.0,37.18
0.2507650852203369,642.0,37.3
0.26737093925476074,633.0,38.9
0.2838761806488037,641.0,37.87
0.2876701354980469,643.0,37.64
0.30429697036743164,633.0,38.44
0.3206331729888916,638.0,37.64
0.3367750644683838,633.0,38.9
0.3409450054168701,633.0,38.21
0.3574850559234619,640.0,37.52
0.3738718032836914,633.0,38.44
0.38991308212280273,638.0,37.64
0.39405298233032227,641.0,37.3
0.410707950592041,633.0,38.55
0.42716002464294434,638.0,37.64
