Time(microseconds),DLS Value,Temperature(C)
0,129,25.0
15,125,25.0
30,133,25.0
45,140,25.0
60,146,25.0
75,143,25.0
90,146,25.0
105,145,25.0
120,140,25.0
135,143,25.0
150,142,25.0
165,147,25.0
180,146,25.0
195,151,25.0
211,150,25.0
226,152,25.0
241,146,25.0
256,152,25.0
271,152,25.0
286,152,25.0
301,157,25.0
316,161,25.0
331,161,25.0
346,157,25.0
361,162,25.0
376,166,25.0
391,169,25.0
407,169,25.0
422,167,25.0
437,166,25.0
452,164,25.0
467,173,25.0
482,177,25.0
497,174,25.0
512,183,25.0
527,177,25.0
542,185,25.0
557,180,25.0
572,182,25.0
587,179,25.0
603,184,25.0
618,185,25.0
633,192,25.0
648,188,25.0
663,194,25.0
678,196,25.0
693,199,25.0
708,199,25.0
723,204,25.0
738,204,25.0
753,199,25.0
768,207,25.0
783,207,25.0
798,204,25.0
814,212,25.0
829,215,25.0
844,213,25.0
859,217,25.0
874,226,25.0
889,235,25.0
904,240,25.0
919,241,25.0
934,243,25.0
949,243,25.0
964,243,25.0
979,246,25.0
994,245,25.0
1010,246,25.0
1025,248,25.0
1040,250,25.0
1055,247,25.0
1070,248,25.0
1085,251,25.0
1100,249,25.0
1115,249,25.0
1130,257,25.0
1145,259,25.0
1160,255,25.0
1175,259,25.0
1190,263,25.0
1206,267,25.0
1221,268,25.0
1236,266,25.0
1251,265,25.0
1266,270,25.0
1281,268,25.0
1296,276,25.0
1311,274,25.0
1326,270,25.0
1341,281,25.0
1356,280,25.0
1371,278,25.0
1386,287,25.0
1401,290,25.0
1417,286,25.0
1432,292,25.0
1447,291,25.0
1462,295,25.0
1477,295,25.0
1492,297,25.0
1507,295,25.0
1522,299,25.0
1537,302,25.0
1552,297,25.0
1567,307,25.0
1582,307,25.0
1597,307,25.0
1613,313,25.0
1628,315,25.0
1643,321,25.0
1658,319,25.0
1673,323,25.0
1688,335,25.0
1703,344,25.0
1718,345,25.0
1733,348,25.0
1748,348,25.0
1763,355,25.0
1778,359,25.0
1793,359,25.0
1809,364,25.0
1824,367,25.0
1839,374,25.0
1854,376,25.0
1869,383,25.0
1884,387,25.0
1899,384,25.0
1914,387,25.0
1929,393,25.0
1944,399,25.0
1959,400,25.0
1974,403,25.0
1989,412,25.0
2004,410,25.0
2020,415,25.0
2035,422,25.0
2050,420,25.0
2065,432,25.0
2080,435,25.0
2095,440,25.0
2110,441,25.0
2125,451,25.0
2140,448,25.0
2155,450,25.0
2170,460,25.0
2185,457,25.0
2200,461,25.0
2216,467,25.0
2231,472,25.0
2246,475,25.0
2261,480,25.0
2276,483,25.0
2291,491,25.0
2306,489,25.0
2321,498,25.0
2336,497,25.0
2351,499,25.0
2366,499,25.0
2381,507,25.0
2396,507,25.0
2412,515,25.0
2427,515,25.0
2442,521,25.0
2457,527,25.0
2472,528,25.0
2487,526,25.0
2502,528,25.0
2517,532,25.0
2532,536,25.0
2547,551,25.0
2562,558,25.0
2577,556,25.0
2592,563,25.0
2607,564,25.0
2623,566,25.0
2638,568,25.0
2653,566,25.0
2668,566,25.0
2683,566,25.0
2698,572,25.0
2713,575,25.0
2728,572,25.0
2743,580,25.0
2758,580,25.0
2773,579,25.0
2788,586,25.0
2803,591,25.0
2819,595,25.0
2834,593,25.0
2849,595,25.0
2864,604,25.0
2879,604,25.0
2894,595,25.0
2909,605,25.0
2924,604,25.0
2939,617,25.0
2954,609,25.0
2969,614,25.0
2984,615,25.0
2999,620,25.0
3015,624,25.0
3030,627,25.0
3045,617,25.0
3060,625,25.0
3075,628,25.0
3090,635,25.0
3105,634,25.0
3120,633,25.0
3135,637,25.0
3150,638,25.0
3165,641,25.0
3180,641,25.0
3195,647,25.0
3210,648,25.0
3226,652,25.0
