Time(microseconds),DLS Value,Temperature(C)
0,192,25.0
15,184,25.0
30,177,25.0
45,183,25.0
60,179,25.0
75,174,25.0
90,179,25.0
105,174,25.0
120,167,25.0
135,173,25.0
150,172,25.0
165,163,25.0
180,167,25.0
195,158,25.0
211,161,25.0
226,159,25.0
241,152,25.0
256,151,25.0
271,151,25.0
286,143,25.0
301,143,25.0
316,144,25.0
331,136,25.0
346,135,25.0
361,135,25.0
376,127,25.0
391,127,25.0
407,130,25.0
422,116,25.0
437,124,25.0
452,115,25.0
467,120,25.0
482,115,25.0
497,110,25.0
512,116,25.0
527,112,25.0
542,103,25.0
557,103,25.0
572,105,25.0
587,103,25.0
603,101,25.0
618,99,25.0
633,92,25.0
648,96,25.0
663,90,25.0
678,87,25.0
693,91,25.0
708,87,25.0
723,87,25.0
738,83,25.0
753,84,25.0
768,86,25.0
783,88,25.0
798,82,25.0
814,75,25.0
829,77,25.0
844,73,25.0
859,63,25.0
874,70,25.0
889,68,25.0
904,60,25.0
919,63,25.0
934,56,25.0
949,47,25.0
964,48,25.0
979,49,25.0
994,39,25.0
1010,25,25.0
1025,28,25.0
1040,21,25.0
1055,7,25.0
1070,4,25.0
1085,4,25.0
1100,0,25.0
1115,0,25.0
1130,0,25.0
1145,0,25.0
1160,0,25.0
1175,0,25.0
1190,0,25.0
1206,0,25.0
1221,0,25.0
1236,0,25.0
1251,0,25.0
1266,0,25.0
1281,0,25.0
1296,0,25.0
1311,0,25.0
1326,0,25.0
1341,0,25.0
1356,0,25.0
1371,0,25.0
1386,0,25.0
1401,0,25.0
1417,0,25.0
1432,0,25.0
1447,0,25.0
1462,0,25.0
1477,0,25.0
1492,0,25.0
1507,0,25.0
1522,0,25.0
1537,0,25.0
1552,0,25.0
1567,0,25.0
1582,0,25.0
1597,0,25.0
1613,0,25.0
1628,0,25.0
1643,0,25.0
1658,0,25.0
1673,0,25.0
1688,0,25.0
1703,0,25.0
1718,0,25.0
1733,0,25.0
1748,0,25.0
1763,0,25.0
1778,0,25.0
1793,0,25.0
1809,0,25.0
1824,0,25.0
1839,0,25.0
1854,0,25.0
1869,0,25.0
1884,0,25.0
1899,0,25.0
1914,0,25.0
1929,0,25.0
1944,0,25.0
1959,0,25.0
1974,0,25.0
1989,0,25.0
2004,0,25.0
2020,0,25.0
2035,0,25.0
2050,0,25.0
2065,0,25.0
2080,0,25.0
2095,0,25.0
2110,0,25.0
2125,0,25.0
2140,0,25.0
2155,0,25.0
2170,0,25.0
2185,0,25.0
2200,0,25.0
2216,0,25.0
2231,0,25.0
2246,0,25.0
2261,0,25.0
2276,0,25.0
2291,0,25.0
2306,0,25.0
2321,0,25.0
2336,0,25.0
2351,0,25.0
2366,0,25.0
2381,0,25.0
2396,0,25.0
2412,0,25.0
2427,0,25.0
2442,0,25.0
2457,0,25.0
2472,0,25.0
2487,0,25.0
2502,0,25.0
2517,0,25.0
2532,0,25.0
2547,0,25.0
2562,0,25.0
2577,0,25.0
2592,0,25.0
2607,0,25.0
2623,0,25.0
2638,0,25.0
2653,0,25.0
2668,0,25.0
2683,0,25.0
2698,0,25.0
2713,0,25.0
2728,0,25.0
2743,0,25.0
2758,0,25.0
2773,0,25.0
2788,0,25.0
2803,0,25.0
2819,0,25.0
2834,0,25.0
2849,0,25.0
2864,0,25.0
2879,0,25.0
2894,0,25.0
2909,0,25.0
