Time(microseconds),DLS Value,Temperature(C)
0,1023,25.0
15,1023,25.0
30,1023,25.0
45,1023,25.0
60,1023,25.0
75,1023,25.0
90,1023,25.0
105,1023,25.0
120,1023,25.0
135,1023,25.0
150,1023,25.0
165,1023,25.0
180,1023,25.0
195,1023,25.0
211,1023,25.0
226,1023,25.0
241,1023,25.0
256,1023,25.0
271,1023,25.0
286,1023,25.0
301,1023,25.0
316,1023,25.0
331,1023,25.0
346,1023,25.0
361,1023,25.0
376,1023,25.0
391,1023,25.0
407,1023,25.0
422,1023,25.0
437,1023,25.0
452,1023,25.0
467,1023,25.0
482,1023,25.0
497,1023,25.0
512,1023,25.0
527,1023,25.0
542,1023,25.0
557,1023,25.0
572,1023,25.0
587,1023,25.0
603,1023,25.0
618,1023,25.0
633,1023,25.0
648,1023,25.0
663,1023,25.0
678,1023,25.0
693,1023,25.0
708,1023,25.0
723,1023,25.0
738,1023,25.0
753,1023,25.0
768,1023,25.0
783,1023,25.0
798,1023,25.0
814,1023,25.0
829,1023,25.0
844,1023,25.0
859,1023,25.0
874,1021,25.0
889,1020,25.0
904,1023,25.0
919,1023,25.0
934,1014,25.0
949,1019,25.0
964,1011,25.0
979,1013,25.0
994,1008,25.0
1010,1006,25.0
1025,995,25.0
1040,983,25.0
1055,975,25.0
1070,975,25.0
1085,975,25.0
1100,972,25.0
1115,970,25.0
1130,966,25.0
1145,963,25.0
1160,968,25.0
1175,966,25.0
1190,963,25.0
1206,956,25.0
1221,957,25.0
1236,952,25.0
1251,950,25.0
1266,952,25.0
1281,950,25.0
1296,942,25.0
1311,947,25.0
1326,943,25.0
1341,937,25.0
1356,940,25.0
1371,940,25.0
1386,935,25.0
1401,936,25.0
1417,934,25.0
1432,931,25.0
1447,927,25.0
1462,927,25.0
1477,921,25.0
1492,925,25.0
1507,920,25.0
1522,920,25.0
1537,911,25.0
1552,917,25.0
1567,908,25.0
1582,908,25.0
1597,908,25.0
1613,904,25.0
1628,904,25.0
1643,898,25.0
1658,895,25.0
1673,896,25.0
1688,897,25.0
1703,898,25.0
1718,894,25.0
1733,896,25.0
1748,891,25.0
1763,888,25.0
1778,881,25.0
1793,883,25.0
1809,884,25.0
1824,881,25.0
1839,884,25.0
1854,882,25.0
1869,881,25.0
1884,871,25.0
1899,871,25.0
1914,869,25.0
1929,867,25.0
1944,867,25.0
1959,867,25.0
1974,871,25.0
1989,865,25.0
2004,861,25.0
2020,857,25.0
2035,863,25.0
2050,864,25.0
2065,851,25.0
2080,849,25.0
2095,852,25.0
2110,856,25.0
2125,850,25.0
2140,841,25.0
2155,839,25.0
2170,841,25.0
2185,844,25.0
2200,846,25.0
2216,838,25.0
2231,835,25.0
2246,833,25.0
2261,838,25.0
2276,844,25.0
2291,835,25.0
2306,832,25.0
2321,832,25.0
2336,831,25.0
2351,838,25.0
2366,835,25.0
2381,831,25.0
2396,825,25.0
2412,824,25.0
2427,827,25.0
2442,830,25.0
2457,824,25.0
2472,817,25.0
2487,816,25.0
2502,814,25.0
2517,816,25.0
2532,817,25.0
2547,816,25.0
2562,814,25.0
2577,802,25.0
2592,803,25.0
2607,807,25.0
2623,803,25.0
2638,807,25.0
2653,804,25.0
2668,806,25.0
2683,799,25.0
2698,796,25.0
2713,790,25.0
2728,787,25.0
2743,781,25.0
2758,783,25.0
2773,782,25.0
2788,782,25.0
2803,782,25.0
2819,785,25.0
2834,777,25.0
2849,768,25.0
2864,768,25.0
2879,768,25.0
2894,768,25.0
2909,771,25.0
2924,768,25.0
2939,764,25.0
2954,756,25.0
2969,751,25.0
2984,753,25.0
2999,755,25.0
3015,759,25.0
3030,753,25.0
3045,748,25.0
3060,748,25.0
3075,738,25.0
3090,743,25.0
3105,743,25.0
3120,742,25.0
3135,739,25.0
3150,735,25.0
3165,726,25.0
3180,724,25.0
3195,731,25.0
3210,733,25.0
3226,728,25.0
3241,722,25.0
3256,721,25.0
3271,717,25.0
3286,716,25.0
3301,715,25.0
3316,715,25.0
3331,713,25.0
3346,719,25.0
3361,711,25.0
3376,716,25.0
3391,708,25.0
3406,713,25.0
3422,706,25.0
3437,700,25.0
3452,697,25.0
3467,696,25.0
3482,695,25.0
3497,691,25.0
3512,691,25.0
3527,692,25.0
3542,697,25.0
3557,688,25.0
3572,688,25.0
3587,681,25.0
3602,679,25.0
3618,675,25.0
3633,669,25.0
3648,668,25.0
3663,668,25.0
3678,668,25.0
3693,665,25.0
3708,662,25.0
3723,661,25.0
3738,655,25.0
3753,652,25.0
3768,644,25.0
3783,639,25.0
3798,633,25.0
3813,632,25.0
3829,632,25.0
3844,626,25.0
3859,624,25.0
3874,624,25.0
3889,620,25.0
3904,611,25.0
3919,609,25.0
3934,594,25.0
3949,600,25.0
3964,587,25.0
3979,591,25.0
3994,580,25.0
4009,577,25.0
4025,575,25.0
4040,575,25.0
4055,575,25.0
4070,567,25.0
4085,561,25.0
4100,547,25.0
4115,553,25.0
4130,543,25.0
4145,537,25.0
4160,543,25.0
4175,542,25.0
4190,541,25.0
4205,533,25.0
4221,530,25.0
4236,524,25.0
4251,521,25.0
4266,504,25.0
4281,511,25.0
4296,499,25.0
4311,497,25.0
4326,499,25.0
4341,494,25.0
4356,496,25.0
4371,492,25.0
4386,487,25.0
4401,483,25.0
4416,485,25.0
4432,468,25.0
4447,470,25.0
4462,467,25.0
4477,467,25.0
4492,463,25.0
4507,461,25.0
4522,460,25.0
4537,463,25.0
4552,452,25.0
4567,451,25.0
4582,444,25.0
4597,438,25.0
4612,439,25.0
4628,431,25.0
4643,433,25.0
4658,432,25.0
4673,428,25.0
4688,425,25.0
4703,423,25.0
4718,425,25.0
4733,420,25.0
4748,415,25.0
4763,418,25.0
4778,414,25.0
4793,410,25.0
4808,406,25.0
4824,407,25.0
4839,399,25.0
4854,406,25.0
4869,393,25.0
4884,404,25.0
4899,390,25.0
4914,390,25.0
4929,387,25.0
4944,387,25.0
4959,383,25.0
4974,374,25.0
4989,371,25.0
5004,373,25.0
5019,366,25.0
5035,365,25.0
5050,364,25.0
5065,364,25.0
5080,359,25.0
5095,363,25.0
5110,359,25.0
5125,359,25.0
5140,355,25.0
5155,353,25.0
5170,344,25.0
5185,350,25.0
5200,340,25.0
5215,340,25.0
5231,335,25.0
5246,339,25.0
5261,334,25.0
5276,332,25.0
5291,331,25.0
5306,327,25.0
5321,325,25.0
5336,324,25.0
5351,321,25.0
5366,314,25.0
5381,311,25.0
5396,312,25.0
5411,313,25.0
5427,316,25.0
5442,310,25.0
5457,308,25.0
5472,309,25.0
5487,304,25.0
5502,295,25.0
5517,293,25.0
5532,287,25.0
5547,291,25.0
5562,277,25.0
5577,280,25.0
5592,279,25.0
5607,275,25.0
5622,273,25.0
5638,272,25.0
5653,275,25.0
5668,271,25.0
5683,266,25.0
5698,268,25.0
5713,259,25.0
5728,249,25.0
5743,255,25.0
5758,246,25.0
5773,244,25.0
5788,245,25.0
5803,240,25.0
5818,240,25.0
5834,239,25.0
5849,239,25.0
5864,237,25.0
5879,235,25.0
5894,231,25.0
5909,228,25.0
5924,231,25.0
5939,225,25.0
5954,210,25.0
5969,212,25.0
5984,216,25.0
5999,207,25.0
6014,207,25.0
6030,214,25.0
6045,208,25.0
6060,204,25.0
6075,203,25.0
6090,198,25.0
6105,199,25.0
6120,188,25.0
6135,193,25.0
6150,193,25.0
6165,193,25.0
6180,193,25.0
6195,194,25.0
6210,188,25.0
6225,190,25.0
6241,189,25.0
6256,185,25.0
6271,184,25.0
6286,174,25.0
6301,178,25.0
6316,176,25.0
6331,175,25.0
6346,179,25.0
6361,169,25.0
6376,172,25.0
6391,178,25.0
6406,174,25.0
6421,172,25.0
6437,170,25.0
6452,169,25.0
6467,171,25.0
6482,167,25.0
6497,159,25.0
6512,158,25.0
6527,155,25.0
6542,156,25.0
6557,152,25.0
6572,154,25.0
6587,156,25.0
6602,155,25.0
6617,145,25.0
6633,147,25.0
6648,140,25.0
6663,141,25.0
6678,128,25.0
6693,134,25.0
6708,130,25.0
6723,140,25.0
6738,131,25.0
6753,129,25.0
6768,123,25.0
6783,124,25.0
6798,121,25.0
6813,113,25.0
6828,112,25.0
6844,115,25.0
6859,107,25.0
6874,107,25.0
6889,101,25.0
6904,99,25.0
6919,107,25.0
6934,102,25.0
6949,87,25.0
6964,92,25.0
6979,88,25.0
6994,85,25.0
7009,84,25.0
7024,81,25.0
7040,83,25.0
7055,83,25.0
7070,79,25.0
7085,71,25.0
7100,77,25.0
7115,67,25.0
7130,66,25.0
7145,65,25.0
7160,69,25.0
7175,64,25.0
7190,63,25.0
7205,57,25.0
7220,52,25.0
7236,57,25.0
7251,51,25.0
7266,50,25.0
7281,49,25.0
7296,54,25.0
7311,51,25.0
7326,48,25.0
7341,49,25.0
7356,38,25.0
7371,33,25.0
7386,29,25.0
7401,19,25.0
7416,20,25.0
7431,13,25.0
7447,12,25.0
7462,3,25.0
7477,0,25.0
7492,0,25.0
7507,0,25.0
7522,0,25.0
7537,0,25.0
7552,0,25.0
7567,0,25.0
7582,0,25.0
7597,0,25.0
7612,0,25.0
7627,0,25.0
7643,0,25.0
7658,0,25.0
7673,0,25.0
7688,0,25.0
7703,0,25.0
7718,0,25.0
7733,0,25.0
7748,0,25.0
7763,0,25.0
7778,0,25.0
7793,0,25.0
7808,0,25.0
7823,0,25.0
7839,0,25.0
7854,0,25.0
7869,0,25.0
7884,0,25.0
7899,0,25.0
7914,0,25.0
7929,0,25.0
7944,0,25.0
7959,0,25.0
7974,0,25.0
7989,0,25.0
8004,0,25.0
8019,0,25.0
8034,0,25.0
8050,0,25.0
8065,0,25.0
8080,0,25.0
8095,0,25.0
8110,0,25.0
8125,0,25.0
8140,0,25.0
8155,0,25.0
8170,0,25.0
8185,0,25.0
8200,0,25.0
8215,0,25.0
8230,0,25.0
8246,0,25.0
8261,0,25.0
8276,0,25.0
8291,0,25.0
8306,0,25.0
8321,0,25.0
8336,0,25.0
8351,0,25.0
8366,0,25.0
8381,0,25.0
8396,0,25.0
8411,0,25.0
8426,0,25.0
8442,0,25.0
8457,0,25.0
8472,0,25.0
8487,0,25.0
8502,0,25.0
8517,0,25.0
8532,0,25.0
8547,0,25.0
8562,0,25.0
8577,0,25.0
8592,0,25.0
8607,0,25.0
8622,0,25.0
8637,0,25.0
8653,0,25.0
8668,0,25.0
8683,0,25.0
8698,0,25.0
8713,0,25.0
8728,0,25.0
8743,0,25.0
8758,0,25.0
8773,0,25.0
8788,0,25.0
8803,0,25.0
8818,0,25.0
8833,0,25.0
8849,0,25.0
8864,0,25.0
8879,0,25.0
8894,0,25.0
8909,0,25.0
8924,0,25.0
8939,0,25.0
8954,0,25.0
8969,0,25.0
8984,0,25.0
8999,0,25.0
9014,0,25.0
9029,0,25.0
9045,0,25.0
9060,0,25.0
9075,0,25.0
9090,0,25.0
9105,0,25.0
9120,0,25.0
9135,0,25.0
9150,0,25.0
9165,0,25.0
9180,0,25.0
9195,0,25.0
9210,0,25.0
9225,0,25.0
9240,0,25.0
9256,0,25.0
9271,0,25.0
9286,0,25.0
9301,0,25.0
9316,0,25.0
9331,0,25.0
9346,0,25.0
9361,0,25.0
9376,7,25.0
9391,7,25.0
9406,4,25.0
9421,12,25.0
9436,16,25.0
9452,14,25.0
9467,9,25.0
9482,19,25.0
9497,16,25.0
9512,18,25.0
9527,22,25.0
9542,24,25.0
9557,26,25.0
9572,28,25.0
9587,30,25.0
9602,31,25.0
9617,39,25.0
9632,35,25.0
9648,35,25.0
9663,39,25.0
9678,46,25.0
9693,44,25.0
9708,45,25.0
9723,49,25.0
9738,54,25.0
9753,56,25.0
9768,57,25.0
9783,56,25.0
9798,55,25.0
9813,60,25.0
9828,60,25.0
9843,62,25.0
9859,71,25.0
