Time(microseconds),DLS Value,Temperature(C)
0,390,25.0
15,394,25.0
30,395,25.0
45,394,25.0
60,390,25.0
75,395,25.0
90,399,25.0
105,393,25.0
120,393,25.0
135,391,25.0
150,399,25.0
165,395,25.0
180,398,25.0
195,401,25.0
211,395,25.0
226,398,25.0
241,403,25.0
256,393,25.0
271,399,25.0
286,406,25.0
301,402,25.0
316,399,25.0
331,396,25.0
346,401,25.0
361,391,25.0
376,400,25.0
391,399,25.0
407,403,25.0
422,405,25.0
437,401,25.0
452,401,25.0
467,398,25.0
482,404,25.0
497,407,25.0
512,405,25.0
527,409,25.0
542,399,25.0
557,407,25.0
572,406,25.0
587,399,25.0
603,408,25.0
618,406,25.0
633,410,25.0
648,411,25.0
663,412,25.0
678,412,25.0
693,406,25.0
708,408,25.0
723,411,25.0
738,403,25.0
753,412,25.0
768,417,25.0
783,414,25.0
798,412,25.0
814,412,25.0
829,414,25.0
844,406,25.0
859,414,25.0
874,407,25.0
889,412,25.0
904,413,25.0
919,418,25.0
934,415,25.0
949,412,25.0
964,417,25.0
979,412,25.0
994,417,25.0
1010,420,25.0
1025,415,25.0
1040,417,25.0
1055,420,25.0
1070,420,25.0
1085,419,25.0
1100,412,25.0
1115,418,25.0
1130,417,25.0
1145,423,25.0
1160,419,25.0
1175,419,25.0
1190,423,25.0
1206,425,25.0
1221,425,25.0
1236,427,25.0
1251,419,25.0
1266,420,25.0
1281,427,25.0
1296,427,25.0
1311,420,25.0
1326,423,25.0
1341,428,25.0
1356,422,25.0
1371,423,25.0
1386,419,25.0
1401,426,25.0
1417,428,25.0
1432,420,25.0
1447,430,25.0
1462,428,25.0
1477,428,25.0
1492,431,25.0
1507,432,25.0
1522,427,25.0
1537,432,25.0
1552,430,25.0
1567,432,25.0
1582,428,25.0
1597,431,25.0
1613,423,25.0
1628,432,25.0
1643,435,25.0
1658,435,25.0
1673,432,25.0
1688,427,25.0
1703,436,25.0
1718,432,25.0
1733,435,25.0
1748,428,25.0
1763,434,25.0
1778,440,25.0
1793,436,25.0
1809,434,25.0
1824,431,25.0
1839,438,25.0
1854,432,25.0
1869,433,25.0
1884,439,25.0
1899,434,25.0
1914,435,25.0
1929,436,25.0
1944,439,25.0
1959,440,25.0
1974,436,25.0
1989,433,25.0
2004,436,25.0
2020,435,25.0
2035,436,25.0
2050,440,25.0
2065,438,25.0
2080,438,25.0
2095,435,25.0
2110,439,25.0
2125,440,25.0
2140,441,25.0
2155,436,25.0
2170,436,25.0
2185,440,25.0
2200,440,25.0
2216,441,25.0
2231,438,25.0
2246,440,25.0
2261,441,25.0
2276,443,25.0
2291,436,25.0
2306,438,25.0
2321,433,25.0
2336,443,25.0
2351,438,25.0
2366,441,25.0
2381,440,25.0
2396,445,25.0
2412,444,25.0
2427,438,25.0
2442,444,25.0
2457,441,25.0
2472,436,25.0
2487,444,25.0
2502,449,25.0
2517,446,25.0
2532,440,25.0
2547,444,25.0
2562,448,25.0
2577,444,25.0
2592,444,25.0
2607,440,25.0
2623,448,25.0
2638,446,25.0
2653,448,25.0
2668,448,25.0
2683,446,25.0
2698,449,25.0
2713,444,25.0
2728,452,25.0
2743,449,25.0
2758,448,25.0
2773,452,25.0
2788,457,25.0
2803,452,25.0
2819,449,25.0
2834,449,25.0
2849,448,25.0
2864,453,25.0
2879,450,25.0
2894,455,25.0
2909,455,25.0
2924,455,25.0
2939,450,25.0
2954,456,25.0
2969,455,25.0
2984,451,25.0
2999,454,25.0
3015,463,25.0
3030,455,25.0
3045,455,25.0
3060,455,25.0
3075,452,25.0
3090,454,25.0
3105,452,25.0
3120,460,25.0
3135,455,25.0
3150,451,25.0
3165,458,25.0
3180,455,25.0
3195,454,25.0
3210,452,25.0
3226,460,25.0
3241,459,25.0
3256,454,25.0
3271,457,25.0
3286,459,25.0
3301,459,25.0
3316,465,25.0
3331,457,25.0
3346,459,25.0
3361,463,25.0
3376,460,25.0
3391,457,25.0
3406,464,25.0
3422,452,25.0
3437,459,25.0
3452,464,25.0
3467,455,25.0
3482,455,25.0
3497,455,25.0
3512,459,25.0
3527,460,25.0
3542,455,25.0
3557,456,25.0
3572,462,25.0
3587,463,25.0
3602,455,25.0
3618,458,25.0
3633,455,25.0
3648,459,25.0
3663,455,25.0
3678,463,25.0
3693,462,25.0
3708,455,25.0
3723,460,25.0
3738,463,25.0
3753,460,25.0
3768,460,25.0
3783,466,25.0
3798,463,25.0
3813,463,25.0
3829,460,25.0
3844,462,25.0
3859,462,25.0
3874,457,25.0
3889,460,25.0
3904,465,25.0
3919,461,25.0
3934,460,25.0
3949,467,25.0
3964,468,25.0
3979,462,25.0
3994,462,25.0
4009,458,25.0
4025,460,25.0
4040,462,25.0
4055,462,25.0
4070,460,25.0
4085,463,25.0
4100,465,25.0
4115,457,25.0
4130,457,25.0
4145,463,25.0
4160,467,25.0
4175,461,25.0
4190,460,25.0
4205,460,25.0
4221,467,25.0
4236,463,25.0
4251,462,25.0
4266,464,25.0
4281,457,25.0
4296,467,25.0
4311,458,25.0
4326,461,25.0
4341,464,25.0
4356,463,25.0
4371,460,25.0
4386,460,25.0
4401,455,25.0
4416,467,25.0
4432,457,25.0
4447,463,25.0
4462,465,25.0
4477,463,25.0
4492,459,25.0
4507,460,25.0
4522,462,25.0
4537,457,25.0
4552,463,25.0
4567,463,25.0
4582,463,25.0
4597,462,25.0
4612,456,25.0
4628,463,25.0
4643,462,25.0
4658,462,25.0
4673,460,25.0
4688,463,25.0
4703,460,25.0
4718,455,25.0
4733,463,25.0
4748,459,25.0
4763,463,25.0
4778,463,25.0
4793,455,25.0
4808,459,25.0
4824,454,25.0
4839,460,25.0
4854,456,25.0
4869,460,25.0
4884,460,25.0
4899,454,25.0
4914,455,25.0
4929,457,25.0
4944,460,25.0
4959,462,25.0
4974,454,25.0
4989,457,25.0
5004,454,25.0
5019,455,25.0
5035,457,25.0
5050,457,25.0
5065,451,25.0
5080,449,25.0
5095,454,25.0
5110,455,25.0
5125,449,25.0
5140,447,25.0
5155,455,25.0
5170,455,25.0
5185,444,25.0
5200,453,25.0
5215,448,25.0
5231,449,25.0
5246,449,25.0
5261,451,25.0
5276,448,25.0
5291,444,25.0
5306,451,25.0
5321,447,25.0
5336,451,25.0
5351,449,25.0
5366,451,25.0
5381,447,25.0
5396,448,25.0
5411,448,25.0
5427,444,25.0
5442,444,25.0
5457,448,25.0
5472,444,25.0
5487,442,25.0
5502,440,25.0
5517,444,25.0
5532,444,25.0
5547,438,25.0
5562,444,25.0
5577,441,25.0
5592,446,25.0
5607,441,25.0
5622,435,25.0
5638,441,25.0
5653,440,25.0
5668,438,25.0
5683,438,25.0
5698,433,25.0
5713,434,25.0
5728,435,25.0
5743,440,25.0
5758,434,25.0
5773,432,25.0
5788,437,25.0
5803,433,25.0
5818,438,25.0
5834,440,25.0
5849,429,25.0
5864,432,25.0
5879,431,25.0
5894,432,25.0
5909,427,25.0
5924,432,25.0
5939,433,25.0
5954,432,25.0
5969,435,25.0
5984,433,25.0
5999,435,25.0
6014,435,25.0
6030,431,25.0
6045,432,25.0
6060,430,25.0
6075,433,25.0
6090,433,25.0
6105,430,25.0
6120,430,25.0
6135,435,25.0
6150,432,25.0
6165,427,25.0
6180,430,25.0
6195,428,25.0
6210,435,25.0
6225,430,25.0
6241,425,25.0
6256,428,25.0
6271,428,25.0
6286,432,25.0
6301,424,25.0
6316,431,25.0
6331,428,25.0
6346,430,25.0
6361,431,25.0
6376,425,25.0
6391,423,25.0
6406,427,25.0
6421,420,25.0
6437,425,25.0
6452,423,25.0
6467,428,25.0
6482,430,25.0
6497,419,25.0
6512,427,25.0
6527,429,25.0
6542,427,25.0
6557,423,25.0
6572,427,25.0
6587,430,25.0
6602,431,25.0
6617,428,25.0
6633,423,25.0
6648,423,25.0
6663,428,25.0
6678,422,25.0
6693,426,25.0
6708,431,25.0
6723,423,25.0
6738,425,25.0
6753,422,25.0
6768,422,25.0
6783,428,25.0
6798,422,25.0
6813,423,25.0
6828,416,25.0
6844,423,25.0
6859,422,25.0
6874,422,25.0
6889,425,25.0
6904,421,25.0
6919,415,25.0
6934,417,25.0
6949,423,25.0
6964,422,25.0
6979,422,25.0
6994,416,25.0
7009,412,25.0
7024,417,25.0
7040,415,25.0
7055,419,25.0
7070,415,25.0
7085,417,25.0
7100,416,25.0
7115,419,25.0
7130,419,25.0
7145,415,25.0
7160,411,25.0
7175,408,25.0
7190,415,25.0
7205,414,25.0
7220,407,25.0
7236,415,25.0
7251,414,25.0
7266,417,25.0
7281,412,25.0
7296,413,25.0
7311,415,25.0
7326,412,25.0
7341,408,25.0
7356,409,25.0
7371,417,25.0
7386,410,25.0
7401,411,25.0
7416,399,25.0
7431,409,25.0
7447,403,25.0
7462,408,25.0
7477,410,25.0
7492,399,25.0
7507,409,25.0
7522,412,25.0
7537,410,25.0
7552,406,25.0
7567,404,25.0
7582,408,25.0
7597,404,25.0
7612,407,25.0
7627,404,25.0
7643,404,25.0
7658,408,25.0
7673,407,25.0
7688,407,25.0
7703,399,25.0
7718,399,25.0
7733,399,25.0
7748,399,25.0
7763,397,25.0
7778,397,25.0
7793,396,25.0
7808,404,25.0
7823,399,25.0
7839,399,25.0
7854,401,25.0
7869,400,25.0
7884,390,25.0
7899,399,25.0
7914,395,25.0
7929,386,25.0
7944,398,25.0
7959,394,25.0
7974,387,25.0
7989,395,25.0
8004,388,25.0
8019,393,25.0
8034,391,25.0
8050,384,25.0
8065,393,25.0
8080,387,25.0
8095,384,25.0
8110,387,25.0
8125,383,25.0
8140,387,25.0
8155,387,25.0
8170,382,25.0
8185,387,25.0
8200,387,25.0
8215,384,25.0
8230,384,25.0
8246,384,25.0
8261,380,25.0
8276,381,25.0
8291,380,25.0
8306,380,25.0
8321,380,25.0
8336,377,25.0
8351,374,25.0
8366,375,25.0
8381,371,25.0
8396,376,25.0
8411,376,25.0
8426,380,25.0
8442,374,25.0
8457,376,25.0
8472,380,25.0
8487,374,25.0
8502,376,25.0
8517,373,25.0
