Time(microseconds),DLS Value,Temperature(C)
0,603,25.0
15,604,25.0
30,603,25.0
45,614,25.0
60,632,25.0
75,650,25.0
90,665,25.0
105,675,25.0
120,683,25.0
135,663,25.0
150,649,25.0
165,639,25.0
180,632,25.0
195,625,25.0
211,621,25.0
226,617,25.0
241,615,25.0
256,612,25.0
271,611,25.0
286,608,25.0
301,608,25.0
316,606,25.0
331,606,25.0
346,604,25.0
361,604,25.0
376,604,25.0
391,614,25.0
407,632,25.0
422,652,25.0
437,665,25.0
452,678,25.0
467,686,25.0
482,670,25.0
497,654,25.0
512,643,25.0
527,634,25.0
542,627,25.0
557,623,25.0
572,619,25.0
587,615,25.0
603,612,25.0
618,611,25.0
633,609,25.0
648,608,25.0
663,607,25.0
678,606,25.0
693,604,25.0
708,604,25.0
723,603,25.0
738,603,25.0
753,608,25.0
768,624,25.0
783,644,25.0
798,659,25.0
814,674,25.0
829,675,25.0
844,664,25.0
859,648,25.0
874,639,25.0
889,632,25.0
904,625,25.0
919,620,25.0
934,617,25.0
949,615,25.0
964,612,25.0
979,609,25.0
994,608,25.0
1010,607,25.0
1025,606,25.0
1040,605,25.0
1055,604,25.0
1070,604,25.0
1085,603,25.0
1100,609,25.0
1115,625,25.0
1130,644,25.0
1145,659,25.0
1160,674,25.0
1175,683,25.0
1190,675,25.0
1206,656,25.0
1221,644,25.0
1236,636,25.0
1251,630,25.0
1266,624,25.0
1281,620,25.0
1296,615,25.0
1311,614,25.0
1326,611,25.0
1341,609,25.0
1356,608,25.0
1371,607,25.0
1386,606,25.0
1401,605,25.0
1417,604,25.0
1432,604,25.0
1447,603,25.0
1462,611,25.0
1477,627,25.0
1492,647,25.0
1507,664,25.0
1522,679,25.0
1537,686,25.0
1552,665,25.0
1567,651,25.0
1582,639,25.0
1597,632,25.0
1613,626,25.0
1628,622,25.0
1643,618,25.0
1658,615,25.0
1673,612,25.0
1688,611,25.0
1703,609,25.0
1718,608,25.0
1733,607,25.0
1748,606,25.0
1763,604,25.0
1778,604,25.0
1793,603,25.0
1809,603,25.0
1824,611,25.0
