Time(microseconds),DLS Value,Temperature(C)
0,678,25.0
15,688,25.0
30,673,25.0
45,655,25.0
60,643,25.0
75,635,25.0
90,628,25.0
105,623,25.0
120,619,25.0
135,615,25.0
150,613,25.0
165,611,25.0
180,609,25.0
195,608,25.0
211,607,25.0
226,606,25.0
241,604,25.0
256,604,25.0
271,604,25.0
286,611,25.0
301,630,25.0
316,649,25.0
331,665,25.0
346,676,25.0
361,681,25.0
376,671,25.0
391,655,25.0
407,644,25.0
422,635,25.0
437,628,25.0
452,623,25.0
467,620,25.0
482,615,25.0
497,613,25.0
512,611,25.0
527,609,25.0
542,608,25.0
557,607,25.0
572,606,25.0
587,604,25.0
603,604,25.0
618,604,25.0
633,610,25.0
648,627,25.0
663,647,25.0
678,664,25.0
693,679,25.0
708,686,25.0
723,679,25.0
738,659,25.0
753,646,25.0
768,636,25.0
783,630,25.0
798,624,25.0
814,620,25.0
829,615,25.0
844,614,25.0
859,611,25.0
874,609,25.0
889,608,25.0
904,607,25.0
919,606,25.0
934,604,25.0
949,604,25.0
964,604,25.0
979,615,25.0
994,633,25.0
1010,652,25.0
1025,668,25.0
1040,682,25.0
1055,691,25.0
1070,689,25.0
1085,668,25.0
1100,652,25.0
1115,641,25.0
1130,632,25.0
1145,627,25.0
1160,622,25.0
1175,619,25.0
1190,615,25.0
1206,612,25.0
1221,611,25.0
1236,609,25.0
1251,607,25.0
1266,607,25.0
1281,606,25.0
1296,604,25.0
1311,604,25.0
1326,603,25.0
1341,612,25.0
1356,633,25.0
1371,649,25.0
1386,663,25.0
1401,679,25.0
1417,687,25.0
1432,688,25.0
1447,665,25.0
1462,651,25.0
1477,639,25.0
1492,631,25.0
1507,625,25.0
1522,620,25.0
1537,617,25.0
1552,615,25.0
1567,612,25.0
1582,611,25.0
1597,609,25.0
1613,607,25.0
1628,606,25.0
1643,605,25.0
1658,604,25.0
1673,604,25.0
1688,603,25.0
1703,609,25.0
1718,627,25.0
1733,648,25.0
1748,661,25.0
1763,676,25.0
1778,684,25.0
1793,670,25.0
1809,652,25.0
1824,641,25.0
1839,633,25.0
1854,627,25.0
1869,621,25.0
1884,617,25.0
1899,615,25.0
1914,612,25.0
1929,610,25.0
1944,608,25.0
1959,608,25.0
1974,607,25.0
1989,605,25.0
2004,604,25.0
2020,604,25.0
2035,604,25.0
2050,611,25.0
2065,632,25.0
2080,652,25.0
2095,663,25.0
2110,677,25.0
2125,686,25.0
2140,676,25.0
2155,659,25.0
2170,647,25.0
2185,636,25.0
2200,629,25.0
2216,624,25.0
2231,620,25.0
2246,616,25.0
2261,614,25.0
2276,611,25.0
2291,609,25.0
2306,608,25.0
2321,607,25.0
2336,606,25.0
2351,604,25.0
2366,604,25.0
2381,604,25.0
2396,603,25.0
2412,611,25.0
2427,628,25.0
2442,649,25.0
2457,664,25.0
2472,675,25.0
2487,683,25.0
2502,665,25.0
2517,651,25.0
2532,639,25.0
2547,632,25.0
2562,625,25.0
2577,621,25.0
2592,617,25.0
2607,615,25.0
2623,612,25.0
2638,610,25.0
2653,608,25.0
2668,608,25.0
2683,606,25.0
2698,605,25.0
2713,604,25.0
2728,604,25.0
2743,603,25.0
2758,604,25.0
2773,615,25.0
2788,638,25.0
2803,654,25.0
2819,668,25.0
2834,678,25.0
2849,678,25.0
2864,659,25.0
2879,646,25.0
2894,636,25.0
2909,630,25.0
2924,624,25.0
2939,620,25.0
2954,616,25.0
2969,614,25.0
2984,611,25.0
2999,609,25.0
3015,608,25.0
3030,607,25.0
3045,606,25.0
3060,604,25.0
3075,604,25.0
3090,604,25.0
3105,603,25.0
3120,613,25.0
3135,632,25.0
3150,647,25.0
3165,668,25.0
3180,676,25.0
3195,678,25.0
3210,664,25.0
3226,649,25.0
3241,639,25.0
3256,632,25.0
3271,625,25.0
3286,620,25.0
3301,617,25.0
3316,615,25.0
3331,612,25.0
3346,610,25.0
3361,608,25.0
3376,608,25.0
3391,606,25.0
3406,605,25.0
3422,604,25.0
3437,604,25.0
3452,603,25.0
3467,603,25.0
3482,613,25.0
3497,631,25.0
3512,650,25.0
3527,665,25.0
3542,674,25.0
3557,674,25.0
3572,655,25.0
3587,644,25.0
3602,635,25.0
3618,628,25.0
3633,624,25.0
3648,620,25.0
3663,615,25.0
3678,614,25.0
3693,611,25.0
3708,609,25.0
3723,608,25.0
3738,608,25.0
3753,606,25.0
3768,605,25.0
3783,604,25.0
3798,604,25.0
3813,603,25.0
3829,607,25.0
3844,622,25.0
3859,639,25.0
3874,660,25.0
3889,670,25.0
3904,676,25.0
3919,664,25.0
3934,649,25.0
3949,639,25.0
3964,632,25.0
3979,625,25.0
3994,622,25.0
4009,617,25.0
