Time(microseconds),data_set_0,data_set_1,data_set_2,data_set_3,data_set_4
0.0,691,704,704,700,700
8.831875,679,696,696,700,696
17.66375,671,687,688,688,688
26.495625,670,679,688,684,684
35.3275,665,679,688,681,679
44.159375,664,679,684,679,679
52.99125,662,679,684,679,675
61.823125000000005,664,678,679,679,675
70.655,664,675,678,678,671
79.486875,664,671,675,675,671
88.31875,659,671,673,673,671
97.150625,659,671,675,671,671
105.9825,655,671,671,671,668
114.814375,652,670,671,671,664
123.64625000000001,654,668,671,671,664
132.478125,652,668,671,671,664
141.31,647,668,671,671,662
150.141875,646,667,668,668,664
158.97375,646,664,665,668,664
167.805625,646,664,664,668,660
176.6375,646,664,664,665,659
185.469375,646,664,665,665,655
194.30125,646,664,664,664,655
203.133125,646,664,664,664,657
211.965,646,664,664,659,657
220.796875,646,659,664,664,655
229.62875,646,655,659,664,655
238.460625,646,655,659,659,655
247.29250000000002,646,659,659,659,652
256.124375,646,659,655,664,652
264.95625,646,655,655,659,652
273.788125,646,655,655,657,652
282.62,646,655,654,655,649
291.45187500000003,646,654,655,654,647
300.28375,646,652,655,654,647
309.115625,646,649,652,652,647
317.9475,646,647,647,647,647
326.779375,646,649,649,647,647
335.61125,646,652,649,647,647
344.443125,646,647,647,647,646
353.275,646,647,647,647,647
362.106875,646,647,647,647,639
370.93875,646,647,647,647,643
379.770625,646,646,647,647,639
388.6025,646,646,646,647,639
397.434375,646,647,646,647,639
406.26625,646,647,647,643,639
415.098125,646,647,647,644,639
423.93,646,647,639,643,639
432.76187500000003,646,646,639,639,638
441.59375,646,639,639,643,636
450.425625,646,639,639,639,636
459.2575,646,639,638,639,636
468.089375,646,639,639,639,636
476.92125,646,639,639,638,633
485.753125,646,639,636,639,636
494.58500000000004,646,639,633,639,636
503.416875,646,639,635,639,633
512.24875,646,639,638,639,632
521.080625,646,639,636,639,632
529.9125,646,638,636,639,632
538.744375,646,638,636,639,633
547.57625,646,636,633,638,633
556.408125,646,639,636,636,632
565.24,646,639,636,633,632
574.071875,646,636,636,636,632
582.9037500000001,646,638,636,636,632
591.735625,646,636,636,636,632
600.5675,646,636,632,636,630
609.399375,646,636,632,638,627
618.23125,646,636,632,638,632
627.063125,646,638,636,636,632
635.895,646,636,633,635,627
644.7268750000001,646,636,632,636,627
653.55875,646,633,632,636,624
662.390625,646,636,632,636,627
671.2225,646,632,632,632,624
680.054375,646,632,632,632,624
688.88625,646,632,632,632,625
697.718125,646,632,632,632,624
706.55,646,632,632,632,624
715.381875,646,627,632,632,624
724.21375,646,627,627,632,624
733.045625,646,627,627,632,624
741.8775,646,632,625,632,624
750.709375,646,630,624,627,624
759.54125,646,632,627,632,622
768.373125,646,627,627,632,624
777.205,646,627,627,632,624
786.036875,646,627,627,632,624
794.86875,646,627,627,627,624
803.7006250000001,646,625,627,627,624
812.5325,646,627,625,627,624
821.364375,646,627,624,627,624
830.19625,646,625,624,630,623
839.028125,646,625,624,630,620
847.86,646,625,624,627,620
856.691875,646,625,624,627,617
865.5237500000001,646,624,624,627,620
874.355625,646,624,624,630,620
883.1875,646,624,624,627,622
892.019375,646,624,624,627,620
900.85125,646,625,624,624,620
909.683125,646,625,624,624,620
918.515,646,625,624,624,620
927.3468750000001,646,624,624,624,622
936.17875,646,624,623,624,620
945.010625,646,624,624,624,620
953.8425,646,624,624,624,620
962.674375,646,624,624,624,620
971.50625,646,624,624,624,617
980.338125,646,624,622,624,619
989.1700000000001,646,622,624,624,617
998.001875,646,624,624,622,620
1006.83375,646,624,624,624,620
1015.665625,646,624,622,624,620
1024.4975,646,624,622,622,620
1033.329375,646,624,624,624,619
1042.16125,646,624,622,620,617
1050.993125,646,622,622,622,617
1059.825,646,620,622,622,615
1068.6568750000001,646,622,620,624,615
1077.48875,646,620,624,623,620
1086.320625,646,620,622,620,620
1095.1525,646,620,620,620,620
1103.984375,646,622,620,620,615
1112.81625,646,622,620,620,617
1121.648125,646,620,620,620,619
1130.48,646,620,617,620,615
1139.311875,646,620,620,617,617
1148.14375,646,620,620,620,620
1156.975625,646,620,622,620,615
1165.8075000000001,646,620,620,620,615
1174.639375,646,620,620,620,615
1183.47125,646,620,617,620,615
1192.303125,646,620,620,615,615
1201.135,646,615,620,617,615
1209.966875,646,617,620,620,615
1218.79875,646,620,617,615,615
1227.630625,646,620,620,620,615
1236.4625,646,620,615,615,615
1245.294375,646,615,615,620,615
1254.12625,646,615,617,617,615
1262.958125,646,615,615,619,615
1271.79,646,617,615,617,615
1280.621875,646,620,620,615,615
1289.4537500000001,646,619,617,617,615
1298.285625,646,617,615,617,615
1307.1175,646,617,615,617,615
1315.949375,646,615,615,615,615
1324.78125,646,615,615,615,615
1333.613125,646,615,615,615,615
1342.445,646,617,615,615,615
1351.276875,646,617,615,617,615
1360.10875,646,617,615,615,615
1368.940625,646,615,615,615,615
1377.7725,646,615,615,615,615
1386.6043750000001,646,615,615,615,615
1395.43625,646,615,615,615,615
1404.268125,646,615,615,615,615
1413.1,646,615,615,615,614
1421.931875,646,615,615,615,614
1430.76375,646,615,615,615,614
1439.595625,646,615,615,615,615
1448.4275,646,615,615,615,615
1457.259375,646,615,615,615,615
1466.09125,646,615,615,615,615
1474.923125,646,615,615,615,614
1483.755,646,614,615,615,614
1492.586875,646,615,615,615,615
1501.41875,646,615,615,615,615
1510.2506250000001,646,615,615,615,615
1519.0825,646,615,615,615,615
1527.914375,646,615,615,615,615
1536.74625,646,615,615,615,614
1545.578125,646,615,615,614,615
1554.41,646,615,614,614,615
1563.241875,646,615,614,615,611
1572.07375,646,615,615,615,612
1580.905625,646,615,614,615,614
1589.7375,646,615,614,615,615
1598.569375,646,615,615,615,615
1607.4012500000001,646,615,615,615,615
1616.233125,646,615,615,614,611
1625.065,646,615,615,615,612
1633.8968750000001,646,615,611,614,614
1642.72875,646,615,614,615,611
1651.560625,646,614,614,614,614
1660.3925,646,615,615,611,612
1669.224375,646,615,615,614,611
1678.05625,646,615,614,614,612
1686.888125,646,615,615,615,611
1695.72,646,615,615,614,611
1704.551875,646,615,614,614,611
1713.38375,646,615,611,614,611
1722.215625,646,615,615,611,611
1731.0475000000001,646,615,614,614,611
1739.879375,646,615,614,614,614
1748.71125,646,615,611,614,611
1757.543125,646,614,611,614,611
1766.375,646,614,611,611,611
1775.206875,646,611,611,611,611
1784.03875,646,614,614,611,614
1792.870625,646,614,611,611,611
1801.7025,646,614,611,611,611
1810.534375,646,614,614,611,611
1819.36625,646,614,611,611,611
1828.1981250000001,646,614,614,611,611
1837.03,646,614,614,614,611
1845.861875,646,614,611,611,611
1854.6937500000001,646,611,611,611,611
1863.525625,646,611,611,611,611
1872.3575,646,611,611,611,611
1881.189375,646,614,611,614,611
1890.02125,646,611,611,611,611
1898.853125,646,614,611,611,611
1907.685,646,614,611,611,611
1916.516875,646,615,614,611,609
1925.34875,646,614,611,611,611
1934.180625,646,615,611,611,611
1943.0125,646,614,614,611,611
1951.8443750000001,646,614,611,611,611
1960.67625,646,614,611,611,611
1969.508125,646,611,611,611,611
1978.3400000000001,646,611,611,611,611
1987.171875,646,611,611,611,611
1996.00375,646,611,611,609,609
2004.835625,646,612,609,611,609
2013.6675,646,611,611,611,611
2022.499375,646,611,611,611,611
2031.33125,646,611,611,609,611
2040.163125,646,614,611,611,611
2048.995,646,614,611,609,609
2057.826875,646,611,611,609,609
2066.65875,646,612,609,611,611
2075.490625,646,611,611,611,609
2084.3225,646,611,611,611,609
2093.154375,646,611,611,611,611
2101.98625,646,611,609,611,611
2110.8181250000002,646,614,609,609,611
2119.65,646,611,611,611,608
2128.481875,646,611,609,611,608
2137.3137500000003,646,611,611,609,609
2146.145625,646,611,609,611,609
2154.9775,646,609,609,609,609
2163.809375,646,611,609,609,609
2172.64125,646,609,609,611,609
2181.473125,646,611,609,611,609
2190.305,646,611,609,611,609
2199.136875,646,611,609,609,608
2207.96875,646,609,609,611,609
2216.800625,646,609,611,611,609
2225.6325,646,609,609,611,608
2234.464375,646,611,609,609,609
2243.29625,646,611,609,609,608
2252.128125,646,609,609,609,609
2260.96,646,609,609,609,609
2269.791875,646,609,609,608,608
2278.62375,646,609,609,609,608
2287.455625,646,611,609,611,608
2296.2875,646,609,609,609,608
2305.119375,646,611,609,608,608
2313.95125,646,611,608,609,609
2322.783125,646,609,608,611,608
2331.6150000000002,646,609,608,609,608
2340.446875,646,609,608,609,608
2349.27875,646,608,608,608,608
2358.1106250000003,646,611,609,608,608
2366.9425,646,609,608,608,608
2375.774375,646,609,608,608,608
2384.60625,646,611,609,609,608
2393.438125,646,609,609,608,608
2402.27,646,609,609,608,608
2411.101875,646,611,608,609,608
2419.93375,646,609,608,608,608
2428.765625,646,608,608,608,608
2437.5975,646,609,608,608,608
2446.429375,646,608,609,608,608
2455.26125,646,609,608,609,608
2464.093125,646,609,609,608,608
2472.925,646,609,609,608,608
2481.756875,646,608,608,608,608
2490.58875,646,609,608,608,608
2499.420625,646,609,608,608,608
2508.2525,646,608,608,608,608
2517.084375,646,609,608,608,608
2525.91625,646,609,608,608,608
2534.748125,646,608,608,608,608
2543.58,646,608,608,608,608
2552.4118750000002,646,609,608,608,608
2561.24375,646,608,608,608,608
2570.075625,646,609,608,608,608
2578.9075000000003,646,609,608,608,608
2587.739375,646,608,608,608,608
2596.57125,646,608,608,608,608
2605.403125,646,609,608,608,608
2614.235,646,609,608,608,608
2623.066875,646,608,608,608,608
2631.89875,646,609,608,609,608
2640.730625,646,608,608,608,608
2649.5625,646,608,608,608,608
2658.394375,646,609,608,608,608
2667.22625,646,608,608,608,608
2676.058125,646,608,608,608,608
2684.89,646,608,608,608,608
2693.721875,646,608,608,608,608
2702.55375,646,608,608,608,608
2711.385625,646,608,608,608,608
2720.2175,646,608,608,608,608
2729.049375,646,608,608,608,608
2737.88125,646,608,608,608,608
2746.713125,646,608,608,608,608
2755.545,646,608,608,608,608
2764.376875,646,608,608,608,608
2773.2087500000002,646,608,608,608,608
2782.040625,646,608,608,608,608
2790.8725,646,608,608,608,608
2799.7043750000003,646,608,608,608,608
2808.53625,646,608,608,608,608
2817.368125,646,608,608,608,608
2826.2,646,608,608,608,608
2835.031875,646,608,608,608,608
2843.86375,646,608,608,608,608
2852.695625,646,608,608,608,608
2861.5275,646,608,608,608,608
2870.359375,646,608,608,608,608
2879.19125,646,608,608,608,608
2888.023125,646,608,608,608,608
2896.855,646,608,608,608,608
2905.686875,646,608,608,608,608
2914.51875,646,608,608,608,608
2923.350625,646,608,608,608,608
2932.1825,646,608,608,608,608
2941.014375,646,608,608,608,608
2949.84625,646,608,608,608,608
2958.678125,646,608,608,608,608
2967.51,646,608,608,608,608
2976.341875,646,608,608,608,608
2985.17375,646,608,608,608,608
2994.0056250000002,646,608,608,608,608
3002.8375,646,608,608,608,608
3011.669375,646,608,608,608,608
3020.5012500000003,646,608,608,608,608
3029.333125,646,608,608,608,608
3038.165,646,608,608,608,608
3046.9968750000003,646,608,608,608,608
3055.82875,646,608,608,608,608
3064.660625,646,608,608,608,608
3073.4925,646,608,608,608,608
3082.324375,646,608,608,608,606
3091.15625,646,608,608,608,608
3099.988125,646,608,608,608,608
3108.82,646,608,608,608,608
3117.651875,646,608,608,608,608
3126.48375,646,608,608,608,608
3135.315625,646,608,608,608,608
3144.1475,646,608,608,608,608
3152.979375,646,608,608,608,606
3161.81125,646,608,608,608,608
3170.643125,646,608,608,608,606
3179.475,646,608,608,608,608
3188.306875,646,608,606,608,606
